The induced signal.
Time [ns],Total Prompt [fC/ns],Total Delayed [fC/ns], Total Signal [fC/ns],Electron Prompt [fC/ns],Electron Delayed [fC/ns],Electron Signal [fC/ns],Ion Prompt [fC/ns],Ion Delayed [fC/ns],Ion Signal [fC/ns]
0,-4.315499192095061711e-06,0,-4.315499192095061711e-06,-4.315499192095061711e-06,0,-4.315499192095061711e-06,0,0,0
0.4537217306690162211,-4.583200660202700779e-06,0,-4.583200660202700779e-06,-4.583200660202700779e-06,0,-4.583200660202700779e-06,0,0,0
0.9074434613380324421,-4.923006109996310807e-06,0,-4.923006109996310807e-06,-4.923006109996310807e-06,0,-4.923006109996310807e-06,0,0,0
1.361165192007048663,-5.275274259457734943e-06,0,-5.275274259457734943e-06,-5.275274259457734943e-06,0,-5.275274259457734943e-06,0,0,0
1.814886922676064884,-5.623424143962513435e-06,0,-5.623424143962513435e-06,-5.623424143962513435e-06,0,-5.623424143962513435e-06,0,0,0
2.268608653345081105,-7.894430024821132193e-06,0,-7.894430024821132193e-06,-7.871198368080731692e-06,0,-7.871198368080731692e-06,-2.32316567404002561e-08,0,-2.32316567404002561e-08
2.722330384014097326,-8.588813378918893393e-06,0,-8.588813378918893393e-06,-8.528086327986832967e-06,0,-8.528086327986832967e-06,-6.072705093206070306e-08,0,-6.072705093206070306e-08
3.176052114683113547,-1.700812467537770182e-05,0,-1.700812467537770182e-05,-1.686414928216108182e-05,0,-1.686414928216108182e-05,-1.439753932166242426e-07,0,-1.439753932166242426e-07
3.629773845352129769,-1.263664143072264955e-05,0,-1.263664143072264955e-05,-1.248894548072807373e-05,0,-1.248894548072807373e-05,-1.476959499945763737e-07,0,-1.476959499945763737e-07
4.083495576021146434,-1.240333553525353237e-05,0,-1.240333553525353237e-05,-1.225201495831032578e-05,0,-1.225201495831032578e-05,-1.513205769432054182e-07,0,-1.513205769432054182e-07
4.537217306690162211,-1.362057690873897967e-05,0,-1.362057690873897967e-05,-1.343718758413556734e-05,0,-1.343718758413556734e-05,-1.833893246034118581e-07,0,-1.833893246034118581e-07
4.990939037359177988,-1.846121372576554169e-05,0,-1.846121372576554169e-05,-1.824453445043430408e-05,0,-1.824453445043430408e-05,-2.166792753312383974e-07,0,-2.166792753312383974e-07
5.444660768028194653,-1.967254747765576726e-05,0,-1.967254747765576726e-05,-1.943485974897819445e-05,0,-1.943485974897819445e-05,-2.376877286775701855e-07,0,-2.376877286775701855e-07
5.898382498697211318,-2.755493528743391721e-05,0,-2.755493528743391721e-05,-2.725039695607588778e-05,0,-2.725039695607588778e-05,-3.045383313580244486e-07,0,-3.045383313580244486e-07
6.352104229366227095,-3.630696812441951322e-05,0,-3.630696812441951322e-05,-3.594450039584739821e-05,0,-3.594450039584739821e-05,-3.624677285721072875e-07,0,-3.624677285721072875e-07
