# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	0.000000e+00	-1.417708e-09	-2.973815e-12	-1.420682e-09
1	1.600000e-02	-1.233601e-09	-5.455710e-12	-1.239057e-09
2	3.200000e-02	-1.105147e-09	-5.056345e-12	-1.110203e-09
3	4.800000e-02	-1.275245e-09	-5.217410e-12	-1.280462e-09
4	6.400000e-02	-1.077762e-09	-4.096560e-12	-1.081858e-09
5	8.000000e-02	-1.089389e-09	-3.097481e-12	-1.092486e-09
6	9.600000e-02	-1.093139e-09	-2.383748e-12	-1.095523e-09
7	1.120000e-01	-1.143690e-09	-1.338791e-12	-1.145029e-09
8	1.280000e-01	-1.162104e-09	-6.839320e-13	-1.162788e-09
9	1.440000e-01	-7.123184e-10	-2.853404e-12	-7.151718e-10
10	1.600000e-01	-1.204216e-09	-5.192141e-12	-1.209408e-09
11	1.760000e-01	-1.469861e-09	-2.961374e-12	-1.472822e-09
12	1.920000e-01	-1.249026e-09	-3.285238e-12	-1.252312e-09
13	2.080000e-01	-1.512290e-09	-4.273569e-12	-1.516563e-09
14	2.240000e-01	-7.009160e-10	-3.841120e-12	-7.047571e-10
15	2.400000e-01	-9.450669e-10	-1.943518e-12	-9.470104e-10
16	2.560000e-01	-1.463720e-09	-3.791209e-12	-1.467512e-09
17	2.720000e-01	-1.338750e-09	-4.736804e-12	-1.343487e-09
18	2.880000e-01	-1.356522e-09	-6.131578e-12	-1.362654e-09
19	3.040000e-01	-1.290306e-09	-3.564654e-12	-1.293871e-09
20	3.200000e-01	-1.436038e-09	-5.112332e-12	-1.441150e-09
21	3.360000e-01	-9.511942e-10	-3.985989e-12	-9.551801e-10
22	3.520000e-01	-1.695907e-09	-2.474483e-12	-1.698381e-09
23	3.680000e-01	-1.333571e-09	-3.775014e-12	-1.337346e-09
24	3.840000e-01	-1.192861e-09	-3.787040e-12	-1.196648e-09
25	4.000000e-01	-1.457881e-09	-2.503731e-12	-1.460385e-09
26	4.160000e-01	-1.281068e-09	-3.559971e-12	-1.284628e-09
27	4.320000e-01	-1.403661e-09	-5.578416e-12	-1.409240e-09
28	4.480000e-01	-1.004324e-09	-5.671395e-12	-1.009996e-09
29	4.640000e-01	-1.062705e-09	-1.009684e-11	-1.072802e-09
30	4.800000e-01	-1.283935e-09	-8.115644e-12	-1.292051e-09
31	4.960000e-01	-1.599569e-09	-6.503380e-12	-1.606073e-09
32	5.120000e-01	-1.374363e-09	-6.971567e-12	-1.381334e-09
33	5.280000e-01	-1.454707e-09	-8.308864e-12	-1.463016e-09
34	5.440000e-01	-1.334864e-09	-1.010096e-11	-1.344965e-09
35	5.600000e-01	-1.644851e-09	-1.153078e-11	-1.656381e-09
36	5.760000e-01	-1.146485e-09	-1.009897e-11	-1.156584e-09
37	5.920000e-01	-1.102961e-09	-9.745160e-12	-1.112707e-09
38	6.080000e-01	-9.264838e-10	-1.191023e-11	-9.383940e-10
39	6.240000e-01	-1.213410e-09	-1.159739e-11	-1.225007e-09
40	6.400000e-01	-1.298122e-09	-9.376725e-12	-1.307498e-09
41	6.560000e-01	-9.565305e-10	-1.014782e-11	-9.666783e-10
42	6.720000e-01	-1.255645e-09	-1.151025e-11	-1.267155e-09
43	6.880000e-01	-1.398344e-09	-1.052644e-11	-1.408871e-09
44	7.040000e-01	-1.610875e-09	-1.022302e-11	-1.621098e-09
45	7.200000e-01	-1.463248e-09	-1.008392e-11	-1.473332e-09
46	7.360000e-01	-1.455770e-09	-1.586678e-11	-1.471637e-09
47	7.520000e-01	-1.341102e-09	-1.314713e-11	-1.354249e-09
48	7.680000e-01	-1.199776e-09	-1.144657e-11	-1.211223e-09
49	7.840000e-01	-1.445347e-09	-1.298354e-11	-1.458330e-09
50	8.000000e-01	-1.477317e-09	-1.196048e-11	-1.489277e-09
51	8.160000e-01	-6.902298e-10	-1.363855e-11	-7.038684e-10
52	8.320000e-01	-1.336945e-09	-1.045251e-11	-1.347397e-09
53	8.480000e-01	-8.689813e-10	-1.075167e-11	-8.797330e-10
54	8.640000e-01	-1.267673e-09	-7.580041e-12	-1.275253e-09
55	8.800000e-01	-1.464840e-09	-9.468387e-12	-1.474308e-09
56	8.960000e-01	-1.240049e-09	-1.412963e-11	-1.254178e-09
57	9.120000e-01	-1.741971e-09	-1.495424e-11	-1.756925e-09
58	9.280000e-01	-1.775960e-09	-1.136377e-11	-1.787324e-09
59	9.440000e-01	-1.437942e-09	-8.684105e-12	-1.446626e-09
60	9.600000e-01	-1.302045e-09	-1.076569e-11	-1.312811e-09
61	9.760000e-01	-1.175669e-09	-1.289314e-11	-1.188562e-09
62	9.920000e-01	-1.308390e-09	-9.867943e-12	-1.318258e-09
63	1.008000e+00	-1.053673e-09	-1.329027e-11	-1.066964e-09
64	1.024000e+00	-1.286452e-09	-1.029455e-11	-1.296747e-09
65	1.040000e+00	-1.234376e-09	-1.589924e-11	-1.250275e-09
66	1.056000e+00	-1.242826e-09	-2.066956e-11	-1.263496e-09
67	1.072000e+00	-1.500040e-09	-2.189165e-11	-1.521931e-09
68	1.088000e+00	-1.392767e-09	-1.994628e-11	-1.412713e-09
69	1.104000e+00	-1.249748e-09	-1.903885e-11	-1.268787e-09
70	1.120000e+00	-1.242959e-09	-1.721894e-11	-1.260178e-09
71	1.136000e+00	-1.285986e-09	-1.610529e-11	-1.302091e-09
72	1.152000e+00	-9.988195e-10	-1.596060e-11	-1.014780e-09
73	1.168000e+00	-1.159849e-09	-1.817479e-11	-1.178024e-09
74	1.184000e+00	-1.150654e-09	-1.806823e-11	-1.168722e-09
75	1.200000e+00	-1.289842e-09	-1.750534e-11	-1.307348e-09
76	1.216000e+00	-1.079742e-09	-1.594083e-11	-1.095683e-09
77	1.232000e+00	-1.266546e-09	-2.301957e-11	-1.289565e-09
78	1.248000e+00	-1.175580e-09	-2.346654e-11	-1.199047e-09
79	1.264000e+00	-1.245322e-09	-2.628549e-11	-1.271608e-09
80	1.280000e+00	-1.196998e-09	-2.491900e-11	-1.221917e-09
81	1.296000e+00	-1.237386e-09	-2.271458e-11	-1.260101e-09
82	1.312000e+00	-1.456899e-09	-2.805297e-11	-1.484952e-09
83	1.328000e+00	-1.405814e-09	-3.884938e-11	-1.444664e-09
84	1.344000e+00	-1.545861e-09	-4.049605e-11	-1.586357e-09
85	1.360000e+00	-1.535132e-09	-4.667957e-11	-1.581812e-09
86	1.376000e+00	-1.560567e-09	-4.094635e-11	-1.601514e-09
87	1.392000e+00	-2.007707e-09	-3.802117e-11	-2.045728e-09
