# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	0.000000e+00	1.434017e-09	2.915938e-12	1.436933e-09
1	1.600000e-02	1.200327e-09	5.543883e-12	1.205871e-09
2	3.200000e-02	1.125415e-09	4.829610e-12	1.130244e-09
3	4.800000e-02	1.274579e-09	5.144045e-12	1.279723e-09
4	6.400000e-02	1.084279e-09	4.246014e-12	1.088525e-09
5	8.000000e-02	1.101127e-09	3.146275e-12	1.104274e-09
6	9.600000e-02	1.099186e-09	2.281444e-12	1.101467e-09
7	1.120000e-01	1.161570e-09	1.353803e-12	1.162924e-09
8	1.280000e-01	1.171623e-09	5.968854e-13	1.172220e-09
9	1.440000e-01	7.299698e-10	2.657005e-12	7.326268e-10
10	1.600000e-01	1.205488e-09	5.243968e-12	1.210732e-09
11	1.760000e-01	1.475548e-09	2.871918e-12	1.478420e-09
12	1.920000e-01	1.260837e-09	3.333684e-12	1.264170e-09
13	2.080000e-01	1.513152e-09	4.271551e-12	1.517424e-09
14	2.240000e-01	6.975245e-10	3.806115e-12	7.013306e-10
15	2.400000e-01	9.446601e-10	1.882913e-12	9.465430e-10
16	2.560000e-01	1.461265e-09	3.867408e-12	1.465133e-09
17	2.720000e-01	1.337484e-09	4.582746e-12	1.342067e-09
18	2.880000e-01	1.358608e-09	5.992449e-12	1.364600e-09
19	3.040000e-01	1.278825e-09	3.506788e-12	1.282332e-09
20	3.200000e-01	1.430001e-09	4.966683e-12	1.434968e-09
21	3.360000e-01	9.406925e-10	4.012787e-12	9.447053e-10
22	3.520000e-01	1.697966e-09	2.633490e-12	1.700599e-09
23	3.680000e-01	1.334657e-09	3.827805e-12	1.338485e-09
24	3.840000e-01	1.225270e-09	3.898702e-12	1.229168e-09
25	4.000000e-01	1.434523e-09	2.538858e-12	1.437062e-09
26	4.160000e-01	1.289573e-09	3.544270e-12	1.293118e-09
27	4.320000e-01	1.393969e-09	5.459083e-12	1.399428e-09
28	4.480000e-01	1.010667e-09	5.509232e-12	1.016176e-09
29	4.640000e-01	1.055271e-09	9.951893e-12	1.065223e-09
30	4.800000e-01	1.292564e-09	8.176121e-12	1.300740e-09
31	4.960000e-01	1.569521e-09	6.466148e-12	1.575987e-09
32	5.120000e-01	1.356662e-09	7.126369e-12	1.363788e-09
33	5.280000e-01	1.421747e-09	8.319664e-12	1.430066e-09
34	5.440000e-01	1.325110e-09	1.015883e-11	1.335269e-09
35	5.600000e-01	1.626550e-09	1.169891e-11	1.638249e-09
36	5.760000e-01	1.133476e-09	1.037988e-11	1.143856e-09
37	5.920000e-01	1.101993e-09	9.872162e-12	1.111866e-09
38	6.080000e-01	9.282670e-10	1.229785e-11	9.405649e-10
39	6.240000e-01	1.198656e-09	1.192038e-11	1.210576e-09
40	6.400000e-01	1.307525e-09	9.538325e-12	1.317063e-09
41	6.560000e-01	9.497411e-10	1.044969e-11	9.601908e-10
42	6.720000e-01	1.251623e-09	1.154431e-11	1.263167e-09
43	6.880000e-01	1.366203e-09	1.065872e-11	1.376862e-09
44	7.040000e-01	1.606935e-09	1.053209e-11	1.617467e-09
45	7.200000e-01	1.444243e-09	1.025715e-11	1.454500e-09
46	7.360000e-01	1.456586e-09	1.608321e-11	1.472670e-09
47	7.520000e-01	1.323315e-09	1.324677e-11	1.336562e-09
48	7.680000e-01	1.176910e-09	1.149696e-11	1.188407e-09
49	7.840000e-01	1.424969e-09	1.330211e-11	1.438271e-09
50	8.000000e-01	1.473475e-09	1.210881e-11	1.485584e-09
51	8.160000e-01	6.830801e-10	1.412328e-11	6.972034e-10
52	8.320000e-01	1.314880e-09	1.094135e-11	1.325821e-09
53	8.480000e-01	8.166876e-10	1.064247e-11	8.273301e-10
54	8.640000e-01	1.254249e-09	7.736918e-12	1.261986e-09
55	8.800000e-01	1.423085e-09	9.343402e-12	1.432428e-09
56	8.960000e-01	1.256403e-09	1.448028e-11	1.270883e-09
57	9.120000e-01	1.703084e-09	1.518099e-11	1.718265e-09
58	9.280000e-01	1.723451e-09	1.157252e-11	1.735024e-09
59	9.440000e-01	1.433723e-09	8.866224e-12	1.442590e-09
60	9.600000e-01	1.281596e-09	1.089633e-11	1.292493e-09
61	9.760000e-01	1.149675e-09	1.330841e-11	1.162984e-09
62	9.920000e-01	1.303024e-09	1.024870e-11	1.313273e-09
63	1.008000e+00	1.029106e-09	1.365715e-11	1.042763e-09
64	1.024000e+00	1.306335e-09	1.061394e-11	1.316949e-09
65	1.040000e+00	1.224156e-09	1.622671e-11	1.240383e-09
66	1.056000e+00	1.241116e-09	2.183170e-11	1.262948e-09
67	1.072000e+00	1.496021e-09	2.282296e-11	1.518844e-09
68	1.088000e+00	1.399368e-09	2.129532e-11	1.420664e-09
69	1.104000e+00	1.268714e-09	1.974330e-11	1.288457e-09
70	1.120000e+00	1.235166e-09	1.809841e-11	1.253264e-09
71	1.136000e+00	1.288783e-09	1.717256e-11	1.305955e-09
72	1.152000e+00	1.005250e-09	1.717935e-11	1.022429e-09
73	1.168000e+00	1.134005e-09	1.920744e-11	1.153213e-09
74	1.184000e+00	1.128242e-09	1.892587e-11	1.147168e-09
75	1.200000e+00	1.303175e-09	1.824701e-11	1.321422e-09
76	1.216000e+00	1.066683e-09	1.705325e-11	1.083737e-09
77	1.232000e+00	1.280249e-09	2.545357e-11	1.305702e-09
78	1.248000e+00	1.184028e-09	2.558165e-11	1.209610e-09
79	1.264000e+00	1.219241e-09	2.783077e-11	1.247072e-09
80	1.280000e+00	1.173244e-09	2.670415e-11	1.199948e-09
81	1.296000e+00	1.198382e-09	2.434265e-11	1.222724e-09
82	1.312000e+00	1.452857e-09	3.000661e-11	1.482863e-09
83	1.328000e+00	1.440735e-09	4.207286e-11	1.482808e-09
84	1.344000e+00	1.564575e-09	4.305680e-11	1.607632e-09
85	1.360000e+00	1.543332e-09	5.004981e-11	1.593381e-09
86	1.376000e+00	1.553808e-09	4.399470e-11	1.597802e-09
87	1.392000e+00	2.030714e-09	4.063189e-11	2.071346e-09
88	1.408000e+00	1.593974e-09	4.691781e-11	1.640892e-09
89	1.424000e+00	1.355579e-09	4.757164e-11	1.403150e-09
90	1.440000e+00	1.272356e-09	4.446424e-11	1.316820e-09
91	1.456000e+00	1.127402e-09	4.632934e-11	1.173731e-09
92	1.472000e+00	1.364462e-09	4.567447e-11	1.410136e-09
93	1.488000e+00	1.215784e-09	4.540659e-11	1.261190e-09
94	1.504000e+00	1.589770e-09	4.452022e-11	1.634291e-09
95	1.520000e+00	1.386097e-09	4.229293e-11	1.428390e-09
96	1.536000e+00	1.815870e-09	4.539774e-11	1.861268e-09
97	1.552000e+00	1.074814e-09	4.207457e-11	1.116888e-09
98	1.568000e+00	1.313797e-09	3.749360e-11	1.351291e-09
99	1.584000e+00	1.340741e-09	4.163769e-11	1.382379e-09
100	1.600000e+00	9.662834e-10	4.196245e-11	1.008246e-09
101	1.616000e+00	1.327923e-09	4.871397e-11	1.376637e-09
102	1.632000e+00	1.817072e-09	4.744131e-11	1.864513e-09
103	1.648000e+00	1.143831e-09	4.675196e-11	1.190583e-09
104	1.664000e+00	1.645077e-09	5.084298e-11	1.695920e-09
105	1.680000e+00	7.970850e-10	4.575132e-11	8.428364e-10
106	1.696000e+00	9.971575e-10	4.249204e-11	1.039649e-09
107	1.712000e+00	1.393837e-09	4.787376e-11	1.441711e-09
108	1.728000e+00	1.326915e-09	4.980141e-11	1.376716e-09
109	1.744000e+00	9.362302e-10	4.863762e-11	9.848678e-10
110	1.760000e+00	1.040995e-09	4.864408e-11	1.089640e-09
