# RPC induced signal at BottomGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	2.000000e-03	-1.413459e-04	-8.184253e-07	-1.421643e-04
1	6.000000e-03	-3.924399e-04	-9.249161e-07	-3.933648e-04
2	1.000000e-02	-3.940813e-04	-8.572400e-07	-3.949386e-04
3	1.400000e-02	-3.266982e-04	-7.598230e-07	-3.274580e-04
4	1.800000e-02	-2.366667e-04	-3.531696e-07	-2.370199e-04
5	2.200000e-02	-3.059265e-04	-1.128988e-06	-3.070555e-04
6	2.600000e-02	-2.413674e-04	-8.112322e-07	-2.421786e-04
7	3.000000e-02	-2.648136e-04	-9.519424e-07	-2.657656e-04
8	3.400000e-02	-3.596241e-04	-1.293045e-06	-3.609172e-04
9	3.800000e-02	-1.959569e-04	-1.104070e-06	-1.970610e-04
10	4.200000e-02	-3.435899e-04	-1.426843e-06	-3.450167e-04
11	4.600000e-02	-6.570298e-05	-1.507988e-06	-6.721097e-05
12	5.000000e-02	-2.922026e-04	-8.502509e-07	-2.930529e-04
13	5.400000e-02	-3.018980e-04	-1.411688e-06	-3.033097e-04
14	5.800000e-02	-1.759170e-04	-1.029170e-06	-1.769462e-04
15	6.200000e-02	-2.893258e-04	-6.767198e-07	-2.900026e-04
16	6.600000e-02	-3.472387e-04	-9.293256e-07	-3.481681e-04
17	7.000000e-02	-1.917426e-04	-1.435198e-06	-1.931778e-04
18	7.400000e-02	-9.541962e-05	-8.877710e-07	-9.630739e-05
19	7.800000e-02	-2.499211e-04	-5.835323e-07	-2.505046e-04
20	8.200000e-02	-9.778667e-05	-1.174205e-06	-9.896088e-05
21	8.600000e-02	-2.641416e-04	-1.380087e-06	-2.655217e-04
22	9.000000e-02	-3.483326e-04	-1.421758e-06	-3.497544e-04
23	9.400000e-02	-2.474293e-04	-1.094276e-06	-2.485235e-04
24	9.800000e-02	-2.505648e-04	-1.133165e-06	-2.516980e-04
25	1.020000e-01	-4.772902e-06	-5.501835e-07	-5.323086e-06
26	1.060000e-01	-2.975627e-04	-4.009972e-07	-2.979637e-04
27	1.100000e-01	-2.535324e-04	-7.210952e-07	-2.542535e-04
28	1.140000e-01	-1.869773e-04	-1.419242e-06	-1.883965e-04
29	1.180000e-01	-4.318702e-04	-1.421677e-06	-4.332918e-04
30	1.220000e-01	-1.216774e-04	-1.157474e-06	-1.228349e-04
31	1.260000e-01	-3.073168e-04	-1.212951e-06	-3.085298e-04
32	1.300000e-01	-1.443397e-04	-1.233754e-06	-1.455735e-04
33	1.340000e-01	-2.291411e-04	-7.428836e-07	-2.298840e-04
34	1.380000e-01	-2.305099e-04	-6.251429e-07	-2.311350e-04
35	1.420000e-01	-2.622499e-04	-7.878414e-07	-2.630378e-04
36	1.460000e-01	-1.808267e-04	-5.471489e-07	-1.813739e-04
37	1.500000e-01	-1.339444e-04	-6.968907e-07	-1.346413e-04
38	1.540000e-01	-2.994716e-04	-1.410146e-06	-3.008817e-04
39	1.580000e-01	-2.296720e-04	-1.101796e-06	-2.307738e-04
40	1.620000e-01	-2.263477e-04	-9.298009e-07	-2.272775e-04
41	1.660000e-01	-2.515721e-04	-1.351111e-06	-2.529232e-04
42	1.700000e-01	-1.822843e-04	-1.113106e-06	-1.833974e-04
43	1.740000e-01	-1.351971e-04	-8.163857e-07	-1.360135e-04
44	1.780000e-01	-2.749248e-04	-1.402210e-06	-2.763270e-04
45	1.820000e-01	-1.011704e-04	-9.551514e-07	-1.021256e-04
46	1.860000e-01	-1.228615e-04	-9.457263e-07	-1.238073e-04
47	1.900000e-01	-2.376677e-04	-1.560968e-06	-2.392287e-04
48	1.940000e-01	-2.967044e-04	-1.163718e-06	-2.978682e-04
49	1.980000e-01	-2.152695e-04	-1.274780e-06	-2.165443e-04
50	2.020000e-01	-3.689703e-04	-9.338581e-07	-3.699042e-04
51	2.060000e-01	-3.408368e-04	-1.418309e-06	-3.422551e-04
52	2.100000e-01	-2.407420e-04	-1.196698e-06	-2.419387e-04
53	2.140000e-01	-2.449553e-04	-1.467224e-06	-2.464225e-04
54	2.180000e-01	-1.887025e-04	-1.206845e-06	-1.899094e-04
55	2.220000e-01	-1.836352e-04	-1.265443e-06	-1.849006e-04
56	2.260000e-01	-3.047733e-04	-2.433477e-06	-3.072068e-04
57	2.300000e-01	-1.505307e-04	-1.148967e-06	-1.516796e-04
58	2.340000e-01	-2.499181e-04	-6.852914e-07	-2.506034e-04
59	2.380000e-01	-2.058548e-04	-1.159216e-06	-2.070140e-04
60	2.420000e-01	-1.200632e-04	-1.542402e-06	-1.216056e-04
61	2.460000e-01	-1.650073e-04	-1.361835e-06	-1.663691e-04
62	2.500000e-01	-3.465565e-04	-9.094333e-07	-3.474660e-04
63	2.540000e-01	-1.737791e-04	-3.354405e-07	-1.741146e-04
64	2.580000e-01	-2.625656e-04	-9.123032e-07	-2.634779e-04
65	2.620000e-01	-9.542413e-05	-1.491601e-06	-9.691574e-05
66	2.660000e-01	-2.904320e-04	-1.431306e-06	-2.918633e-04
67	2.700000e-01	-1.405631e-04	-1.279035e-06	-1.418421e-04
68	2.740000e-01	-9.868774e-05	-1.191907e-06	-9.987965e-05
69	2.780000e-01	-8.833355e-05	-1.372599e-06	-8.970615e-05
70	2.820000e-01	-1.045915e-04	-1.262268e-06	-1.058538e-04
71	2.860000e-01	-1.792962e-04	-8.583724e-07	-1.801546e-04
72	2.900000e-01	-8.996086e-05	-1.200248e-06	-9.116111e-05
73	2.940000e-01	-2.055933e-04	-9.399049e-07	-2.065333e-04
74	2.980000e-01	-1.030466e-04	-1.241512e-06	-1.042881e-04
75	3.020000e-01	-2.434434e-04	-1.497485e-06	-2.449409e-04
76	3.060000e-01	-3.055056e-04	-7.498608e-07	-3.062555e-04
77	3.100000e-01	-2.167246e-04	-1.283449e-06	-2.180081e-04
78	3.140000e-01	-2.563629e-04	-1.521086e-06	-2.578840e-04
79	3.180000e-01	-1.959487e-04	-9.598332e-07	-1.969085e-04
80	3.220000e-01	-2.878545e-04	-1.383231e-06	-2.892377e-04
81	3.260000e-01	-2.037162e-04	-1.683118e-06	-2.053993e-04
82	3.300000e-01	-2.729351e-04	-1.864548e-06	-2.747996e-04
83	3.340000e-01	-1.910013e-04	-1.831626e-06	-1.928330e-04
84	3.380000e-01	-1.796420e-04	-1.389617e-06	-1.810316e-04
85	3.420000e-01	-1.917386e-04	-1.107789e-06	-1.928464e-04
86	3.460000e-01	-1.082664e-04	-1.257211e-06	-1.095236e-04
87	3.500000e-01	-2.384385e-04	-9.776280e-07	-2.394162e-04
88	3.540000e-01	-3.256309e-05	-6.890253e-07	-3.325211e-05
89	3.580000e-01	-2.533503e-04	-1.274929e-06	-2.546253e-04
90	3.620000e-01	-2.322137e-04	-1.230271e-06	-2.334440e-04
91	3.660000e-01	-2.185449e-04	-9.149669e-07	-2.194599e-04
92	3.700000e-01	-1.750690e-04	-6.777429e-07	-1.757467e-04
93	3.740000e-01	-1.495640e-04	-1.322738e-06	-1.508868e-04
94	3.780000e-01	-2.510364e-04	-1.229292e-06	-2.522657e-04
95	3.820000e-01	-2.286591e-04	-1.642670e-06	-2.303017e-04
96	3.860000e-01	-1.128741e-04	-1.057154e-06	-1.139313e-04
97	3.900000e-01	-1.479582e-04	-1.621767e-06	-1.495800e-04
98	3.940000e-01	-3.150784e-04	-1.077980e-06	-3.161564e-04
99	3.980000e-01	-2.827386e-04	-1.180941e-06	-2.839196e-04
100	4.020000e-01	-1.920431e-04	-1.784781e-06	-1.938278e-04
101	4.060000e-01	-1.353246e-04	-1.329215e-06	-1.366538e-04
102	4.100000e-01	-1.595437e-04	-1.091811e-06	-1.606355e-04
103	4.140000e-01	-1.874311e-04	-1.127510e-06	-1.885586e-04
104	4.180000e-01	-2.490572e-04	-1.744845e-06	-2.508021e-04
105	4.220000e-01	-3.748989e-04	-1.664173e-06	-3.765631e-04
106	4.260000e-01	-1.764226e-04	-1.521379e-06	-1.779439e-04
107	4.300000e-01	-2.164063e-04	-1.945154e-06	-2.183515e-04
108	4.340000e-01	-2.078756e-04	-1.228894e-06	-2.091045e-04
109	4.380000e-01	-1.682251e-04	-1.099449e-06	-1.693245e-04
110	4.420000e-01	-1.575679e-04	-1.818646e-06	-1.593865e-04
111	4.460000e-01	-1.603335e-04	-1.236575e-06	-1.615700e-04
112	4.500000e-01	-3.536037e-04	-1.320681e-06	-3.549244e-04
113	4.540000e-01	-1.377623e-04	-1.646419e-06	-1.394087e-04
114	4.580000e-01	-2.097947e-04	-1.197148e-06	-2.109918e-04
115	4.620000e-01	-2.308791e-04	-1.501044e-06	-2.323801e-04
116	4.660000e-01	-2.807842e-04	-1.345873e-06	-2.821301e-04
117	4.700000e-01	-2.295329e-04	-2.050078e-06	-2.315829e-04
118	4.740000e-01	-1.239548e-04	-1.121341e-06	-1.250761e-04
119	4.780000e-01	-1.619054e-04	-1.963547e-06	-1.638689e-04
120	4.820000e-01	-2.103438e-04	-1.729633e-06	-2.120734e-04
121	4.860000e-01	-2.653852e-04	-1.133606e-06	-2.665188e-04
122	4.900000e-01	-3.164287e-04	-1.197475e-06	-3.176261e-04
123	4.940000e-01	-2.311854e-04	-4.817090e-07	-2.316671e-04
124	4.980000e-01	-1.513691e-04	-1.303930e-06	-1.526730e-04
125	5.020000e-01	-1.464557e-04	-1.646328e-06	-1.481020e-04
126	5.060000e-01	-2.575336e-04	-1.497053e-06	-2.590307e-04
127	5.100000e-01	-2.043961e-04	-1.945571e-06	-2.063416e-04
