# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	2.000000e-03	-5.571831e-09	-3.223322e-11	-5.604065e-09
1	6.000000e-03	-2.949258e-08	-3.542135e-11	-2.952801e-08
2	1.000000e-02	1.755294e-08	-3.391297e-11	1.751903e-08
3	1.400000e-02	1.249235e-10	-3.004863e-11	9.487490e-11
4	1.800000e-02	-7.804367e-08	-1.256295e-11	-7.805624e-08
5	2.200000e-02	-2.348778e-08	-4.233991e-11	-2.353012e-08
6	2.600000e-02	6.315629e-10	-3.007614e-11	6.014868e-10
7	3.000000e-02	1.053379e-08	-3.639970e-11	1.049739e-08
8	3.400000e-02	3.185239e-08	-4.957358e-11	3.180281e-08
9	3.800000e-02	1.557524e-08	-4.260377e-11	1.553263e-08
10	4.200000e-02	-2.204319e-08	-5.491255e-11	-2.209810e-08
11	4.600000e-02	-1.040536e-08	-5.755857e-11	-1.046292e-08
12	5.000000e-02	3.385256e-09	-3.084965e-11	3.354406e-09
13	5.400000e-02	6.957532e-10	-5.256850e-11	6.431847e-10
14	5.800000e-02	-2.710691e-08	-3.970678e-11	-2.714662e-08
15	6.200000e-02	-4.888571e-09	-2.705408e-11	-4.915625e-09
16	6.600000e-02	6.125179e-08	-3.579795e-11	6.121599e-08
17	7.000000e-02	-9.278435e-08	-5.478430e-11	-9.283913e-08
18	7.400000e-02	5.805005e-08	-3.466979e-11	5.801538e-08
19	7.800000e-02	-3.218442e-08	-2.330372e-11	-3.220772e-08
20	8.200000e-02	-5.981901e-08	-4.631007e-11	-5.986532e-08
21	8.600000e-02	4.636752e-08	-5.282594e-11	4.631469e-08
22	9.000000e-02	2.100124e-08	-5.374406e-11	2.094749e-08
23	9.400000e-02	-4.475686e-08	-4.188499e-11	-4.479874e-08
24	9.800000e-02	-7.584736e-08	-4.374454e-11	-7.589111e-08
25	1.020000e-01	3.977092e-08	-2.162851e-11	3.974930e-08
26	1.060000e-01	7.454173e-09	-1.531305e-11	7.438860e-09
27	1.100000e-01	-3.610734e-08	-2.752651e-11	-3.613487e-08
28	1.140000e-01	-8.101701e-09	-5.427502e-11	-8.155976e-09
29	1.180000e-01	-3.607843e-08	-5.472984e-11	-3.613316e-08
30	1.220000e-01	2.789385e-08	-4.421184e-11	2.784964e-08
31	1.260000e-01	3.138604e-09	-4.668990e-11	3.091914e-09
32	1.300000e-01	1.710002e-09	-4.720045e-11	1.662802e-09
33	1.340000e-01	-1.211333e-08	-2.687939e-11	-1.214021e-08
34	1.380000e-01	-1.170288e-08	-2.224721e-11	-1.172513e-08
35	1.420000e-01	-8.842732e-09	-2.981423e-11	-8.872546e-09
36	1.460000e-01	-7.764075e-08	-2.170859e-11	-7.766245e-08
37	1.500000e-01	1.495230e-07	-2.733222e-11	1.494956e-07
38	1.540000e-01	-1.608850e-08	-5.404108e-11	-1.614254e-08
39	1.580000e-01	-1.153019e-07	-4.251458e-11	-1.153444e-07
40	1.620000e-01	-2.545109e-08	-3.611247e-11	-2.548720e-08
41	1.660000e-01	9.405917e-08	-5.181980e-11	9.400735e-08
42	1.700000e-01	-4.015171e-08	-4.225981e-11	-4.019397e-08
43	1.740000e-01	1.180630e-07	-3.068294e-11	1.180323e-07
44	1.780000e-01	-4.326208e-08	-5.348415e-11	-4.331556e-08
45	1.820000e-01	1.386254e-08	-3.581126e-11	1.382672e-08
46	1.860000e-01	4.083238e-08	-3.531355e-11	4.079707e-08
47	1.900000e-01	-1.738957e-08	-5.958507e-11	-1.744916e-08
48	1.940000e-01	-4.231989e-08	-4.404204e-11	-4.236393e-08
49	1.980000e-01	4.961199e-08	-4.928920e-11	4.956270e-08
50	2.020000e-01	-5.405342e-08	-3.607667e-11	-5.408949e-08
51	2.060000e-01	-3.816422e-08	-5.414798e-11	-3.821836e-08
52	2.100000e-01	-5.351432e-08	-4.636393e-11	-5.356069e-08
53	2.140000e-01	1.540772e-07	-5.737532e-11	1.540199e-07
54	2.180000e-01	-6.901161e-08	-4.663976e-11	-6.905825e-08
55	2.220000e-01	5.357782e-09	-4.802990e-11	5.309752e-09
56	2.260000e-01	-1.032161e-08	-9.228902e-11	-1.041390e-08
57	2.300000e-01	-2.139120e-08	-4.425235e-11	-2.143545e-08
58	2.340000e-01	-4.607737e-08	-2.669641e-11	-4.610406e-08
59	2.380000e-01	3.681559e-08	-4.459746e-11	3.677099e-08
60	2.420000e-01	-9.689037e-08	-5.966744e-11	-9.695004e-08
61	2.460000e-01	-2.271566e-08	-5.264823e-11	-2.276830e-08
62	2.500000e-01	2.663573e-08	-3.626910e-11	2.659946e-08
63	2.540000e-01	-3.959725e-08	-1.332140e-11	-3.961057e-08
64	2.580000e-01	1.162742e-08	-3.459535e-11	1.159283e-08
65	2.620000e-01	4.572238e-08	-5.677081e-11	4.566561e-08
66	2.660000e-01	-2.144066e-08	-5.503108e-11	-2.149569e-08
67	2.700000e-01	-3.244194e-09	-4.890508e-11	-3.293099e-09
68	2.740000e-01	2.635593e-09	-4.621126e-11	2.589382e-09
69	2.780000e-01	-3.396285e-08	-5.338125e-11	-3.401623e-08
70	2.820000e-01	-9.393780e-09	-4.810653e-11	-9.441886e-09
71	2.860000e-01	-5.384485e-08	-3.329392e-11	-5.387815e-08
72	2.900000e-01	2.189129e-08	-4.642365e-11	2.184487e-08
73	2.940000e-01	-2.069819e-08	-3.579344e-11	-2.073398e-08
74	2.980000e-01	-2.102413e-09	-4.722744e-11	-2.149640e-09
75	3.020000e-01	-9.171710e-09	-5.817928e-11	-9.229889e-09
76	3.060000e-01	-3.413604e-08	-2.979157e-11	-3.416583e-08
77	3.100000e-01	1.049134e-08	-5.051439e-11	1.044083e-08
78	3.140000e-01	7.653953e-09	-5.937671e-11	7.594576e-09
79	3.180000e-01	-1.524958e-08	-3.789401e-11	-1.528747e-08
80	3.220000e-01	-4.455558e-09	-5.477375e-11	-4.510332e-09
81	3.260000e-01	4.616079e-08	-6.527551e-11	4.609552e-08
82	3.300000e-01	-3.359634e-08	-7.109415e-11	-3.366743e-08
83	3.340000e-01	-1.645369e-08	-6.981888e-11	-1.652351e-08
84	3.380000e-01	3.495990e-08	-5.309815e-11	3.490680e-08
85	3.420000e-01	-1.317609e-08	-4.254025e-11	-1.321863e-08
86	3.460000e-01	1.760691e-08	-4.906778e-11	1.755784e-08
87	3.500000e-01	-4.319740e-09	-3.796090e-11	-4.357701e-09
88	3.540000e-01	-2.228315e-08	-2.689283e-11	-2.231004e-08
89	3.580000e-01	1.384268e-11	-4.919178e-11	-3.534910e-11
90	3.620000e-01	-6.840318e-09	-4.753572e-11	-6.887854e-09
91	3.660000e-01	-1.816202e-08	-3.606644e-11	-1.819809e-08
92	3.700000e-01	-1.830133e-08	-2.544449e-11	-1.832677e-08
93	3.740000e-01	-1.464220e-08	-5.080778e-11	-1.469301e-08
94	3.780000e-01	2.885944e-09	-4.790486e-11	2.838039e-09
95	3.820000e-01	-5.800559e-08	-6.254797e-11	-5.806814e-08
96	3.860000e-01	-7.172228e-09	-3.927417e-11	-7.211502e-09
97	3.900000e-01	-7.218089e-09	-6.147047e-11	-7.279559e-09
98	3.940000e-01	-1.770671e-08	-4.021602e-11	-1.774692e-08
99	3.980000e-01	1.702968e-08	-4.450636e-11	1.698518e-08
100	4.020000e-01	1.926253e-08	-6.826425e-11	1.919427e-08
101	4.060000e-01	9.327095e-09	-5.086985e-11	9.276226e-09
102	4.100000e-01	2.988195e-10	-4.139262e-11	2.574269e-10
103	4.140000e-01	-3.345713e-08	-4.278903e-11	-3.349991e-08
104	4.180000e-01	-3.506119e-08	-6.659859e-11	-3.512779e-08
105	4.220000e-01	-6.520619e-08	-6.390255e-11	-6.527010e-08
106	4.260000e-01	-1.359750e-08	-5.809935e-11	-1.365560e-08
107	4.300000e-01	-3.774430e-08	-7.533246e-11	-3.781963e-08
108	4.340000e-01	8.174516e-08	-4.755055e-11	8.169761e-08
109	4.380000e-01	-1.021217e-07	-4.177478e-11	-1.021635e-07
110	4.420000e-01	-2.978260e-10	-6.962784e-11	-3.674538e-10
111	4.460000e-01	4.189489e-08	-4.886940e-11	4.184602e-08
112	4.500000e-01	-9.319243e-09	-5.161439e-11	-9.370857e-09
113	4.540000e-01	-6.683497e-09	-6.172768e-11	-6.745225e-09
114	4.580000e-01	-4.381653e-08	-4.578127e-11	-4.386231e-08
115	4.620000e-01	2.341846e-08	-5.885041e-11	2.335961e-08
116	4.660000e-01	-3.445760e-08	-5.107533e-11	-3.450867e-08
117	4.700000e-01	3.969208e-08	-7.763878e-11	3.961444e-08
118	4.740000e-01	1.733112e-08	-4.224524e-11	1.728887e-08
119	4.780000e-01	-2.559170e-08	-7.597757e-11	-2.566768e-08
120	4.820000e-01	-8.642655e-11	-6.626058e-11	-1.526871e-10
121	4.860000e-01	-2.531022e-08	-4.294777e-11	-2.535316e-08
122	4.900000e-01	8.183396e-09	-4.590744e-11	8.137488e-09
123	4.940000e-01	-1.255127e-08	-1.795043e-11	-1.256922e-08
124	4.980000e-01	-5.705012e-08	-4.967326e-11	-5.709979e-08
125	5.020000e-01	2.902126e-09	-6.453283e-11	2.837593e-09
