# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	2.000000e-03	4.943470e-09	2.862903e-11	4.972099e-09
1	6.000000e-03	1.185028e-07	3.337569e-11	1.185362e-07
2	1.000000e-02	-1.537516e-07	2.985619e-11	-1.537217e-07
3	1.400000e-02	1.428625e-07	2.629488e-11	1.428888e-07
4	1.800000e-02	-5.737354e-08	1.348615e-11	-5.736006e-08
5	2.200000e-02	6.307210e-08	4.166203e-11	6.311376e-08
6	2.600000e-02	1.121375e-07	3.015452e-11	1.121676e-07
7	3.000000e-02	-1.561147e-07	3.439187e-11	-1.560803e-07
8	3.400000e-02	1.049415e-08	4.674212e-11	1.054089e-08
9	3.800000e-02	6.045850e-08	3.970725e-11	6.049821e-08
10	4.200000e-02	-2.772578e-07	5.144172e-11	-2.772064e-07
11	4.600000e-02	9.582372e-08	5.475305e-11	9.587847e-08
12	5.000000e-02	1.317085e-07	3.246058e-11	1.317410e-07
13	5.400000e-02	-5.596456e-08	5.231054e-11	-5.591225e-08
14	5.800000e-02	-7.193847e-08	3.658658e-11	-7.190188e-08
15	6.200000e-02	8.836540e-09	2.318101e-11	8.859721e-09
16	6.600000e-02	-2.593500e-08	3.332338e-11	-2.590167e-08
17	7.000000e-02	-1.732911e-08	5.200552e-11	-1.727711e-08
18	7.400000e-02	6.121366e-08	3.137833e-11	6.124504e-08
19	7.800000e-02	-1.024563e-07	2.016608e-11	-1.024361e-07
20	8.200000e-02	9.643796e-09	4.126312e-11	9.685059e-09
21	8.600000e-02	1.898811e-07	4.982464e-11	1.899309e-07
22	9.000000e-02	7.097593e-08	5.199988e-11	7.102793e-08
23	9.400000e-02	-7.855125e-08	3.951823e-11	-7.851173e-08
24	9.800000e-02	1.071794e-07	4.066962e-11	1.072201e-07
25	1.020000e-01	3.805306e-08	1.947620e-11	3.807254e-08
26	1.060000e-01	-2.589481e-07	1.452346e-11	-2.589336e-07
