# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	-4.845859e-10	-2.405198e-12	-4.869911e-10
1	2.400000e-02	-4.765229e-10	-1.925706e-12	-4.784486e-10
2	4.000000e-02	-5.780147e-10	-2.542811e-12	-5.805575e-10
3	5.600000e-02	-5.741580e-10	-2.965029e-12	-5.771230e-10
4	7.200000e-02	-5.348039e-10	-1.371605e-12	-5.361755e-10
5	8.800000e-02	-4.833588e-10	-3.326016e-12	-4.866848e-10
6	1.040000e-01	-4.539282e-10	-2.698044e-12	-4.566262e-10
7	1.200000e-01	-4.510939e-10	-1.336391e-12	-4.524303e-10
8	1.360000e-01	-5.088917e-10	-3.070087e-12	-5.119618e-10
9	1.520000e-01	-4.994526e-10	-3.094944e-12	-5.025476e-10
10	1.680000e-01	-5.567266e-10	-2.875468e-12	-5.596021e-10
11	1.840000e-01	-5.704142e-10	-2.417449e-12	-5.728316e-10
12	2.000000e-01	-5.518862e-10	-2.970000e-12	-5.548562e-10
13	2.160000e-01	-5.402414e-10	-1.811050e-12	-5.420524e-10
14	2.320000e-01	-4.598734e-10	-3.846513e-12	-4.637199e-10
15	2.480000e-01	-3.824377e-10	-2.242875e-12	-3.846806e-10
16	2.640000e-01	-4.550359e-10	-1.779933e-12	-4.568158e-10
17	2.800000e-01	-3.958036e-10	-2.845730e-12	-3.986493e-10
18	2.960000e-01	-3.579099e-10	-2.812698e-12	-3.607226e-10
19	3.120000e-01	-3.739271e-10	-1.971474e-12	-3.758986e-10
20	3.280000e-01	-3.274496e-10	-3.042593e-12	-3.304921e-10
21	3.440000e-01	-3.586735e-10	-2.223077e-12	-3.608965e-10
22	3.600000e-01	-4.265688e-10	-2.861557e-12	-4.294304e-10
23	3.760000e-01	-5.613005e-10	-2.722606e-12	-5.640231e-10
24	3.920000e-01	-4.361366e-10	-2.924706e-12	-4.390613e-10
25	4.080000e-01	-4.553841e-10	-2.467588e-12	-4.578516e-10
26	4.240000e-01	-4.054444e-10	-3.025415e-12	-4.084698e-10
27	4.400000e-01	-4.072904e-10	-2.411433e-12	-4.097019e-10
28	4.560000e-01	-3.235575e-10	-3.009840e-12	-3.265673e-10
29	4.720000e-01	-3.357331e-10	-2.418305e-12	-3.381514e-10
30	4.880000e-01	-3.044684e-10	-3.479116e-12	-3.079475e-10
31	5.040000e-01	-4.007307e-10	-2.542320e-12	-4.032731e-10
32	5.200000e-01	-3.813111e-10	-2.883247e-12	-3.841943e-10
33	5.360000e-01	-3.792333e-10	-2.850977e-12	-3.820843e-10
34	5.520000e-01	-3.880150e-10	-2.654960e-12	-3.906699e-10
35	5.680000e-01	-3.023852e-10	-3.113330e-12	-3.054986e-10
36	5.840000e-01	-1.590386e-10	-3.300451e-12	-1.623391e-10
37	6.000000e-01	-2.032705e-10	-3.441633e-12	-2.067121e-10
38	6.160000e-01	-3.310202e-10	-3.103219e-12	-3.341234e-10
39	6.320000e-01	-2.542379e-10	-3.801118e-12	-2.580390e-10
40	6.480000e-01	-2.821507e-10	-2.384731e-12	-2.845355e-10
41	6.640000e-01	-2.792091e-10	-3.031832e-12	-2.822409e-10
42	6.800000e-01	-2.138979e-10	-2.993578e-12	-2.168915e-10
43	6.960000e-01	-3.260901e-10	-3.298393e-12	-3.293885e-10
44	7.120000e-01	-2.874410e-10	-2.863070e-12	-2.903041e-10
45	7.280000e-01	-3.270386e-10	-2.026275e-12	-3.290648e-10
46	7.440000e-01	-3.174347e-10	-2.022310e-12	-3.194570e-10
47	7.600000e-01	-2.748307e-10	-2.631726e-12	-2.774624e-10
48	7.760000e-01	-3.813700e-10	-3.112267e-12	-3.844822e-10
49	7.920000e-01	-2.169930e-10	-2.787553e-12	-2.197806e-10
50	8.080000e-01	-3.882596e-10	-3.226071e-12	-3.914857e-10
51	8.240000e-01	-2.814552e-10	-3.142496e-12	-2.845977e-10
52	8.400000e-01	-2.147081e-10	-3.504184e-12	-2.182123e-10
53	8.560000e-01	-2.858549e-10	-3.612048e-12	-2.894669e-10
54	8.720000e-01	-2.183857e-10	-2.047365e-12	-2.204331e-10
55	8.880000e-01	-2.507273e-10	-3.594637e-12	-2.543219e-10
56	9.040000e-01	-2.526825e-10	-3.422465e-12	-2.561050e-10
57	9.200000e-01	-2.167537e-10	-2.901025e-12	-2.196547e-10
58	9.360000e-01	-2.530676e-10	-3.188449e-12	-2.562560e-10
59	9.520000e-01	-1.842537e-10	-3.424861e-12	-1.876786e-10
60	9.680000e-01	-2.307315e-10	-3.624932e-12	-2.343564e-10
61	9.840000e-01	-2.942153e-10	-3.409414e-12	-2.976247e-10
62	1.000000e+00	-2.438769e-10	-3.863211e-12	-2.477402e-10
63	1.016000e+00	-2.847909e-10	-3.187363e-12	-2.879783e-10
64	1.032000e+00	-3.873057e-10	-3.541080e-12	-3.908468e-10
65	1.048000e+00	-2.498960e-10	-3.981501e-12	-2.538775e-10
66	1.064000e+00	-3.028543e-10	-3.289662e-12	-3.061439e-10
67	1.080000e+00	-3.004666e-10	-3.266699e-12	-3.037333e-10
68	1.096000e+00	-1.895272e-10	-4.507125e-12	-1.940344e-10
69	1.112000e+00	-2.826375e-10	-4.389373e-12	-2.870269e-10
70	1.128000e+00	-2.812115e-10	-3.418293e-12	-2.846298e-10
71	1.144000e+00	-1.743261e-10	-4.357329e-12	-1.786834e-10
72	1.160000e+00	-1.799899e-10	-3.456657e-12	-1.834465e-10
73	1.176000e+00	-2.564170e-10	-3.437842e-12	-2.598548e-10
74	1.192000e+00	-1.887757e-10	-3.807225e-12	-1.925829e-10
75	1.208000e+00	-2.538823e-10	-4.380220e-12	-2.582625e-10
76	1.224000e+00	-1.697395e-10	-4.039159e-12	-1.737787e-10
77	1.240000e+00	-2.526487e-10	-2.385537e-12	-2.550342e-10
78	1.256000e+00	-3.079657e-10	-3.682724e-12	-3.116485e-10
79	1.272000e+00	-6.849464e-11	-3.149181e-12	-7.164382e-11
80	1.288000e+00	-1.869564e-10	-2.768273e-12	-1.897246e-10
81	1.304000e+00	-2.092092e-10	-3.244530e-12	-2.124537e-10
82	1.320000e+00	-1.444958e-10	-2.549853e-12	-1.470457e-10
83	1.336000e+00	-1.191924e-10	-3.686254e-12	-1.228786e-10
84	1.352000e+00	-2.040385e-10	-4.107486e-12	-2.081460e-10
85	1.368000e+00	-1.695632e-10	-3.697396e-12	-1.732606e-10
86	1.384000e+00	-2.174941e-10	-3.066330e-12	-2.205604e-10
87	1.400000e+00	-1.954603e-10	-3.655113e-12	-1.991154e-10
88	1.416000e+00	-2.594109e-10	-4.463254e-12	-2.638741e-10
89	1.432000e+00	-2.849928e-10	-3.791827e-12	-2.887846e-10
90	1.448000e+00	-1.877800e-10	-4.281307e-12	-1.920613e-10
91	1.464000e+00	-9.130615e-11	-3.260597e-12	-9.456675e-11
92	1.480000e+00	-1.916949e-10	-3.499220e-12	-1.951941e-10
93	1.496000e+00	-1.284855e-10	-3.307243e-12	-1.317928e-10
94	1.512000e+00	-1.930826e-10	-4.064328e-12	-1.971469e-10
95	1.528000e+00	-1.856066e-10	-3.293361e-12	-1.889000e-10
96	1.544000e+00	-2.236899e-10	-2.826810e-12	-2.265167e-10
97	1.560000e+00	-1.490379e-10	-3.326771e-12	-1.523647e-10
98	1.576000e+00	-1.472369e-10	-2.578050e-12	-1.498150e-10
99	1.592000e+00	-1.436635e-10	-3.720623e-12	-1.473841e-10
100	1.608000e+00	-1.442501e-10	-4.637301e-12	-1.488874e-10
101	1.624000e+00	-1.214876e-10	-4.796196e-12	-1.262838e-10
102	1.640000e+00	-1.626458e-10	-5.075457e-12	-1.677212e-10
103	1.656000e+00	-1.251168e-10	-2.102870e-12	-1.272197e-10
104	1.672000e+00	-1.478113e-10	-4.014856e-12	-1.518262e-10
105	1.688000e+00	-1.731851e-10	-4.294516e-12	-1.774796e-10
