# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	1.078954e-09	4.132462e-12	1.083086e-09
1	2.400000e-02	8.007174e-10	2.489270e-12	8.032067e-10
2	4.000000e-02	8.914939e-10	2.255856e-12	8.937497e-10
3	5.600000e-02	9.465904e-10	6.668444e-12	9.532589e-10
4	7.200000e-02	9.684353e-10	9.308621e-12	9.777439e-10
5	8.800000e-02	1.203721e-09	9.881060e-12	1.213602e-09
6	1.040000e-01	7.671746e-10	7.630187e-12	7.748048e-10
7	1.200000e-01	8.558433e-10	7.541124e-12	8.633845e-10
8	1.360000e-01	8.727629e-10	8.602844e-12	8.813658e-10
9	1.520000e-01	1.110840e-09	7.690396e-12	1.118530e-09
10	1.680000e-01	8.355663e-10	6.902355e-12	8.424686e-10
11	1.840000e-01	1.174649e-09	6.958673e-12	1.181608e-09
12	2.000000e-01	1.002731e-09	5.333987e-12	1.008065e-09
13	2.160000e-01	1.092850e-09	5.999821e-12	1.098850e-09
14	2.320000e-01	1.055456e-09	6.440082e-12	1.061897e-09
15	2.480000e-01	1.365402e-09	4.351676e-12	1.369754e-09
16	2.640000e-01	1.133873e-09	8.993402e-12	1.142867e-09
17	2.800000e-01	1.107285e-09	1.287803e-11	1.120163e-09
18	2.960000e-01	8.226230e-10	1.359661e-11	8.362196e-10
19	3.120000e-01	1.044123e-09	1.327149e-11	1.057394e-09
20	3.280000e-01	1.002510e-09	1.740768e-11	1.019918e-09
21	3.440000e-01	8.006799e-10	1.392067e-11	8.146005e-10
22	3.600000e-01	9.036782e-10	2.146517e-11	9.251434e-10
23	3.760000e-01	1.284899e-09	1.666834e-11	1.301567e-09
24	3.920000e-01	8.478913e-10	1.764687e-11	8.655382e-10
25	4.080000e-01	1.225137e-09	1.673740e-11	1.241875e-09
26	4.240000e-01	8.590350e-10	1.834752e-11	8.773825e-10
27	4.400000e-01	1.070524e-09	1.351484e-11	1.084039e-09
28	4.560000e-01	1.245483e-09	1.581132e-11	1.261294e-09
29	4.720000e-01	1.072571e-09	1.426173e-11	1.086832e-09
30	4.880000e-01	1.377686e-09	1.354209e-11	1.391228e-09
31	5.040000e-01	9.678950e-10	2.797227e-11	9.958673e-10
32	5.200000e-01	1.149401e-09	3.091615e-11	1.180317e-09
33	5.360000e-01	8.412882e-10	3.186013e-11	8.731484e-10
34	5.520000e-01	9.415063e-10	2.514599e-11	9.666523e-10
35	5.680000e-01	1.083250e-09	3.326742e-11	1.116518e-09
36	5.840000e-01	1.103977e-09	4.044767e-11	1.144425e-09
37	6.000000e-01	1.162254e-09	4.843354e-11	1.210688e-09
38	6.160000e-01	1.492691e-09	4.760714e-11	1.540298e-09
39	6.320000e-01	1.134848e-09	4.635096e-11	1.181199e-09
40	6.480000e-01	1.437350e-09	4.834780e-11	1.485697e-09
41	6.640000e-01	5.401809e-10	5.425425e-11	5.944352e-10
42	6.800000e-01	9.335953e-10	5.857353e-11	9.921688e-10
43	6.960000e-01	1.107911e-09	5.140308e-11	1.159314e-09
44	7.120000e-01	1.021850e-09	5.009737e-11	1.071947e-09
45	7.280000e-01	1.032122e-09	5.831321e-11	1.090436e-09
46	7.440000e-01	1.361255e-09	5.460385e-11	1.415859e-09
47	7.600000e-01	1.127769e-09	4.713289e-11	1.174902e-09
48	7.760000e-01	8.588678e-10	4.400826e-11	9.028761e-10
49	7.920000e-01	8.519120e-10	5.404613e-11	9.059581e-10
50	8.080000e-01	1.119716e-09	5.810858e-11	1.177824e-09
51	8.240000e-01	9.567204e-10	5.217265e-11	1.008893e-09
52	8.400000e-01	1.195448e-09	5.174781e-11	1.247195e-09
53	8.560000e-01	9.905214e-10	5.674021e-11	1.047262e-09
54	8.720000e-01	1.456885e-09	5.507486e-11	1.511960e-09
55	8.880000e-01	1.096269e-09	5.436064e-11	1.150630e-09
56	9.040000e-01	8.345803e-10	5.750838e-11	8.920887e-10
57	9.200000e-01	1.112244e-09	5.687793e-11	1.169122e-09
58	9.360000e-01	1.175292e-09	5.615103e-11	1.231443e-09
59	9.520000e-01	1.066626e-09	5.725639e-11	1.123882e-09
60	9.680000e-01	1.151012e-09	6.213119e-11	1.213143e-09
61	9.840000e-01	1.151705e-09	6.148346e-11	1.213188e-09
62	1.000000e+00	1.178376e-09	5.635895e-11	1.234735e-09
63	1.016000e+00	1.269317e-09	5.212840e-11	1.321446e-09
64	1.032000e+00	1.260890e-09	5.810030e-11	1.318991e-09
65	1.048000e+00	1.142856e-09	6.055599e-11	1.203412e-09
66	1.064000e+00	1.230372e-09	6.490808e-11	1.295280e-09
67	1.080000e+00	1.019492e-09	7.420490e-11	1.093697e-09
68	1.096000e+00	1.063132e-09	6.555239e-11	1.128684e-09
69	1.112000e+00	1.664008e-09	6.777220e-11	1.731780e-09
70	1.128000e+00	1.425336e-09	7.310638e-11	1.498443e-09
71	1.144000e+00	1.094283e-09	7.690398e-11	1.171187e-09
72	1.160000e+00	1.198206e-09	8.226260e-11	1.280469e-09
73	1.176000e+00	1.155012e-09	8.148604e-11	1.236498e-09
74	1.192000e+00	1.301978e-09	7.618798e-11	1.378166e-09
75	1.208000e+00	1.429203e-09	8.784553e-11	1.517049e-09
76	1.224000e+00	1.227010e-09	9.093192e-11	1.317941e-09
77	1.240000e+00	1.843782e-09	9.884940e-11	1.942631e-09
78	1.256000e+00	1.383798e-09	1.062287e-10	1.490026e-09
79	1.272000e+00	1.577008e-09	1.020443e-10	1.679053e-09
80	1.288000e+00	1.002823e-09	1.054525e-10	1.108276e-09
81	1.304000e+00	1.645399e-09	1.030830e-10	1.748482e-09
82	1.320000e+00	1.809857e-09	1.040720e-10	1.913929e-09
83	1.336000e+00	1.197927e-09	1.028202e-10	1.300747e-09
84	1.352000e+00	1.690353e-09	1.093066e-10	1.799660e-09
