# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	-8.605423e-10	-2.756635e-12	-8.632989e-10
1	2.400000e-02	-9.913349e-10	-3.496205e-12	-9.948311e-10
2	4.000000e-02	-1.072985e-09	-3.491743e-12	-1.076476e-09
3	5.600000e-02	-9.723949e-10	-3.910561e-12	-9.763055e-10
4	7.200000e-02	-8.878602e-10	-3.985981e-12	-8.918461e-10
5	8.800000e-02	-9.479651e-10	-4.600401e-12	-9.525655e-10
6	1.040000e-01	-1.006209e-09	-4.339998e-12	-1.010549e-09
7	1.200000e-01	-8.941342e-10	-4.357009e-12	-8.984912e-10
8	1.360000e-01	-9.681303e-10	-4.925190e-12	-9.730555e-10
9	1.520000e-01	-7.884574e-10	-5.505420e-12	-7.939628e-10
10	1.680000e-01	-8.450118e-10	-4.494930e-12	-8.495067e-10
11	1.840000e-01	-9.549684e-10	-5.270244e-12	-9.602386e-10
12	2.000000e-01	-1.172569e-09	-5.635431e-12	-1.178205e-09
13	2.160000e-01	-1.076927e-09	-5.348458e-12	-1.082275e-09
14	2.320000e-01	-9.181087e-10	-5.832065e-12	-9.239407e-10
15	2.480000e-01	-8.102133e-10	-6.592820e-12	-8.168061e-10
16	2.640000e-01	-7.654087e-10	-6.948460e-12	-7.723571e-10
17	2.800000e-01	-9.252138e-10	-6.358763e-12	-9.315725e-10
18	2.960000e-01	-7.938210e-10	-8.110046e-12	-8.019311e-10
19	3.120000e-01	-6.856319e-10	-7.961939e-12	-6.935938e-10
20	3.280000e-01	-7.222470e-10	-7.688756e-12	-7.299358e-10
21	3.440000e-01	-7.900391e-10	-7.119013e-12	-7.971581e-10
22	3.600000e-01	-9.131544e-10	-8.430958e-12	-9.215854e-10
23	3.760000e-01	-8.409330e-10	-7.688712e-12	-8.486218e-10
24	3.920000e-01	-7.423277e-10	-7.245868e-12	-7.495736e-10
25	4.080000e-01	-6.170660e-10	-8.179027e-12	-6.252450e-10
26	4.240000e-01	-6.388136e-10	-7.485382e-12	-6.462990e-10
27	4.400000e-01	-6.955887e-10	-8.835408e-12	-7.044241e-10
28	4.560000e-01	-6.792858e-10	-1.053664e-11	-6.898225e-10
29	4.720000e-01	-7.670435e-10	-8.131620e-12	-7.751751e-10
30	4.880000e-01	-7.638255e-10	-9.353439e-12	-7.731789e-10
31	5.040000e-01	-5.866010e-10	-1.044398e-11	-5.970450e-10
32	5.200000e-01	-5.453318e-10	-8.901462e-12	-5.542333e-10
33	5.360000e-01	-6.827683e-10	-1.080865e-11	-6.935769e-10
34	5.520000e-01	-6.884451e-10	-1.216103e-11	-7.006061e-10
35	5.680000e-01	-5.314028e-10	-1.021854e-11	-5.416213e-10
36	5.840000e-01	-6.346078e-10	-1.015654e-11	-6.447643e-10
37	6.000000e-01	-5.979773e-10	-9.810523e-12	-6.077878e-10
38	6.160000e-01	-4.215789e-10	-1.130980e-11	-4.328887e-10
39	6.320000e-01	-5.218395e-10	-9.366043e-12	-5.312055e-10
40	6.480000e-01	-4.445385e-10	-8.646999e-12	-4.531855e-10
