# RPC induced signal at TopGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	3.167516e-04	1.025952e-06	3.177776e-04
1	2.400000e-02	3.642847e-04	1.289924e-06	3.655747e-04
2	4.000000e-02	3.947974e-04	1.259965e-06	3.960573e-04
3	5.600000e-02	3.573777e-04	1.445768e-06	3.588235e-04
4	7.200000e-02	3.255246e-04	1.469216e-06	3.269938e-04
5	8.800000e-02	3.476062e-04	1.688372e-06	3.492945e-04
6	1.040000e-01	3.699068e-04	1.586197e-06	3.714930e-04
7	1.200000e-01	3.284584e-04	1.583774e-06	3.300422e-04
8	1.360000e-01	3.545405e-04	1.811491e-06	3.563520e-04
9	1.520000e-01	2.896139e-04	2.025862e-06	2.916397e-04
10	1.680000e-01	3.103489e-04	1.641489e-06	3.119904e-04
11	1.840000e-01	3.505582e-04	1.933265e-06	3.524915e-04
12	2.000000e-01	4.312150e-04	2.065418e-06	4.332804e-04
13	2.160000e-01	3.956005e-04	1.964976e-06	3.975655e-04
14	2.320000e-01	3.377938e-04	2.152662e-06	3.399465e-04
15	2.480000e-01	2.989590e-04	2.428142e-06	3.013872e-04
16	2.640000e-01	2.815186e-04	2.548551e-06	2.840672e-04
17	2.800000e-01	3.408907e-04	2.334510e-06	3.432253e-04
18	2.960000e-01	2.915103e-04	2.946246e-06	2.944566e-04
19	3.120000e-01	2.518139e-04	2.941192e-06	2.547551e-04
20	3.280000e-01	2.654425e-04	2.831424e-06	2.682739e-04
21	3.440000e-01	2.904625e-04	2.605942e-06	2.930685e-04
22	3.600000e-01	3.355199e-04	3.106049e-06	3.386259e-04
23	3.760000e-01	3.088122e-04	2.822563e-06	3.116347e-04
24	3.920000e-01	2.727294e-04	2.649322e-06	2.753787e-04
25	4.080000e-01	2.275028e-04	3.015719e-06	2.305185e-04
26	4.240000e-01	2.343148e-04	2.747492e-06	2.370623e-04
27	4.400000e-01	2.556912e-04	3.230414e-06	2.589216e-04
28	4.560000e-01	2.495264e-04	3.894517e-06	2.534209e-04
29	4.720000e-01	2.826570e-04	2.992432e-06	2.856495e-04
30	4.880000e-01	2.804650e-04	3.421400e-06	2.838864e-04
31	5.040000e-01	2.158708e-04	3.813563e-06	2.196843e-04
32	5.200000e-01	2.001256e-04	3.274278e-06	2.033999e-04
33	5.360000e-01	2.501884e-04	3.950613e-06	2.541390e-04
34	5.520000e-01	2.535689e-04	4.458091e-06	2.580270e-04
35	5.680000e-01	1.951513e-04	3.737405e-06	1.988887e-04
36	5.840000e-01	2.317598e-04	3.747172e-06	2.355070e-04
37	6.000000e-01	2.190250e-04	3.568436e-06	2.225934e-04
38	6.160000e-01	1.545228e-04	4.161832e-06	1.586847e-04
39	6.320000e-01	1.903621e-04	3.423965e-06	1.937860e-04
40	6.480000e-01	1.623388e-04	3.165455e-06	1.655043e-04
41	6.640000e-01	1.520865e-04	2.814510e-06	1.549010e-04
42	6.800000e-01	1.651645e-04	3.292558e-06	1.684570e-04
43	6.960000e-01	1.522343e-04	3.808437e-06	1.560427e-04
44	7.120000e-01	1.512682e-04	3.748426e-06	1.550166e-04
45	7.280000e-01	1.826342e-04	3.552878e-06	1.861871e-04
46	7.440000e-01	1.685624e-04	4.097289e-06	1.726596e-04
47	7.600000e-01	2.270559e-04	4.376678e-06	2.314326e-04
48	7.760000e-01	1.914019e-04	4.425860e-06	1.958277e-04
49	7.920000e-01	1.915162e-04	4.330148e-06	1.958463e-04
50	8.080000e-01	2.009656e-04	4.648538e-06	2.056141e-04
51	8.240000e-01	1.742388e-04	4.638505e-06	1.788773e-04
52	8.400000e-01	1.724203e-04	3.814129e-06	1.762344e-04
53	8.560000e-01	1.637215e-04	4.390356e-06	1.681119e-04
54	8.720000e-01	2.040797e-04	4.997090e-06	2.090768e-04
55	8.880000e-01	2.290221e-04	5.063647e-06	2.340858e-04
56	9.040000e-01	2.015086e-04	4.299663e-06	2.058082e-04
57	9.200000e-01	1.993146e-04	5.573690e-06	2.048883e-04
58	9.360000e-01	1.517141e-04	5.030966e-06	1.567451e-04
59	9.520000e-01	1.987578e-04	5.224385e-06	2.039822e-04
60	9.680000e-01	1.384629e-04	5.152730e-06	1.436157e-04
61	9.840000e-01	1.708283e-04	5.674419e-06	1.765027e-04
62	1.000000e+00	2.070693e-04	5.622377e-06	2.126917e-04
63	1.016000e+00	1.283362e-04	4.928867e-06	1.332651e-04
64	1.032000e+00	1.497942e-04	5.240495e-06	1.550347e-04
65	1.048000e+00	1.545776e-04	5.197573e-06	1.597752e-04
66	1.064000e+00	1.454478e-04	4.881657e-06	1.503295e-04
67	1.080000e+00	9.889995e-05	5.946416e-06	1.048464e-04
68	1.096000e+00	1.330523e-04	5.702840e-06	1.387551e-04
69	1.112000e+00	1.303668e-04	6.160150e-06	1.365269e-04
70	1.128000e+00	1.536074e-04	5.931413e-06	1.595388e-04
71	1.144000e+00	9.644478e-05	5.923576e-06	1.023684e-04
72	1.160000e+00	1.661745e-04	6.442634e-06	1.726172e-04
73	1.176000e+00	1.602786e-04	6.127772e-06	1.664064e-04
74	1.192000e+00	9.016314e-05	6.245079e-06	9.640822e-05
75	1.208000e+00	1.616109e-04	6.562932e-06	1.681739e-04
76	1.224000e+00	2.157023e-04	6.626211e-06	2.223285e-04
77	1.240000e+00	1.129000e-04	7.184952e-06	1.200849e-04
78	1.256000e+00	1.791103e-04	6.536895e-06	1.856472e-04
79	1.272000e+00	1.971211e-04	6.844853e-06	2.039659e-04
80	1.288000e+00	1.531548e-04	7.243521e-06	1.603983e-04
81	1.304000e+00	1.711934e-04	6.910348e-06	1.781038e-04
82	1.320000e+00	1.881259e-04	7.028951e-06	1.951548e-04
83	1.336000e+00	1.543756e-04	7.026330e-06	1.614020e-04
84	1.352000e+00	1.486651e-04	7.135126e-06	1.558002e-04
85	1.368000e+00	1.676006e-04	7.129924e-06	1.747305e-04
86	1.384000e+00	9.091724e-05	7.332273e-06	9.824951e-05
87	1.400000e+00	1.837049e-04	7.254574e-06	1.909594e-04
88	1.416000e+00	1.175315e-04	8.228460e-06	1.257600e-04
89	1.432000e+00	1.101356e-04	7.450286e-06	1.175858e-04
90	1.448000e+00	1.470276e-04	7.470591e-06	1.544982e-04
91	1.464000e+00	1.270897e-04	7.854777e-06	1.349445e-04
92	1.480000e+00	1.517347e-04	8.075914e-06	1.598106e-04
93	1.496000e+00	1.411628e-04	8.147917e-06	1.493108e-04
94	1.512000e+00	7.539228e-05	7.728826e-06	8.312111e-05
95	1.528000e+00	8.222216e-05	7.307400e-06	8.952956e-05
96	1.544000e+00	1.242474e-04	7.551827e-06	1.317993e-04
97	1.560000e+00	9.855378e-05	8.528186e-06	1.070820e-04
98	1.576000e+00	9.808834e-05	7.530736e-06	1.056191e-04
99	1.592000e+00	1.428335e-04	8.242328e-06	1.510758e-04
100	1.608000e+00	9.809043e-05	7.817160e-06	1.059076e-04
101	1.624000e+00	7.361353e-05	7.874404e-06	8.148794e-05
102	1.640000e+00	1.108651e-04	8.229529e-06	1.190947e-04
103	1.656000e+00	7.111840e-05	8.027047e-06	7.914545e-05
104	1.672000e+00	8.091716e-05	7.668515e-06	8.858568e-05
105	1.688000e+00	6.500489e-05	7.709819e-06	7.271471e-05
106	1.704000e+00	8.336458e-05	7.371297e-06	9.073587e-05
107	1.720000e+00	3.240847e-05	7.447621e-06	3.985609e-05
108	1.736000e+00	1.053338e-04	7.107797e-06	1.124416e-04
109	1.752000e+00	9.174035e-05	7.817275e-06	9.955762e-05
110	1.768000e+00	1.016985e-04	8.510174e-06	1.102087e-04
111	1.784000e+00	1.166426e-04	8.044640e-06	1.246873e-04
112	1.800000e+00	8.879332e-05	7.582091e-06	9.637541e-05
113	1.816000e+00	8.146615e-05	7.767371e-06	8.923352e-05
114	1.832000e+00	8.570212e-05	8.681979e-06	9.438410e-05
115	1.848000e+00	1.013636e-04	8.360946e-06	1.097246e-04
116	1.864000e+00	8.743736e-05	7.288687e-06	9.472605e-05
117	1.880000e+00	4.362994e-05	7.460833e-06	5.109078e-05
118	1.896000e+00	7.312705e-05	8.056415e-06	8.118347e-05
119	1.912000e+00	8.268521e-05	7.920730e-06	9.060593e-05
120	1.928000e+00	3.922519e-05	8.319251e-06	4.754444e-05
121	1.944000e+00	7.138765e-05	9.002349e-06	8.039000e-05
122	1.960000e+00	7.141674e-05	8.469822e-06	7.988656e-05
123	1.976000e+00	4.695086e-05	8.051888e-06	5.500275e-05
124	1.992000e+00	3.530961e-05	9.036390e-06	4.434600e-05
125	2.008000e+00	8.482178e-05	8.239043e-06	9.306082e-05
126	2.024000e+00	5.431478e-05	8.800132e-06	6.311491e-05
127	2.040000e+00	4.460842e-05	7.314726e-06	5.192315e-05
128	2.056000e+00	7.095974e-05	7.878585e-06	7.883832e-05
129	2.072000e+00	4.113804e-05	8.160730e-06	4.929877e-05
130	2.088000e+00	3.130770e-05	8.100901e-06	3.940861e-05
131	2.104000e+00	3.873772e-05	7.770456e-06	4.650818e-05
132	2.120000e+00	6.008006e-05	7.698301e-06	6.777836e-05
133	2.136000e+00	2.328827e-05	8.152258e-06	3.144053e-05
134	2.152000e+00	6.266388e-05	8.062287e-06	7.072617e-05
135	2.168000e+00	5.129163e-05	7.235447e-06	5.852708e-05
136	2.184000e+00	4.238297e-05	7.318643e-06	4.970161e-05
137	2.200000e+00	5.653065e-05	7.810273e-06	6.434092e-05
138	2.216000e+00	1.743023e-05	8.300665e-06	2.573089e-05
139	2.232000e+00	2.771139e-05	8.019639e-06	3.573103e-05
140	2.248000e+00	2.070468e-05	7.445809e-06	2.815049e-05
141	2.264000e+00	6.894802e-05	8.120761e-06	7.706878e-05
142	2.280000e+00	5.485461e-05	8.178153e-06	6.303276e-05
143	2.296000e+00	5.168542e-05	8.556320e-06	6.024174e-05
144	2.312000e+00	5.408028e-05	8.632477e-06	6.271276e-05
145	2.328000e+00	6.587787e-05	8.641067e-06	7.451894e-05
146	2.344000e+00	7.227988e-05	8.850943e-06	8.113083e-05
147	2.360000e+00	4.950592e-05	8.481775e-06	5.798770e-05
148	2.376000e+00	4.671083e-05	8.249815e-06	5.496065e-05
149	2.392000e+00	3.768382e-05	8.332037e-06	4.601585e-05
150	2.408000e+00	3.343452e-05	8.346188e-06	4.178071e-05
151	2.424000e+00	3.693375e-05	7.719538e-06	4.465329e-05
152	2.440000e+00	2.603235e-05	8.086982e-06	3.411934e-05
153	2.456000e+00	6.949578e-05	8.101359e-06	7.759714e-05
154	2.472000e+00	7.983876e-06	8.681539e-06	1.666542e-05
155	2.488000e+00	2.916774e-05	8.912689e-06	3.808043e-05
156	2.504000e+00	3.527016e-05	7.954608e-06	4.322477e-05
157	2.520000e+00	5.041816e-05	7.963282e-06	5.838145e-05
158	2.536000e+00	1.709773e-05	8.019563e-06	2.511730e-05
159	2.552000e+00	4.708975e-05	7.806297e-06	5.489605e-05
160	2.568000e+00	3.877590e-05	8.671625e-06	4.744752e-05
161	2.584000e+00	1.146447e-05	9.451693e-06	2.091616e-05
162	2.600000e+00	6.349375e-05	9.635409e-06	7.312916e-05
163	2.616000e+00	2.522707e-05	8.681542e-06	3.390861e-05
164	2.632000e+00	2.538697e-05	8.439461e-06	3.382643e-05
