# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	8.520915e-10	2.761341e-12	8.548528e-10
1	2.400000e-02	9.796995e-10	3.447383e-12	9.831468e-10
2	4.000000e-02	1.062159e-09	3.394711e-12	1.065553e-09
3	5.600000e-02	9.618100e-10	3.903987e-12	9.657139e-10
4	7.200000e-02	8.760894e-10	3.969627e-12	8.800590e-10
5	8.800000e-02	9.354245e-10	4.577063e-12	9.400016e-10
6	1.040000e-01	9.928862e-10	4.262468e-12	9.971487e-10
7	1.200000e-01	8.836920e-10	4.278862e-12	8.879708e-10
8	1.360000e-01	9.509938e-10	4.885351e-12	9.558792e-10
9	1.520000e-01	7.777027e-10	5.426146e-12	7.831289e-10
10	1.680000e-01	8.348516e-10	4.425401e-12	8.392770e-10
11	1.840000e-01	9.424805e-10	5.175538e-12	9.476560e-10
12	2.000000e-01	1.160265e-09	5.540448e-12	1.165806e-09
13	2.160000e-01	1.063569e-09	5.249524e-12	1.068818e-09
14	2.320000e-01	9.092053e-10	5.854035e-12	9.150593e-10
15	2.480000e-01	8.043563e-10	6.500842e-12	8.108572e-10
16	2.640000e-01	7.575892e-10	6.859877e-12	7.644491e-10
17	2.800000e-01	9.173544e-10	6.290144e-12	9.236445e-10
18	2.960000e-01	7.841622e-10	7.842949e-12	7.920051e-10
19	3.120000e-01	6.771270e-10	7.942140e-12	6.850692e-10
20	3.280000e-01	7.140740e-10	7.602918e-12	7.216769e-10
21	3.440000e-01	7.813972e-10	6.965560e-12	7.883628e-10
22	3.600000e-01	9.025295e-10	8.318110e-12	9.108476e-10
23	3.760000e-01	8.296558e-10	7.652663e-12	8.373085e-10
24	3.920000e-01	7.330334e-10	7.082533e-12	7.401159e-10
25	4.080000e-01	6.119308e-10	8.085089e-12	6.200159e-10
26	4.240000e-01	6.282992e-10	7.384174e-12	6.356834e-10
27	4.400000e-01	6.879129e-10	8.662047e-12	6.965749e-10
28	4.560000e-01	6.703625e-10	1.050619e-11	6.808687e-10
29	4.720000e-01	7.610425e-10	8.052256e-12	7.690947e-10
30	4.880000e-01	7.515324e-10	9.173808e-12	7.607062e-10
31	5.040000e-01	5.814605e-10	1.020473e-11	5.916653e-10
32	5.200000e-01	5.384148e-10	8.794914e-12	5.472097e-10
33	5.360000e-01	6.707084e-10	1.065267e-11	6.813611e-10
34	5.520000e-01	6.819600e-10	1.190813e-11	6.938682e-10
35	5.680000e-01	5.246445e-10	1.005208e-11	5.346965e-10
36	5.840000e-01	6.208397e-10	1.010340e-11	6.309431e-10
37	6.000000e-01	5.885572e-10	9.551861e-12	5.981090e-10
38	6.160000e-01	4.142053e-10	1.118207e-11	4.253874e-10
39	6.320000e-01	5.101305e-10	9.149064e-12	5.192796e-10
40	6.480000e-01	4.353839e-10	8.532400e-12	4.439163e-10
