# RPC induced signal at BottomGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	0.000000e+00	-7.271287e-08	-7.271287e-08
1	2.400000e-02	0.000000e+00	-1.003077e-07	-1.003077e-07
2	4.000000e-02	0.000000e+00	-2.051514e-07	-2.051514e-07
3	5.600000e-02	0.000000e+00	-1.839900e-07	-1.839900e-07
4	7.200000e-02	0.000000e+00	-1.056129e-07	-1.056129e-07
5	8.800000e-02	0.000000e+00	-2.748208e-07	-2.748208e-07
6	1.040000e-01	0.000000e+00	-2.846622e-08	-2.846622e-08
7	1.200000e-01	0.000000e+00	1.357170e-08	1.357170e-08
8	1.360000e-01	0.000000e+00	-8.888644e-08	-8.888644e-08
9	1.520000e-01	0.000000e+00	-9.415818e-08	-9.415818e-08
10	1.680000e-01	0.000000e+00	-1.829417e-07	-1.829417e-07
11	1.840000e-01	0.000000e+00	-9.971579e-08	-9.971579e-08
12	2.000000e-01	0.000000e+00	-1.683170e-07	-1.683170e-07
13	2.160000e-01	0.000000e+00	-1.978658e-07	-1.978658e-07
14	2.320000e-01	0.000000e+00	-1.096142e-08	-1.096142e-08
15	2.480000e-01	0.000000e+00	-8.663209e-08	-8.663209e-08
16	2.640000e-01	0.000000e+00	-1.302696e-07	-1.302696e-07
17	2.800000e-01	0.000000e+00	-1.240584e-07	-1.240584e-07
18	2.960000e-01	0.000000e+00	-1.433046e-07	-1.433046e-07
19	3.120000e-01	0.000000e+00	-1.439976e-07	-1.439976e-07
20	3.280000e-01	0.000000e+00	-2.109152e-07	-2.109152e-07
21	3.440000e-01	0.000000e+00	-1.380829e-07	-1.380829e-07
22	3.600000e-01	0.000000e+00	-1.090745e-09	-1.090745e-09
23	3.760000e-01	0.000000e+00	-1.659216e-07	-1.659216e-07
24	3.920000e-01	0.000000e+00	-1.619363e-07	-1.619363e-07
25	4.080000e-01	0.000000e+00	-1.712914e-07	-1.712914e-07
26	4.240000e-01	0.000000e+00	-8.766897e-08	-8.766897e-08
27	4.400000e-01	0.000000e+00	-1.340851e-07	-1.340851e-07
28	4.560000e-01	0.000000e+00	-2.317417e-07	-2.317417e-07
29	4.720000e-01	0.000000e+00	-1.769651e-07	-1.769651e-07
30	4.880000e-01	0.000000e+00	-2.852540e-09	-2.852540e-09
31	5.040000e-01	0.000000e+00	-1.110408e-07	-1.110408e-07
32	5.200000e-01	0.000000e+00	-1.769197e-07	-1.769197e-07
33	5.360000e-01	0.000000e+00	-1.675097e-07	-1.675097e-07
34	5.520000e-01	0.000000e+00	-6.253274e-08	-6.253274e-08
35	5.680000e-01	0.000000e+00	-1.348701e-07	-1.348701e-07
36	5.840000e-01	0.000000e+00	-1.429588e-07	-1.429588e-07
37	6.000000e-01	0.000000e+00	-1.764488e-07	-1.764488e-07
38	6.160000e-01	0.000000e+00	-1.191958e-07	-1.191958e-07
39	6.320000e-01	0.000000e+00	-1.216714e-07	-1.216714e-07
40	6.480000e-01	0.000000e+00	-1.185502e-07	-1.185502e-07
41	6.640000e-01	0.000000e+00	-6.114389e-08	-6.114389e-08
42	6.800000e-01	0.000000e+00	-1.058028e-07	-1.058028e-07
43	6.960000e-01	0.000000e+00	-2.549992e-08	-2.549992e-08
44	7.120000e-01	0.000000e+00	-9.037958e-08	-9.037958e-08
45	7.280000e-01	0.000000e+00	-7.283348e-08	-7.283348e-08
46	7.440000e-01	0.000000e+00	-5.571060e-08	-5.571060e-08
47	7.600000e-01	0.000000e+00	1.172930e-09	1.172930e-09
48	7.760000e-01	0.000000e+00	-2.283104e-07	-2.283104e-07
49	7.920000e-01	0.000000e+00	-1.757761e-07	-1.757761e-07
50	8.080000e-01	0.000000e+00	-1.101748e-07	-1.101748e-07
51	8.240000e-01	0.000000e+00	-8.550010e-08	-8.550010e-08
52	8.400000e-01	0.000000e+00	-1.595797e-07	-1.595797e-07
53	8.560000e-01	0.000000e+00	-1.291672e-07	-1.291672e-07
54	8.720000e-01	0.000000e+00	-1.058565e-07	-1.058565e-07
55	8.880000e-01	0.000000e+00	-1.557608e-07	-1.557608e-07
56	9.040000e-01	0.000000e+00	-1.118668e-07	-1.118668e-07
57	9.200000e-01	0.000000e+00	-1.689005e-07	-1.689005e-07
58	9.360000e-01	0.000000e+00	-2.196992e-07	-2.196992e-07
59	9.520000e-01	0.000000e+00	-1.714509e-07	-1.714509e-07
60	9.680000e-01	0.000000e+00	-2.487914e-07	-2.487914e-07
61	9.840000e-01	0.000000e+00	-2.408452e-07	-2.408452e-07
62	1.000000e+00	0.000000e+00	-1.149880e-08	-1.149880e-08
63	1.016000e+00	0.000000e+00	-1.423127e-07	-1.423127e-07
64	1.032000e+00	0.000000e+00	-1.806235e-07	-1.806235e-07
65	1.048000e+00	0.000000e+00	-4.426909e-08	-4.426909e-08
66	1.064000e+00	0.000000e+00	-1.381450e-08	-1.381450e-08
67	1.080000e+00	0.000000e+00	-2.501020e-07	-2.501020e-07
68	1.096000e+00	0.000000e+00	-2.483551e-07	-2.483551e-07
69	1.112000e+00	0.000000e+00	9.815367e-09	9.815367e-09
70	1.128000e+00	0.000000e+00	8.738828e-08	8.738828e-08
71	1.144000e+00	0.000000e+00	-2.160282e-07	-2.160282e-07
72	1.160000e+00	0.000000e+00	-1.063378e-07	-1.063378e-07
73	1.176000e+00	0.000000e+00	-1.778170e-07	-1.778170e-07
74	1.192000e+00	0.000000e+00	-1.976833e-07	-1.976833e-07
75	1.208000e+00	0.000000e+00	-1.878350e-07	-1.878350e-07
76	1.224000e+00	0.000000e+00	-1.334370e-07	-1.334370e-07
77	1.240000e+00	0.000000e+00	-4.373306e-08	-4.373306e-08
78	1.256000e+00	0.000000e+00	-1.177730e-07	-1.177730e-07
79	1.272000e+00	0.000000e+00	-3.300094e-08	-3.300094e-08
80	1.288000e+00	0.000000e+00	-2.411991e-07	-2.411991e-07
81	1.304000e+00	0.000000e+00	-6.936631e-08	-6.936631e-08
82	1.320000e+00	0.000000e+00	6.118763e-08	6.118763e-08
83	1.336000e+00	0.000000e+00	6.064718e-08	6.064718e-08
84	1.352000e+00	0.000000e+00	7.447892e-08	7.447892e-08
85	1.368000e+00	0.000000e+00	-9.099613e-08	-9.099613e-08
86	1.384000e+00	0.000000e+00	-4.988252e-09	-4.988252e-09
87	1.400000e+00	0.000000e+00	-1.369713e-07	-1.369713e-07
88	1.416000e+00	0.000000e+00	-1.639411e-07	-1.639411e-07
