# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	0.000000e+00	-6.632987e-13	-6.632987e-13
1	2.400000e-02	0.000000e+00	-9.259772e-13	-9.259772e-13
2	4.000000e-02	0.000000e+00	-1.994416e-12	-1.994416e-12
3	5.600000e-02	0.000000e+00	-1.802247e-12	-1.802247e-12
4	7.200000e-02	0.000000e+00	-1.050775e-12	-1.050775e-12
5	8.800000e-02	0.000000e+00	-2.734704e-12	-2.734704e-12
6	1.040000e-01	0.000000e+00	-1.719699e-13	-1.719699e-13
7	1.200000e-01	0.000000e+00	5.924585e-14	5.924585e-14
8	1.360000e-01	0.000000e+00	-8.016916e-13	-8.016916e-13
9	1.520000e-01	0.000000e+00	-9.311333e-13	-9.311333e-13
10	1.680000e-01	0.000000e+00	-1.746761e-12	-1.746761e-12
11	1.840000e-01	0.000000e+00	-1.017191e-12	-1.017191e-12
12	2.000000e-01	0.000000e+00	-1.630722e-12	-1.630722e-12
13	2.160000e-01	0.000000e+00	-1.849268e-12	-1.849268e-12
14	2.320000e-01	0.000000e+00	-1.346894e-13	-1.346894e-13
15	2.480000e-01	0.000000e+00	-7.855050e-13	-7.855050e-13
16	2.640000e-01	0.000000e+00	-1.308563e-12	-1.308563e-12
17	2.800000e-01	0.000000e+00	-1.145159e-12	-1.145159e-12
18	2.960000e-01	0.000000e+00	-1.378486e-12	-1.378486e-12
19	3.120000e-01	0.000000e+00	-1.432921e-12	-1.432921e-12
20	3.280000e-01	0.000000e+00	-1.944879e-12	-1.944879e-12
21	3.440000e-01	0.000000e+00	-1.332318e-12	-1.332318e-12
22	3.600000e-01	0.000000e+00	-4.105895e-14	-4.105895e-14
23	3.760000e-01	0.000000e+00	-1.663991e-12	-1.663991e-12
24	3.920000e-01	0.000000e+00	-1.595961e-12	-1.595961e-12
25	4.080000e-01	0.000000e+00	-1.634342e-12	-1.634342e-12
26	4.240000e-01	0.000000e+00	-8.837275e-13	-8.837275e-13
27	4.400000e-01	0.000000e+00	-1.296657e-12	-1.296657e-12
28	4.560000e-01	0.000000e+00	-2.251773e-12	-2.251773e-12
29	4.720000e-01	0.000000e+00	-1.661030e-12	-1.661030e-12
30	4.880000e-01	0.000000e+00	-7.699740e-14	-7.699740e-14
31	5.040000e-01	0.000000e+00	-1.056809e-12	-1.056809e-12
32	5.200000e-01	0.000000e+00	-1.626128e-12	-1.626128e-12
33	5.360000e-01	0.000000e+00	-1.624835e-12	-1.624835e-12
34	5.520000e-01	0.000000e+00	-6.341171e-13	-6.341171e-13
35	5.680000e-01	0.000000e+00	-1.275376e-12	-1.275376e-12
36	5.840000e-01	0.000000e+00	-1.396862e-12	-1.396862e-12
37	6.000000e-01	0.000000e+00	-1.662530e-12	-1.662530e-12
38	6.160000e-01	0.000000e+00	-1.243465e-12	-1.243465e-12
39	6.320000e-01	0.000000e+00	-1.163138e-12	-1.163138e-12
40	6.480000e-01	0.000000e+00	-1.221095e-12	-1.221095e-12
41	6.640000e-01	0.000000e+00	-6.415497e-13	-6.415497e-13
42	6.800000e-01	0.000000e+00	-1.020689e-12	-1.020689e-12
43	6.960000e-01	0.000000e+00	-2.405900e-13	-2.405900e-13
44	7.120000e-01	0.000000e+00	-8.282910e-13	-8.282910e-13
45	7.280000e-01	0.000000e+00	-7.368519e-13	-7.368519e-13
46	7.440000e-01	0.000000e+00	-5.250094e-13	-5.250094e-13
47	7.600000e-01	0.000000e+00	-6.380679e-14	-6.380679e-14
48	7.760000e-01	0.000000e+00	-2.138377e-12	-2.138377e-12
49	7.920000e-01	0.000000e+00	-1.643859e-12	-1.643859e-12
50	8.080000e-01	0.000000e+00	-9.937874e-13	-9.937874e-13
51	8.240000e-01	0.000000e+00	-8.095775e-13	-8.095775e-13
52	8.400000e-01	0.000000e+00	-1.545920e-12	-1.545920e-12
53	8.560000e-01	0.000000e+00	-1.318445e-12	-1.318445e-12
54	8.720000e-01	0.000000e+00	-1.077672e-12	-1.077672e-12
55	8.880000e-01	0.000000e+00	-1.496011e-12	-1.496011e-12
56	9.040000e-01	0.000000e+00	-1.071262e-12	-1.071262e-12
57	9.200000e-01	0.000000e+00	-1.734491e-12	-1.734491e-12
58	9.360000e-01	0.000000e+00	-2.079421e-12	-2.079421e-12
59	9.520000e-01	0.000000e+00	-1.593770e-12	-1.593770e-12
60	9.680000e-01	0.000000e+00	-2.437318e-12	-2.437318e-12
61	9.840000e-01	0.000000e+00	-2.310100e-12	-2.310100e-12
62	1.000000e+00	0.000000e+00	-4.809975e-14	-4.809975e-14
63	1.016000e+00	0.000000e+00	-1.384094e-12	-1.384094e-12
64	1.032000e+00	0.000000e+00	-1.738260e-12	-1.738260e-12
65	1.048000e+00	0.000000e+00	-4.610323e-13	-4.610323e-13
66	1.064000e+00	0.000000e+00	-1.941250e-13	-1.941250e-13
67	1.080000e+00	0.000000e+00	-2.354127e-12	-2.354127e-12
68	1.096000e+00	0.000000e+00	-2.414026e-12	-2.414026e-12
69	1.112000e+00	0.000000e+00	5.188812e-14	5.188812e-14
70	1.128000e+00	0.000000e+00	9.264535e-13	9.264535e-13
71	1.144000e+00	0.000000e+00	-2.027753e-12	-2.027753e-12
72	1.160000e+00	0.000000e+00	-1.031240e-12	-1.031240e-12
73	1.176000e+00	0.000000e+00	-1.736259e-12	-1.736259e-12
74	1.192000e+00	0.000000e+00	-1.890096e-12	-1.890096e-12
75	1.208000e+00	0.000000e+00	-1.759197e-12	-1.759197e-12
76	1.224000e+00	0.000000e+00	-1.282529e-12	-1.282529e-12
77	1.240000e+00	0.000000e+00	-4.609758e-13	-4.609758e-13
78	1.256000e+00	0.000000e+00	-1.148746e-12	-1.148746e-12
79	1.272000e+00	0.000000e+00	-3.343487e-13	-3.343487e-13
80	1.288000e+00	0.000000e+00	-2.326830e-12	-2.326830e-12
81	1.304000e+00	0.000000e+00	-6.632971e-13	-6.632971e-13
82	1.320000e+00	0.000000e+00	6.487822e-13	6.487822e-13
83	1.336000e+00	0.000000e+00	6.180217e-13	6.180217e-13
84	1.352000e+00	0.000000e+00	6.865793e-13	6.865793e-13
85	1.368000e+00	0.000000e+00	-9.439799e-13	-9.439799e-13
86	1.384000e+00	0.000000e+00	-1.081603e-13	-1.081603e-13
87	1.400000e+00	0.000000e+00	-1.266211e-12	-1.266211e-12
88	1.416000e+00	0.000000e+00	-1.601692e-12	-1.601692e-12
89	1.432000e+00	0.000000e+00	9.176246e-14	9.176246e-14
90	1.448000e+00	0.000000e+00	-7.280394e-13	-7.280394e-13
91	1.464000e+00	0.000000e+00	-1.909463e-12	-1.909463e-12
92	1.480000e+00	0.000000e+00	-1.679934e-12	-1.679934e-12
93	1.496000e+00	0.000000e+00	-1.140213e-13	-1.140213e-13
94	1.512000e+00	0.000000e+00	-5.365313e-13	-5.365313e-13
95	1.528000e+00	0.000000e+00	5.177476e-13	5.177476e-13
96	1.544000e+00	0.000000e+00	-8.893103e-13	-8.893103e-13
97	1.560000e+00	0.000000e+00	-2.068842e-12	-2.068842e-12
98	1.576000e+00	0.000000e+00	-1.219417e-13	-1.219417e-13
99	1.592000e+00	0.000000e+00	-1.605809e-12	-1.605809e-12
100	1.608000e+00	0.000000e+00	-1.766937e-12	-1.766937e-12
101	1.624000e+00	0.000000e+00	-3.193988e-12	-3.193988e-12
102	1.640000e+00	0.000000e+00	-1.325946e-12	-1.325946e-12
103	1.656000e+00	0.000000e+00	-1.563994e-12	-1.563994e-12
104	1.672000e+00	0.000000e+00	-1.005903e-12	-1.005903e-12
105	1.688000e+00	0.000000e+00	-1.615038e-12	-1.615038e-12
106	1.704000e+00	0.000000e+00	-6.647836e-13	-6.647836e-13
107	1.720000e+00	0.000000e+00	-6.869267e-13	-6.869267e-13
108	1.736000e+00	0.000000e+00	-1.905255e-12	-1.905255e-12
109	1.752000e+00	0.000000e+00	-1.250773e-12	-1.250773e-12
110	1.768000e+00	0.000000e+00	-7.992169e-13	-7.992169e-13
111	1.784000e+00	0.000000e+00	-2.372628e-13	-2.372628e-13
112	1.800000e+00	0.000000e+00	-6.891624e-13	-6.891624e-13
113	1.816000e+00	0.000000e+00	-1.034288e-12	-1.034288e-12
114	1.832000e+00	0.000000e+00	-1.291048e-12	-1.291048e-12
115	1.848000e+00	0.000000e+00	-1.942328e-12	-1.942328e-12
116	1.864000e+00	0.000000e+00	-8.894665e-13	-8.894665e-13
117	1.880000e+00	0.000000e+00	-1.232347e-12	-1.232347e-12
118	1.896000e+00	0.000000e+00	6.997161e-14	6.997161e-14
119	1.912000e+00	0.000000e+00	5.949722e-13	5.949722e-13
120	1.928000e+00	0.000000e+00	8.427639e-13	8.427639e-13
121	1.944000e+00	0.000000e+00	5.081575e-13	5.081575e-13
122	1.960000e+00	0.000000e+00	-1.061897e-12	-1.061897e-12
123	1.976000e+00	0.000000e+00	-6.100737e-13	-6.100737e-13
124	1.992000e+00	0.000000e+00	-1.594845e-12	-1.594845e-12
125	2.008000e+00	0.000000e+00	-9.832050e-13	-9.832050e-13
126	2.024000e+00	0.000000e+00	-1.226337e-12	-1.226337e-12
127	2.040000e+00	0.000000e+00	-5.728949e-13	-5.728949e-13
128	2.056000e+00	0.000000e+00	-9.272561e-13	-9.272561e-13
129	2.072000e+00	0.000000e+00	-1.652264e-12	-1.652264e-12
130	2.088000e+00	0.000000e+00	-1.154978e-12	-1.154978e-12
131	2.104000e+00	0.000000e+00	-3.258147e-13	-3.258147e-13
132	2.120000e+00	0.000000e+00	-1.644739e-12	-1.644739e-12
133	2.136000e+00	0.000000e+00	-1.736630e-12	-1.736630e-12
134	2.152000e+00	0.000000e+00	-8.909851e-13	-8.909851e-13
135	2.168000e+00	0.000000e+00	-1.833577e-12	-1.833577e-12
136	2.184000e+00	0.000000e+00	-2.337469e-12	-2.337469e-12
137	2.200000e+00	0.000000e+00	-7.758190e-13	-7.758190e-13
138	2.216000e+00	0.000000e+00	-1.823110e-12	-1.823110e-12
139	2.232000e+00	0.000000e+00	-1.245097e-12	-1.245097e-12
140	2.248000e+00	0.000000e+00	-2.291630e-12	-2.291630e-12
141	2.264000e+00	0.000000e+00	-1.941653e-12	-1.941653e-12
142	2.280000e+00	0.000000e+00	-1.922187e-12	-1.922187e-12
143	2.296000e+00	0.000000e+00	-7.451733e-13	-7.451733e-13
144	2.312000e+00	0.000000e+00	1.685241e-13	1.685241e-13
145	2.328000e+00	0.000000e+00	-2.200657e-14	-2.200657e-14
146	2.344000e+00	0.000000e+00	-1.687944e-12	-1.687944e-12
147	2.360000e+00	0.000000e+00	-1.948945e-12	-1.948945e-12
148	2.376000e+00	0.000000e+00	-1.869175e-12	-1.869175e-12
149	2.392000e+00	0.000000e+00	-5.215255e-13	-5.215255e-13
150	2.408000e+00	0.000000e+00	-1.715824e-12	-1.715824e-12
151	2.424000e+00	0.000000e+00	-3.253231e-12	-3.253231e-12
152	2.440000e+00	0.000000e+00	-2.759309e-12	-2.759309e-12
153	2.456000e+00	0.000000e+00	-1.765585e-12	-1.765585e-12
154	2.472000e+00	0.000000e+00	-2.819601e-12	-2.819601e-12
155	2.488000e+00	0.000000e+00	-2.672269e-12	-2.672269e-12
156	2.504000e+00	0.000000e+00	-1.290541e-12	-1.290541e-12
157	2.520000e+00	0.000000e+00	-1.066512e-12	-1.066512e-12
158	2.536000e+00	0.000000e+00	-3.654451e-13	-3.654451e-13
159	2.552000e+00	0.000000e+00	-2.657590e-12	-2.657590e-12
160	2.568000e+00	0.000000e+00	-1.311888e-13	-1.311888e-13
161	2.584000e+00	0.000000e+00	-4.648034e-13	-4.648034e-13
162	2.600000e+00	0.000000e+00	-6.682019e-13	-6.682019e-13
163	2.616000e+00	0.000000e+00	-1.559000e-12	-1.559000e-12
164	2.632000e+00	0.000000e+00	-2.028679e-12	-2.028679e-12
165	2.648000e+00	0.000000e+00	-2.762462e-12	-2.762462e-12
166	2.664000e+00	0.000000e+00	-2.707509e-12	-2.707509e-12
167	2.680000e+00	0.000000e+00	-1.284014e-12	-1.284014e-12
168	2.696000e+00	0.000000e+00	-1.560453e-12	-1.560453e-12
169	2.712000e+00	0.000000e+00	-2.931300e-12	-2.931300e-12
170	2.728000e+00	0.000000e+00	1.130780e-13	1.130780e-13
171	2.744000e+00	0.000000e+00	4.951025e-13	4.951025e-13
