# RPC induced signal at TopGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	-1.899928e-08	-2.441208e-11	-1.902370e-08
1	2.400000e-02	-4.477153e-08	-8.190689e-11	-4.485344e-08
2	4.000000e-02	-3.554484e-08	-4.265815e-11	-3.558750e-08
3	5.600000e-02	-2.313194e-08	-5.023396e-11	-2.318217e-08
4	7.200000e-02	-3.439753e-08	-4.381079e-11	-3.444135e-08
5	8.800000e-02	-2.472451e-08	-4.017448e-11	-2.476468e-08
6	1.040000e-01	-2.924726e-08	-5.189464e-11	-2.929915e-08
7	1.200000e-01	-2.619181e-08	-6.571898e-11	-2.625753e-08
8	1.360000e-01	-2.591301e-08	-8.937899e-11	-2.600239e-08
9	1.520000e-01	-2.468193e-08	-4.552705e-11	-2.472745e-08
10	1.680000e-01	-2.990082e-08	-1.062091e-11	-2.991145e-08
11	1.840000e-01	-2.720456e-08	-3.165448e-11	-2.723621e-08
12	2.000000e-01	-1.643766e-08	-8.617444e-11	-1.652383e-08
13	2.160000e-01	-1.528694e-08	-9.579244e-11	-1.538273e-08
14	2.320000e-01	-1.517108e-08	3.651077e-12	-1.516742e-08
15	2.480000e-01	-2.183372e-08	-6.375975e-12	-2.184010e-08
16	2.640000e-01	-1.215185e-08	-8.194447e-11	-1.223379e-08
17	2.800000e-01	-1.267963e-08	-6.328970e-11	-1.274292e-08
18	2.960000e-01	-1.737418e-08	-3.401014e-11	-1.740819e-08
19	3.120000e-01	-1.313090e-08	-5.483525e-11	-1.318573e-08
20	3.280000e-01	-1.752323e-08	-3.653719e-11	-1.755977e-08
21	3.440000e-01	-1.881490e-08	-1.161785e-10	-1.893108e-08
22	3.600000e-01	-1.423424e-08	-5.703742e-11	-1.429128e-08
23	3.760000e-01	-1.142441e-08	-1.106538e-10	-1.153506e-08
24	3.920000e-01	-1.089272e-08	-1.024343e-10	-1.099515e-08
25	4.080000e-01	-1.781849e-08	-8.200135e-11	-1.790049e-08
26	4.240000e-01	-1.560217e-08	-1.229640e-10	-1.572514e-08
27	4.400000e-01	-9.181968e-09	-8.987468e-11	-9.271843e-09
28	4.560000e-01	-3.132415e-09	-8.803204e-11	-3.220447e-09
29	4.720000e-01	-1.143820e-08	-8.285358e-11	-1.152106e-08
