# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	-8.393813e-10	-1.126739e-12	-8.405081e-10
1	2.400000e-02	-1.979039e-09	-3.680853e-12	-1.982720e-09
2	4.000000e-02	-1.575190e-09	-1.947428e-12	-1.577138e-09
3	5.600000e-02	-1.017198e-09	-2.120321e-12	-1.019318e-09
4	7.200000e-02	-1.520891e-09	-1.943272e-12	-1.522834e-09
5	8.800000e-02	-1.088783e-09	-1.793734e-12	-1.090577e-09
6	1.040000e-01	-1.288612e-09	-2.237370e-12	-1.290849e-09
7	1.200000e-01	-1.164066e-09	-2.981028e-12	-1.167047e-09
8	1.360000e-01	-1.142212e-09	-3.893880e-12	-1.146106e-09
9	1.520000e-01	-1.101389e-09	-2.099813e-12	-1.103489e-09
10	1.680000e-01	-1.315839e-09	-4.584563e-13	-1.316298e-09
11	1.840000e-01	-1.196358e-09	-1.462548e-12	-1.197821e-09
12	2.000000e-01	-7.261552e-10	-3.888340e-12	-7.300435e-10
13	2.160000e-01	-6.758288e-10	-4.312174e-12	-6.801410e-10
14	2.320000e-01	-6.708353e-10	1.566867e-13	-6.706786e-10
15	2.480000e-01	-9.629861e-10	-2.216554e-13	-9.632078e-10
16	2.640000e-01	-5.408220e-10	-3.670588e-12	-5.444926e-10
17	2.800000e-01	-5.561486e-10	-2.884526e-12	-5.590331e-10
18	2.960000e-01	-7.672063e-10	-1.582276e-12	-7.687886e-10
19	3.120000e-01	-5.799620e-10	-2.504067e-12	-5.824660e-10
20	3.280000e-01	-7.682500e-10	-1.585478e-12	-7.698354e-10
21	3.440000e-01	-8.333133e-10	-5.135959e-12	-8.384492e-10
22	3.600000e-01	-6.271431e-10	-2.587400e-12	-6.297305e-10
23	3.760000e-01	-5.075796e-10	-4.854270e-12	-5.124338e-10
24	3.920000e-01	-4.793516e-10	-4.664097e-12	-4.840157e-10
25	4.080000e-01	-7.819628e-10	-3.456023e-12	-7.854188e-10
26	4.240000e-01	-6.834251e-10	-5.337067e-12	-6.887622e-10
27	4.400000e-01	-4.040809e-10	-4.119296e-12	-4.082002e-10
28	4.560000e-01	-1.365375e-10	-3.802486e-12	-1.403399e-10
29	4.720000e-01	-5.028265e-10	-3.668082e-12	-5.064946e-10
30	4.880000e-01	-4.356948e-10	-6.402741e-12	-4.420975e-10
31	5.040000e-01	-4.147840e-10	-4.440895e-12	-4.192249e-10
32	5.200000e-01	-3.674644e-10	-5.241019e-12	-3.727054e-10
33	5.360000e-01	-3.204605e-10	-3.936708e-12	-3.243972e-10
34	5.520000e-01	-3.426482e-10	-3.917907e-12	-3.465661e-10
35	5.680000e-01	-4.605462e-10	-2.826997e-12	-4.633732e-10
