# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	8.665770e-05	1.113459e-07	8.676905e-05
1	2.400000e-02	2.042076e-04	3.735858e-07	2.045812e-04
2	4.000000e-02	1.621237e-04	1.945682e-07	1.623183e-04
3	5.600000e-02	1.055072e-04	2.291223e-07	1.057363e-04
4	7.200000e-02	1.568907e-04	1.998256e-07	1.570905e-04
5	8.800000e-02	1.127710e-04	1.832400e-07	1.129543e-04
6	1.040000e-01	1.333998e-04	2.366967e-07	1.336365e-04
7	1.200000e-01	1.194635e-04	2.997511e-07	1.197633e-04
8	1.360000e-01	1.181919e-04	4.076669e-07	1.185996e-04
9	1.520000e-01	1.125768e-04	2.076535e-07	1.127845e-04
10	1.680000e-01	1.363808e-04	4.844298e-08	1.364292e-04
11	1.840000e-01	1.240828e-04	1.443793e-07	1.242272e-04
12	2.000000e-01	7.497385e-05	3.930505e-07	7.536690e-05
13	2.160000e-01	6.972530e-05	4.369192e-07	7.016222e-05
14	2.320000e-01	6.919684e-05	-1.665303e-08	6.918019e-05
15	2.480000e-01	9.958585e-05	2.908154e-08	9.961494e-05
16	2.640000e-01	5.542584e-05	3.737572e-07	5.579960e-05
17	2.800000e-01	5.783312e-05	2.886708e-07	5.812179e-05
18	2.960000e-01	7.924545e-05	1.551237e-07	7.940057e-05
19	3.120000e-01	5.989137e-05	2.501093e-07	6.014148e-05
20	3.280000e-01	7.992528e-05	1.666499e-07	8.009193e-05
21	3.440000e-01	8.581670e-05	5.299022e-07	8.634660e-05
22	3.600000e-01	6.492385e-05	2.601535e-07	6.518400e-05
23	3.760000e-01	5.210791e-05	5.047036e-07	5.261261e-05
24	3.920000e-01	4.968281e-05	4.672135e-07	5.015003e-05
25	4.080000e-01	8.127199e-05	3.740168e-07	8.164601e-05
26	4.240000e-01	7.116314e-05	5.608513e-07	7.172399e-05
27	4.400000e-01	4.187991e-05	4.099275e-07	4.228983e-05
28	4.560000e-01	1.428727e-05	4.015234e-07	1.468879e-05
29	4.720000e-01	5.217083e-05	3.779037e-07	5.254874e-05
30	4.880000e-01	4.528391e-05	6.662199e-07	4.595013e-05
31	5.040000e-01	4.327624e-05	4.592778e-07	4.373551e-05
32	5.200000e-01	3.806484e-05	5.415126e-07	3.860635e-05
33	5.360000e-01	3.316740e-05	3.997351e-07	3.356713e-05
34	5.520000e-01	3.553782e-05	3.921224e-07	3.592994e-05
35	5.680000e-01	4.795399e-05	2.940085e-07	4.824800e-05
36	5.840000e-01	4.559139e-05	3.130950e-07	4.590448e-05
37	6.000000e-01	2.687744e-05	2.016588e-07	2.707910e-05
38	6.160000e-01	3.334646e-05	2.717457e-07	3.361820e-05
39	6.320000e-01	4.532318e-05	3.361307e-07	4.565931e-05
40	6.480000e-01	4.771451e-05	4.147569e-07	4.812926e-05
41	6.640000e-01	3.414030e-05	1.744828e-07	3.431478e-05
42	6.800000e-01	3.652648e-05	3.123662e-07	3.683884e-05
43	6.960000e-01	1.227063e-05	1.801031e-07	1.245073e-05
44	7.120000e-01	2.631304e-05	1.917669e-07	2.650481e-05
45	7.280000e-01	2.048492e-05	3.856398e-07	2.087056e-05
46	7.440000e-01	2.368934e-05	2.007255e-07	2.389007e-05
47	7.600000e-01	4.092716e-05	2.507613e-07	4.117792e-05
48	7.760000e-01	3.827552e-05	3.314352e-07	3.860695e-05
49	7.920000e-01	2.711753e-05	4.276971e-07	2.754523e-05
50	8.080000e-01	2.497408e-05	4.295665e-07	2.540365e-05
51	8.240000e-01	2.441761e-05	3.748576e-07	2.479247e-05
52	8.400000e-01	1.311777e-05	4.021406e-07	1.351991e-05
53	8.560000e-01	2.046423e-05	1.632753e-07	2.062750e-05
54	8.720000e-01	3.353012e-05	3.486963e-07	3.387882e-05
55	8.880000e-01	3.308251e-05	3.636774e-07	3.344618e-05
56	9.040000e-01	1.923752e-05	3.062111e-08	1.926814e-05
57	9.200000e-01	1.561098e-05	2.824395e-07	1.589342e-05
58	9.360000e-01	1.615351e-05	3.540461e-07	1.650756e-05
59	9.520000e-01	2.096266e-05	2.287980e-07	2.119146e-05
60	9.680000e-01	2.081834e-05	3.520651e-07	2.117041e-05
61	9.840000e-01	1.565351e-05	3.819899e-07	1.603550e-05
62	1.000000e+00	1.737536e-05	4.353976e-07	1.781076e-05
63	1.016000e+00	7.283099e-06	2.465734e-07	7.529672e-06
64	1.032000e+00	1.611221e-05	1.277735e-07	1.623998e-05
65	1.048000e+00	1.465439e-05	2.936784e-07	1.494807e-05
66	1.064000e+00	1.798072e-05	4.426343e-07	1.842335e-05
67	1.080000e+00	9.582634e-06	2.569426e-07	9.839576e-06
68	1.096000e+00	1.302167e-05	2.162548e-07	1.323792e-05
69	1.112000e+00	1.954797e-05	3.182107e-07	1.986618e-05
70	1.128000e+00	7.226976e-06	2.962417e-07	7.523218e-06
71	1.144000e+00	8.016886e-06	3.998487e-07	8.416735e-06
72	1.160000e+00	1.598492e-05	4.024478e-07	1.638737e-05
73	1.176000e+00	1.108027e-05	2.017196e-07	1.128199e-05
74	1.192000e+00	2.479685e-05	3.450753e-07	2.514193e-05
75	1.208000e+00	8.059495e-06	2.506835e-07	8.310178e-06
76	1.224000e+00	1.261935e-06	5.744750e-07	1.836410e-06
77	1.240000e+00	7.659091e-06	4.220223e-07	8.081113e-06
78	1.256000e+00	1.803282e-05	3.821835e-07	1.841500e-05
79	1.272000e+00	8.944460e-06	3.341523e-07	9.278613e-06
80	1.288000e+00	1.272858e-05	9.914887e-08	1.282773e-05
81	1.304000e+00	2.113872e-05	1.243463e-07	2.126306e-05
82	1.320000e+00	6.399616e-06	4.662731e-07	6.865889e-06
83	1.336000e+00	6.966050e-06	3.997584e-07	7.365809e-06
84	1.352000e+00	1.775367e-05	3.823624e-07	1.813604e-05
85	1.368000e+00	5.100545e-06	1.997019e-07	5.300247e-06
86	1.384000e+00	5.487177e-07	1.826749e-07	7.313926e-07
87	1.400000e+00	9.532608e-06	3.271393e-07	9.859747e-06
88	1.416000e+00	-1.713984e-06	7.405118e-08	-1.639933e-06
89	1.432000e+00	5.654964e-06	3.466737e-07	6.001638e-06
90	1.448000e+00	5.968468e-07	1.161770e-07	7.130238e-07
91	1.464000e+00	1.480761e-05	2.999473e-07	1.510756e-05
92	1.480000e+00	3.636605e-06	6.880005e-08	3.705405e-06
93	1.496000e+00	1.585437e-06	1.902118e-07	1.775649e-06
94	1.512000e+00	7.147035e-07	4.220722e-08	7.569107e-07
95	1.528000e+00	1.954258e-06	2.442399e-07	2.198498e-06
96	1.544000e+00	2.500741e-06	3.528673e-07	2.853608e-06
97	1.560000e+00	3.770618e-06	5.161258e-07	4.286743e-06
98	1.576000e+00	6.052255e-06	5.600823e-07	6.612337e-06
99	1.592000e+00	1.472599e-05	5.315431e-07	1.525754e-05
100	1.608000e+00	-3.732147e-06	5.567761e-07	-3.175371e-06
101	1.624000e+00	2.232291e-06	3.257922e-07	2.558083e-06
102	1.640000e+00	1.651450e-06	3.218605e-07	1.973311e-06
103	1.656000e+00	3.276062e-06	2.094437e-07	3.485506e-06
104	1.672000e+00	1.095800e-05	1.937379e-07	1.115173e-05
105	1.688000e+00	-4.230314e-07	1.886137e-07	-2.344177e-07
106	1.704000e+00	1.095812e-05	3.767139e-07	1.133484e-05
107	1.720000e+00	6.948662e-06	1.602669e-07	7.108929e-06
108	1.736000e+00	-2.744701e-06	2.013723e-07	-2.543329e-06
109	1.752000e+00	4.923400e-06	3.603651e-07	5.283765e-06
110	1.768000e+00	-3.512653e-07	5.249316e-07	1.736662e-07
111	1.784000e+00	6.145559e-06	3.748329e-07	6.520392e-06
112	1.800000e+00	7.105184e-07	3.767583e-07	1.087277e-06
113	1.816000e+00	6.357536e-06	5.181864e-07	6.875723e-06
114	1.832000e+00	8.858546e-07	5.085109e-08	9.367057e-07
115	1.848000e+00	3.647669e-06	3.536749e-08	3.683036e-06
