# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	0.000000e+00	7.271352e-08	7.271352e-08
1	2.400000e-02	0.000000e+00	1.003087e-07	1.003087e-07
2	4.000000e-02	0.000000e+00	2.051534e-07	2.051534e-07
3	5.600000e-02	0.000000e+00	1.839918e-07	1.839918e-07
4	7.200000e-02	0.000000e+00	1.056140e-07	1.056140e-07
5	8.800000e-02	0.000000e+00	2.748234e-07	2.748234e-07
6	1.040000e-01	0.000000e+00	2.846644e-08	2.846644e-08
7	1.200000e-01	0.000000e+00	-1.357178e-08	-1.357178e-08
8	1.360000e-01	0.000000e+00	8.888725e-08	8.888725e-08
9	1.520000e-01	0.000000e+00	9.415910e-08	9.415910e-08
10	1.680000e-01	0.000000e+00	1.829434e-07	1.829434e-07
11	1.840000e-01	0.000000e+00	9.971676e-08	9.971676e-08
12	2.000000e-01	0.000000e+00	1.683186e-07	1.683186e-07
13	2.160000e-01	0.000000e+00	1.978677e-07	1.978677e-07
14	2.320000e-01	0.000000e+00	1.096161e-08	1.096161e-08
15	2.480000e-01	0.000000e+00	8.663287e-08	8.663287e-08
16	2.640000e-01	0.000000e+00	1.302709e-07	1.302709e-07
17	2.800000e-01	0.000000e+00	1.240595e-07	1.240595e-07
18	2.960000e-01	0.000000e+00	1.433060e-07	1.433060e-07
19	3.120000e-01	0.000000e+00	1.439990e-07	1.439990e-07
20	3.280000e-01	0.000000e+00	2.109171e-07	2.109171e-07
21	3.440000e-01	0.000000e+00	1.380843e-07	1.380843e-07
22	3.600000e-01	0.000000e+00	1.090736e-09	1.090736e-09
23	3.760000e-01	0.000000e+00	1.659233e-07	1.659233e-07
24	3.920000e-01	0.000000e+00	1.619378e-07	1.619378e-07
25	4.080000e-01	0.000000e+00	1.712931e-07	1.712931e-07
26	4.240000e-01	0.000000e+00	8.766987e-08	8.766987e-08
27	4.400000e-01	0.000000e+00	1.340863e-07	1.340863e-07
28	4.560000e-01	0.000000e+00	2.317440e-07	2.317440e-07
29	4.720000e-01	0.000000e+00	1.769669e-07	1.769669e-07
30	4.880000e-01	0.000000e+00	2.852536e-09	2.852536e-09
31	5.040000e-01	0.000000e+00	1.110419e-07	1.110419e-07
32	5.200000e-01	0.000000e+00	1.769214e-07	1.769214e-07
33	5.360000e-01	0.000000e+00	1.675113e-07	1.675113e-07
34	5.520000e-01	0.000000e+00	6.253333e-08	6.253333e-08
35	5.680000e-01	0.000000e+00	1.348714e-07	1.348714e-07
36	5.840000e-01	0.000000e+00	1.429602e-07	1.429602e-07
37	6.000000e-01	0.000000e+00	1.764504e-07	1.764504e-07
38	6.160000e-01	0.000000e+00	1.191970e-07	1.191970e-07
39	6.320000e-01	0.000000e+00	1.216726e-07	1.216726e-07
40	6.480000e-01	0.000000e+00	1.185514e-07	1.185514e-07
41	6.640000e-01	0.000000e+00	6.114450e-08	6.114450e-08
42	6.800000e-01	0.000000e+00	1.058038e-07	1.058038e-07
43	6.960000e-01	0.000000e+00	2.550018e-08	2.550018e-08
44	7.120000e-01	0.000000e+00	9.038040e-08	9.038040e-08
45	7.280000e-01	0.000000e+00	7.283424e-08	7.283424e-08
46	7.440000e-01	0.000000e+00	5.571118e-08	5.571118e-08
47	7.600000e-01	0.000000e+00	-1.172891e-09	-1.172891e-09
48	7.760000e-01	0.000000e+00	2.283126e-07	2.283126e-07
49	7.920000e-01	0.000000e+00	1.757778e-07	1.757778e-07
50	8.080000e-01	0.000000e+00	1.101757e-07	1.101757e-07
