# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	-1.577367e-09	-3.633390e-12	-1.581000e-09
1	2.400000e-02	-1.908747e-09	-4.867228e-12	-1.913614e-09
2	4.000000e-02	-1.774874e-09	-4.224247e-12	-1.779098e-09
3	5.600000e-02	-1.678014e-09	-3.998653e-12	-1.682013e-09
4	7.200000e-02	-1.189570e-09	-6.319714e-12	-1.195889e-09
5	8.800000e-02	-2.284396e-09	-5.361852e-12	-2.289758e-09
6	1.040000e-01	-1.999483e-09	-5.770519e-12	-2.005254e-09
7	1.200000e-01	-1.476947e-09	-5.405951e-12	-1.482353e-09
8	1.360000e-01	-1.897539e-09	-5.257432e-12	-1.902796e-09
9	1.520000e-01	-2.020662e-09	-4.947788e-12	-2.025610e-09
10	1.680000e-01	-1.712936e-09	-5.602350e-12	-1.718538e-09
11	1.840000e-01	-1.682817e-09	-3.211767e-12	-1.686029e-09
12	2.000000e-01	-1.653592e-09	-5.400063e-12	-1.658992e-09
13	2.160000e-01	-1.823487e-09	-5.031280e-12	-1.828519e-09
14	2.320000e-01	-1.524431e-09	-6.080375e-12	-1.530511e-09
15	2.480000e-01	-1.518175e-09	-5.218385e-12	-1.523394e-09
16	2.640000e-01	-1.719232e-09	-4.607391e-12	-1.723839e-09
17	2.800000e-01	-1.356884e-09	-5.405663e-12	-1.362289e-09
18	2.960000e-01	-1.323084e-09	-5.793835e-12	-1.328878e-09
19	3.120000e-01	-1.616593e-09	-4.472407e-12	-1.621066e-09
20	3.280000e-01	-1.603729e-09	-6.399085e-12	-1.610128e-09
21	3.440000e-01	-1.451227e-09	-7.039813e-12	-1.458267e-09
22	3.600000e-01	-1.964291e-09	-5.889662e-12	-1.970180e-09
23	3.760000e-01	-1.796153e-09	-4.620204e-12	-1.800773e-09
24	3.920000e-01	-1.655346e-09	-6.960564e-12	-1.662306e-09
25	4.080000e-01	-1.877751e-09	-4.923426e-12	-1.882675e-09
26	4.240000e-01	-1.619418e-09	-5.090712e-12	-1.624509e-09
27	4.400000e-01	-1.561659e-09	-4.080209e-12	-1.565739e-09
28	4.560000e-01	-1.229572e-09	-8.143143e-12	-1.237715e-09
29	4.720000e-01	-1.895282e-09	-8.074372e-12	-1.903357e-09
30	4.880000e-01	-1.607769e-09	-7.324994e-12	-1.615094e-09
31	5.040000e-01	-1.380387e-09	-7.955054e-12	-1.388342e-09
32	5.200000e-01	-1.756228e-09	-2.878435e-12	-1.759106e-09
33	5.360000e-01	-1.597004e-09	-5.909735e-12	-1.602914e-09
