# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	1.575051e-09	3.598095e-12	1.578649e-09
1	2.400000e-02	1.921058e-09	4.803328e-12	1.925861e-09
2	4.000000e-02	1.750927e-09	4.276754e-12	1.755204e-09
3	5.600000e-02	1.668413e-09	4.012660e-12	1.672426e-09
4	7.200000e-02	1.185250e-09	6.500735e-12	1.191751e-09
5	8.800000e-02	2.262747e-09	5.388298e-12	2.268135e-09
6	1.040000e-01	1.981504e-09	5.802578e-12	1.987306e-09
7	1.200000e-01	1.477083e-09	5.621200e-12	1.482705e-09
8	1.360000e-01	1.894830e-09	5.227151e-12	1.900057e-09
9	1.520000e-01	1.989038e-09	5.142081e-12	1.994180e-09
10	1.680000e-01	1.709880e-09	5.595227e-12	1.715475e-09
11	1.840000e-01	1.713121e-09	3.081842e-12	1.716203e-09
12	2.000000e-01	1.643749e-09	5.515031e-12	1.649264e-09
13	2.160000e-01	1.800712e-09	5.082240e-12	1.805794e-09
14	2.320000e-01	1.533988e-09	6.155121e-12	1.540143e-09
15	2.480000e-01	1.509141e-09	5.030759e-12	1.514172e-09
16	2.640000e-01	1.688512e-09	4.675506e-12	1.693187e-09
17	2.800000e-01	1.361942e-09	5.258518e-12	1.367201e-09
18	2.960000e-01	1.324139e-09	5.702149e-12	1.329841e-09
19	3.120000e-01	1.588540e-09	4.392211e-12	1.592932e-09
20	3.280000e-01	1.613853e-09	6.517286e-12	1.620370e-09
21	3.440000e-01	1.478021e-09	7.020126e-12	1.485041e-09
22	3.600000e-01	1.967921e-09	5.800220e-12	1.973722e-09
23	3.760000e-01	1.765472e-09	4.817450e-12	1.770289e-09
24	3.920000e-01	1.643424e-09	7.065568e-12	1.650490e-09
25	4.080000e-01	1.864051e-09	4.893744e-12	1.868945e-09
26	4.240000e-01	1.592505e-09	5.184239e-12	1.597690e-09
27	4.400000e-01	1.579347e-09	4.168878e-12	1.583516e-09
28	4.560000e-01	1.218586e-09	7.984053e-12	1.226570e-09
29	4.720000e-01	1.873267e-09	7.947504e-12	1.881214e-09
30	4.880000e-01	1.584061e-09	7.184488e-12	1.591246e-09
31	5.040000e-01	1.380909e-09	7.785140e-12	1.388694e-09
32	5.200000e-01	1.712627e-09	2.875845e-12	1.715503e-09
33	5.360000e-01	1.577926e-09	5.887475e-12	1.583813e-09
34	5.520000e-01	2.194492e-09	1.032760e-11	2.204819e-09
35	5.680000e-01	1.835244e-09	1.016384e-11	1.845408e-09
36	5.840000e-01	1.498964e-09	9.058770e-12	1.508022e-09
37	6.000000e-01	1.690085e-09	1.065575e-11	1.700741e-09
38	6.160000e-01	1.354562e-09	7.034576e-12	1.361597e-09
39	6.320000e-01	2.028227e-09	9.376589e-12	2.037603e-09
40	6.480000e-01	1.547571e-09	1.197007e-11	1.559541e-09
41	6.640000e-01	1.967253e-09	1.150643e-11	1.978759e-09
42	6.800000e-01	1.031284e-09	1.101315e-11	1.042297e-09
43	6.960000e-01	1.960358e-09	9.402550e-12	1.969761e-09
