# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	-1.127032e-09	-2.702725e-12	-1.129735e-09
1	2.400000e-02	-1.045699e-09	-4.313763e-12	-1.050013e-09
2	4.000000e-02	-8.696085e-10	-4.266714e-12	-8.738752e-10
3	5.600000e-02	-9.550142e-10	-3.925565e-12	-9.589398e-10
4	7.200000e-02	-7.463840e-10	-3.911732e-12	-7.502957e-10
5	8.800000e-02	-9.828855e-10	-3.799485e-12	-9.866850e-10
6	1.040000e-01	-6.571013e-10	-4.688568e-12	-6.617899e-10
7	1.200000e-01	-6.435932e-10	-4.846493e-12	-6.484397e-10
8	1.360000e-01	-9.660809e-10	-5.612892e-12	-9.716938e-10
9	1.520000e-01	-7.344630e-10	-4.169578e-12	-7.386326e-10
10	1.680000e-01	-8.547767e-10	-4.574642e-12	-8.593514e-10
11	1.840000e-01	-7.802327e-10	-4.290546e-12	-7.845232e-10
12	2.000000e-01	-8.110366e-10	-5.045372e-12	-8.160820e-10
13	2.160000e-01	-9.986350e-10	-4.499262e-12	-1.003134e-09
14	2.320000e-01	-8.468930e-10	-5.374618e-12	-8.522676e-10
15	2.480000e-01	-9.120156e-10	-4.598158e-12	-9.166137e-10
16	2.640000e-01	-8.812596e-10	-4.735864e-12	-8.859954e-10
17	2.800000e-01	-8.275761e-10	-4.517343e-12	-8.320934e-10
18	2.960000e-01	-7.968869e-10	-4.867370e-12	-8.017543e-10
19	3.120000e-01	-7.038539e-10	-5.300381e-12	-7.091543e-10
20	3.280000e-01	-7.057243e-10	-5.739247e-12	-7.114635e-10
21	3.440000e-01	-8.084884e-10	-4.119298e-12	-8.126077e-10
22	3.600000e-01	-6.044933e-10	-4.585376e-12	-6.090787e-10
23	3.760000e-01	-6.949473e-10	-5.007683e-12	-6.999550e-10
24	3.920000e-01	-6.814999e-10	-6.139790e-12	-6.876397e-10
25	4.080000e-01	-6.650398e-10	-4.772445e-12	-6.698122e-10
26	4.240000e-01	-7.593546e-10	-5.866087e-12	-7.652207e-10
27	4.400000e-01	-6.482127e-10	-5.576959e-12	-6.537896e-10
28	4.560000e-01	-4.339716e-10	-4.646547e-12	-4.386182e-10
