# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	-1.200832e-09	-3.700695e-12	-1.204532e-09
1	2.400000e-02	-1.533036e-09	-6.373823e-12	-1.539410e-09
2	4.000000e-02	-1.145777e-09	-6.520536e-12	-1.152298e-09
3	5.600000e-02	-1.459908e-09	-5.501587e-12	-1.465410e-09
4	7.200000e-02	-1.389148e-09	-5.756974e-12	-1.394904e-09
5	8.800000e-02	-1.268390e-09	-6.905699e-12	-1.275296e-09
6	1.040000e-01	-9.373928e-10	-8.057963e-12	-9.454508e-10
7	1.200000e-01	-1.040746e-09	-5.734081e-12	-1.046480e-09
8	1.360000e-01	-1.154805e-09	-6.731309e-12	-1.161537e-09
9	1.520000e-01	-1.172692e-09	-7.239634e-12	-1.179931e-09
10	1.680000e-01	-1.159401e-09	-7.277379e-12	-1.166679e-09
11	1.840000e-01	-7.100644e-10	-6.502018e-12	-7.165664e-10
12	2.000000e-01	-7.742498e-10	-4.905501e-12	-7.791553e-10
13	2.160000e-01	-1.077612e-09	-7.021840e-12	-1.084633e-09
14	2.320000e-01	-7.605003e-10	-6.448562e-12	-7.669488e-10
15	2.480000e-01	-1.080383e-09	-7.675838e-12	-1.088059e-09
16	2.640000e-01	-6.989910e-10	-6.965621e-12	-7.059566e-10
17	2.800000e-01	-8.958493e-10	-7.244237e-12	-9.030935e-10
18	2.960000e-01	-6.894291e-10	-6.024096e-12	-6.954532e-10
19	3.120000e-01	-9.762202e-10	-6.386779e-12	-9.826070e-10
20	3.280000e-01	-8.960419e-10	-7.204435e-12	-9.032463e-10
21	3.440000e-01	-8.365798e-10	-7.049625e-12	-8.436294e-10
22	3.600000e-01	-5.901562e-10	-6.983184e-12	-5.971394e-10
23	3.760000e-01	-7.826484e-10	-6.785554e-12	-7.894339e-10
24	3.920000e-01	-8.036497e-10	-7.378735e-12	-8.110284e-10
25	4.080000e-01	-9.529288e-10	-7.307901e-12	-9.602367e-10
26	4.240000e-01	-6.065763e-10	-7.732220e-12	-6.143085e-10
27	4.400000e-01	-7.459567e-10	-8.088555e-12	-7.540452e-10
28	4.560000e-01	-7.186979e-10	-7.452456e-12	-7.261504e-10
29	4.720000e-01	-9.442943e-10	-6.304769e-12	-9.505990e-10
30	4.880000e-01	-6.779019e-10	-7.158723e-12	-6.850607e-10
31	5.040000e-01	-8.738987e-10	-5.415345e-12	-8.793140e-10
32	5.200000e-01	-7.349563e-10	-6.998642e-12	-7.419549e-10
33	5.360000e-01	-5.022822e-10	-6.925809e-12	-5.092080e-10
34	5.520000e-01	-9.089184e-10	-7.847813e-12	-9.167662e-10
35	5.680000e-01	-6.696564e-10	-8.570130e-12	-6.782265e-10
36	5.840000e-01	-8.683719e-10	-6.420699e-12	-8.747926e-10
37	6.000000e-01	-7.340250e-10	-7.046198e-12	-7.410712e-10
38	6.160000e-01	-8.244823e-10	-8.343239e-12	-8.328255e-10
39	6.320000e-01	-8.335655e-10	-7.545114e-12	-8.411107e-10
40	6.480000e-01	-9.515427e-10	-8.111401e-12	-9.596541e-10
41	6.640000e-01	-5.653333e-10	-6.861711e-12	-5.721950e-10
42	6.800000e-01	-7.438204e-10	-8.531351e-12	-7.523517e-10
43	6.960000e-01	-6.817168e-10	-7.503416e-12	-6.892202e-10
44	7.120000e-01	-7.180909e-10	-7.266237e-12	-7.253572e-10
45	7.280000e-01	-6.699471e-10	-6.321790e-12	-6.762689e-10
46	7.440000e-01	-9.140429e-10	-8.726140e-12	-9.227690e-10
47	7.600000e-01	-7.107610e-10	-8.879503e-12	-7.196405e-10
48	7.760000e-01	-6.953117e-10	-9.515554e-12	-7.048273e-10
