# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	1.204620e-09	3.707427e-12	1.208327e-09
1	2.400000e-02	1.538988e-09	6.315370e-12	1.545304e-09
2	4.000000e-02	1.148321e-09	6.505249e-12	1.154826e-09
3	5.600000e-02	1.458505e-09	5.569831e-12	1.464075e-09
4	7.200000e-02	1.392002e-09	5.781553e-12	1.397783e-09
5	8.800000e-02	1.266981e-09	6.879469e-12	1.273861e-09
6	1.040000e-01	9.398321e-10	7.986159e-12	9.478182e-10
7	1.200000e-01	1.042097e-09	5.779720e-12	1.047877e-09
8	1.360000e-01	1.155313e-09	6.789665e-12	1.162103e-09
9	1.520000e-01	1.174673e-09	7.201769e-12	1.181875e-09
10	1.680000e-01	1.161187e-09	7.278088e-12	1.168465e-09
11	1.840000e-01	7.121910e-10	6.425398e-12	7.186164e-10
12	2.000000e-01	7.766233e-10	4.922493e-12	7.815458e-10
13	2.160000e-01	1.078659e-09	7.037789e-12	1.085696e-09
14	2.320000e-01	7.623059e-10	6.454996e-12	7.687608e-10
15	2.480000e-01	1.084286e-09	7.645870e-12	1.091932e-09
16	2.640000e-01	6.991155e-10	6.992346e-12	7.061078e-10
17	2.800000e-01	8.977075e-10	7.219987e-12	9.049275e-10
18	2.960000e-01	6.910406e-10	5.959694e-12	6.970003e-10
19	3.120000e-01	9.778489e-10	6.429394e-12	9.842783e-10
20	3.280000e-01	8.992833e-10	7.277778e-12	9.065611e-10
21	3.440000e-01	8.391868e-10	7.049791e-12	8.462366e-10
22	3.600000e-01	5.913547e-10	7.004986e-12	5.983597e-10
23	3.760000e-01	7.828182e-10	6.773669e-12	7.895919e-10
24	3.920000e-01	8.037828e-10	7.362573e-12	8.111454e-10
25	4.080000e-01	9.525623e-10	7.280657e-12	9.598429e-10
26	4.240000e-01	6.101118e-10	7.812115e-12	6.179239e-10
27	4.400000e-01	7.457390e-10	8.042340e-12	7.537813e-10
28	4.560000e-01	7.172568e-10	7.563396e-12	7.248202e-10
29	4.720000e-01	9.422082e-10	6.273695e-12	9.484819e-10
30	4.880000e-01	6.775604e-10	7.157507e-12	6.847179e-10
31	5.040000e-01	8.726858e-10	5.475172e-12	8.781609e-10
32	5.200000e-01	7.337216e-10	6.964245e-12	7.406858e-10
33	5.360000e-01	5.011462e-10	7.009965e-12	5.081561e-10
34	5.520000e-01	9.074119e-10	7.743845e-12	9.151558e-10
35	5.680000e-01	6.682217e-10	8.599096e-12	6.768208e-10
36	5.840000e-01	8.657191e-10	6.394098e-12	8.721132e-10
37	6.000000e-01	7.313097e-10	7.039158e-12	7.383488e-10
38	6.160000e-01	8.236663e-10	8.334106e-12	8.320004e-10
39	6.320000e-01	8.313058e-10	7.537227e-12	8.388430e-10
40	6.480000e-01	9.482426e-10	8.112541e-12	9.563552e-10
41	6.640000e-01	5.649894e-10	6.876633e-12	5.718661e-10
42	6.800000e-01	7.425179e-10	8.551711e-12	7.510696e-10
43	6.960000e-01	6.837959e-10	7.524179e-12	6.913201e-10
44	7.120000e-01	7.162602e-10	7.220737e-12	7.234809e-10
45	7.280000e-01	6.663369e-10	6.265497e-12	6.726024e-10
46	7.440000e-01	9.120462e-10	8.820433e-12	9.208667e-10
47	7.600000e-01	7.095206e-10	8.855032e-12	7.183756e-10
48	7.760000e-01	6.915538e-10	9.468139e-12	7.010219e-10
49	7.920000e-01	6.073500e-10	7.662274e-12	6.150122e-10
50	8.080000e-01	6.338327e-10	8.501096e-12	6.423338e-10
51	8.240000e-01	5.615366e-10	8.642514e-12	5.701791e-10
52	8.400000e-01	6.460216e-10	8.127315e-12	6.541490e-10
53	8.560000e-01	5.812904e-10	6.643616e-12	5.879340e-10
54	8.720000e-01	6.306996e-10	8.731349e-12	6.394309e-10
55	8.880000e-01	7.472551e-10	8.407056e-12	7.556622e-10
56	9.040000e-01	7.830565e-10	6.945943e-12	7.900024e-10
57	9.200000e-01	7.257395e-10	7.485718e-12	7.332252e-10
58	9.360000e-01	5.605886e-10	7.707361e-12	5.682959e-10
59	9.520000e-01	5.276250e-10	8.292326e-12	5.359173e-10
60	9.680000e-01	4.966346e-10	9.474168e-12	5.061088e-10
61	9.840000e-01	7.041725e-10	8.395929e-12	7.125684e-10
62	1.000000e+00	5.409808e-10	7.480552e-12	5.484614e-10
63	1.016000e+00	4.885911e-10	8.371096e-12	4.969622e-10
64	1.032000e+00	6.809200e-10	8.597460e-12	6.895174e-10
65	1.048000e+00	6.085061e-10	8.530448e-12	6.170365e-10
66	1.064000e+00	5.853754e-10	9.331886e-12	5.947073e-10
67	1.080000e+00	6.121645e-10	9.423498e-12	6.215880e-10
68	1.096000e+00	5.448975e-10	7.715092e-12	5.526126e-10
69	1.112000e+00	6.041943e-10	8.726280e-12	6.129205e-10
70	1.128000e+00	6.585506e-10	9.041265e-12	6.675919e-10
71	1.144000e+00	4.752037e-10	8.870009e-12	4.840737e-10
72	1.160000e+00	4.143602e-10	8.622003e-12	4.229822e-10
73	1.176000e+00	5.257721e-10	9.926494e-12	5.356986e-10
74	1.192000e+00	4.860406e-10	8.326205e-12	4.943668e-10
75	1.208000e+00	4.104468e-10	8.121921e-12	4.185688e-10
76	1.224000e+00	4.315609e-10	7.302918e-12	4.388638e-10
77	1.240000e+00	4.053549e-10	8.227015e-12	4.135819e-10
78	1.256000e+00	5.078879e-10	9.988234e-12	5.178761e-10
79	1.272000e+00	3.172704e-10	8.410562e-12	3.256809e-10
80	1.288000e+00	2.890148e-10	9.424404e-12	2.984392e-10
81	1.304000e+00	2.606008e-10	9.165130e-12	2.697660e-10
82	1.320000e+00	4.389431e-10	1.066972e-11	4.496129e-10
83	1.336000e+00	3.820514e-10	1.062793e-11	3.926794e-10
84	1.352000e+00	4.048126e-10	8.189964e-12	4.130026e-10
85	1.368000e+00	2.358911e-10	8.788347e-12	2.446794e-10
86	1.384000e+00	3.615844e-10	8.160571e-12	3.697449e-10
87	1.400000e+00	3.338761e-10	9.420308e-12	3.432964e-10
88	1.416000e+00	3.144079e-10	9.330426e-12	3.237384e-10
89	1.432000e+00	2.652306e-10	8.936681e-12	2.741673e-10
90	1.448000e+00	3.127271e-10	9.213862e-12	3.219409e-10
91	1.464000e+00	2.704266e-10	8.494137e-12	2.789207e-10
92	1.480000e+00	4.643941e-10	7.477190e-12	4.718713e-10
93	1.496000e+00	3.648167e-10	9.407169e-12	3.742239e-10
94	1.512000e+00	2.932538e-10	1.070190e-11	3.039557e-10
95	1.528000e+00	2.737336e-10	8.636150e-12	2.823697e-10
96	1.544000e+00	3.674132e-10	1.013857e-11	3.775518e-10
97	1.560000e+00	5.382418e-10	9.750258e-12	5.479921e-10
98	1.576000e+00	5.126946e-10	9.431204e-12	5.221258e-10
99	1.592000e+00	3.283375e-10	1.053213e-11	3.388697e-10
100	1.608000e+00	3.873782e-10	8.795874e-12	3.961740e-10
101	1.624000e+00	3.364518e-10	7.753300e-12	3.442051e-10
102	1.640000e+00	3.955497e-10	8.633479e-12	4.041832e-10
103	1.656000e+00	3.493567e-10	1.037187e-11	3.597285e-10
104	1.672000e+00	2.813279e-10	9.597763e-12	2.909257e-10
105	1.688000e+00	3.308936e-10	8.732940e-12	3.396265e-10
106	1.704000e+00	2.988579e-10	8.116435e-12	3.069743e-10
107	1.720000e+00	2.737692e-10	8.237030e-12	2.820063e-10
108	1.736000e+00	2.900718e-10	7.982573e-12	2.980544e-10
109	1.752000e+00	3.059124e-10	9.017937e-12	3.149303e-10
110	1.768000e+00	3.558035e-10	8.798377e-12	3.646019e-10
111	1.784000e+00	2.803485e-10	9.022540e-12	2.893711e-10
112	1.800000e+00	3.291322e-10	8.678287e-12	3.378105e-10
113	1.816000e+00	2.766436e-10	1.078721e-11	2.874309e-10
114	1.832000e+00	2.435356e-10	1.027169e-11	2.538073e-10
115	1.848000e+00	3.209762e-10	9.408095e-12	3.303843e-10
116	1.864000e+00	4.326121e-10	8.462511e-12	4.410746e-10
117	1.880000e+00	3.515849e-10	1.126117e-11	3.628461e-10
118	1.896000e+00	2.657506e-10	1.168637e-11	2.774370e-10
119	1.912000e+00	3.590321e-10	9.919652e-12	3.689518e-10
120	1.928000e+00	3.267673e-10	1.042331e-11	3.371906e-10
121	1.944000e+00	4.184495e-10	1.025774e-11	4.287073e-10
122	1.960000e+00	3.014686e-10	1.000391e-11	3.114726e-10
123	1.976000e+00	2.129534e-10	9.638298e-12	2.225917e-10
124	1.992000e+00	4.045921e-10	8.400135e-12	4.129922e-10
125	2.008000e+00	2.636732e-10	9.578239e-12	2.732514e-10
126	2.024000e+00	2.531077e-10	8.948396e-12	2.620561e-10
127	2.040000e+00	1.115838e-10	9.993553e-12	1.215773e-10
128	2.056000e+00	2.746040e-10	1.173779e-11	2.863418e-10
129	2.072000e+00	3.198688e-10	1.089093e-11	3.307597e-10
130	2.088000e+00	1.197401e-10	1.127025e-11	1.310103e-10
131	2.104000e+00	2.191118e-10	1.072272e-11	2.298346e-10
132	2.120000e+00	2.207548e-10	1.001074e-11	2.307655e-10
133	2.136000e+00	2.704514e-10	1.045996e-11	2.809114e-10
134	2.152000e+00	2.556988e-10	9.396938e-12	2.650958e-10
135	2.168000e+00	8.995655e-11	1.001660e-11	9.997315e-11
136	2.184000e+00	1.760169e-10	1.063004e-11	1.866469e-10
137	2.200000e+00	1.812492e-10	9.137840e-12	1.903870e-10
138	2.216000e+00	2.063011e-10	9.497803e-12	2.157989e-10
139	2.232000e+00	1.445889e-10	1.162824e-11	1.562172e-10
140	2.248000e+00	2.770597e-10	1.094623e-11	2.880059e-10
141	2.264000e+00	1.117225e-10	9.178849e-12	1.209013e-10
142	2.280000e+00	1.348372e-10	9.441819e-12	1.442790e-10
143	2.296000e+00	1.499414e-10	1.019947e-11	1.601408e-10
144	2.312000e+00	3.345276e-11	1.093016e-11	4.438291e-11
145	2.328000e+00	9.607570e-11	1.136491e-11	1.074406e-10
146	2.344000e+00	1.335877e-10	1.053163e-11	1.441194e-10
147	2.360000e+00	7.952788e-11	1.143280e-11	9.096068e-11
148	2.376000e+00	1.211641e-10	1.031744e-11	1.314816e-10
149	2.392000e+00	9.372485e-11	9.693990e-12	1.034188e-10
150	2.408000e+00	9.196870e-11	1.150569e-11	1.034744e-10
151	2.424000e+00	7.871998e-11	1.061692e-11	8.933689e-11
152	2.440000e+00	1.338296e-10	1.035685e-11	1.441864e-10
