# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	0.000000e+00	-1.236622e-09	-1.266669e-12	-1.237889e-09
1	1.600000e-02	-1.264042e-09	-1.700557e-12	-1.265742e-09
2	3.200000e-02	-1.435089e-09	-4.684746e-12	-1.439773e-09
3	4.800000e-02	-1.110541e-09	-4.282118e-12	-1.114823e-09
4	6.400000e-02	-1.330123e-09	-3.133784e-12	-1.333257e-09
5	8.000000e-02	-1.589232e-09	-5.003820e-12	-1.594236e-09
6	9.600000e-02	-1.332199e-09	-5.659461e-12	-1.337858e-09
7	1.120000e-01	-1.202311e-09	-4.229731e-12	-1.206541e-09
8	1.280000e-01	-1.201904e-09	-5.191138e-12	-1.207095e-09
9	1.440000e-01	-1.690130e-09	-4.371883e-12	-1.694502e-09
10	1.600000e-01	-2.073580e-09	-3.555148e-12	-2.077135e-09
11	1.760000e-01	-1.205170e-09	-4.049527e-12	-1.209219e-09
12	1.920000e-01	-1.345881e-09	-4.215890e-12	-1.350097e-09
13	2.080000e-01	-1.436240e-09	-4.277717e-12	-1.440517e-09
14	2.240000e-01	-1.606102e-09	-5.165470e-12	-1.611267e-09
15	2.400000e-01	-1.220716e-09	-4.870114e-12	-1.225586e-09
16	2.560000e-01	-1.397432e-09	-4.867822e-12	-1.402300e-09
17	2.720000e-01	-2.031660e-09	-3.942494e-12	-2.035603e-09
18	2.880000e-01	-1.624230e-09	-3.794873e-12	-1.628025e-09
19	3.040000e-01	-1.439300e-09	-4.659940e-12	-1.443960e-09
20	3.200000e-01	-1.347963e-09	-2.203414e-12	-1.350167e-09
21	3.360000e-01	-1.782244e-09	-4.086923e-12	-1.786331e-09
22	3.520000e-01	-1.204445e-09	-4.075313e-12	-1.208521e-09
23	3.680000e-01	-1.445400e-09	-5.337804e-12	-1.450738e-09
24	3.840000e-01	-1.352763e-09	-3.583914e-12	-1.356347e-09
25	4.000000e-01	-1.648180e-09	-4.785431e-12	-1.652965e-09
26	4.160000e-01	-1.363764e-09	-4.319445e-12	-1.368083e-09
27	4.320000e-01	-1.204892e-09	-5.159789e-12	-1.210052e-09
28	4.480000e-01	-1.699843e-09	-4.743665e-12	-1.704587e-09
29	4.640000e-01	-1.504579e-09	-3.622785e-12	-1.508202e-09
30	4.800000e-01	-1.137782e-09	-5.736720e-12	-1.143518e-09
31	4.960000e-01	-1.854208e-09	-2.927678e-12	-1.857136e-09
32	5.120000e-01	-1.044257e-09	-2.798436e-12	-1.047056e-09
33	5.280000e-01	-1.311693e-09	-3.503785e-12	-1.315196e-09
34	5.440000e-01	-1.628406e-09	-4.780489e-12	-1.633187e-09
35	5.600000e-01	-1.583402e-09	-5.222384e-12	-1.588624e-09
36	5.760000e-01	-1.495351e-09	-3.611339e-12	-1.498963e-09
37	5.920000e-01	-1.540554e-09	-4.461140e-12	-1.545015e-09
38	6.080000e-01	-1.434502e-09	-2.665589e-12	-1.437167e-09
39	6.240000e-01	-1.508946e-09	-5.798340e-12	-1.514744e-09
40	6.400000e-01	-1.993879e-09	-5.329104e-12	-1.999209e-09
41	6.560000e-01	-1.633991e-09	-4.660733e-12	-1.638652e-09
42	6.720000e-01	-1.377554e-09	-4.985579e-12	-1.382540e-09
43	6.880000e-01	-1.212064e-09	-2.461252e-12	-1.214525e-09
44	7.040000e-01	-1.730789e-09	-1.183369e-12	-1.731972e-09
45	7.200000e-01	-1.342492e-09	-1.812776e-12	-1.344305e-09
46	7.360000e-01	-1.741777e-09	-2.017654e-12	-1.743795e-09
47	7.520000e-01	-2.239885e-09	-2.243693e-12	-2.242129e-09
48	7.680000e-01	-1.930614e-09	-3.862171e-12	-1.934476e-09
49	7.840000e-01	-2.188156e-09	-1.601752e-12	-2.189758e-09
50	8.000000e-01	-1.804007e-09	-3.577739e-12	-1.807585e-09
51	8.160000e-01	-1.676906e-09	-3.533154e-12	-1.680439e-09
52	8.320000e-01	-1.399839e-09	-3.936807e-12	-1.403776e-09
53	8.480000e-01	-1.701223e-09	-3.595936e-12	-1.704819e-09
54	8.640000e-01	-2.170129e-09	-4.671404e-12	-2.174801e-09
55	8.800000e-01	-1.924563e-09	-2.892199e-12	-1.927455e-09
56	8.960000e-01	-1.547163e-09	-3.376741e-12	-1.550540e-09
57	9.120000e-01	-1.903006e-09	-2.524545e-12	-1.905531e-09
58	9.280000e-01	-1.535847e-09	-4.651982e-12	-1.540499e-09
59	9.440000e-01	-2.311699e-09	-4.855860e-12	-2.316555e-09
60	9.600000e-01	-2.307152e-09	-4.164673e-12	-2.311317e-09
61	9.760000e-01	-1.925798e-09	-3.299043e-12	-1.929097e-09
62	9.920000e-01	-1.847099e-09	-4.347656e-12	-1.851446e-09
63	1.008000e+00	-1.878392e-09	-4.207825e-12	-1.882600e-09
64	1.024000e+00	-2.287124e-09	-4.043416e-12	-2.291167e-09
65	1.040000e+00	-1.926099e-09	-5.621597e-12	-1.931721e-09
66	1.056000e+00	-1.911811e-09	-4.099884e-12	-1.915911e-09
67	1.072000e+00	-2.335214e-09	-2.987970e-12	-2.338202e-09
68	1.088000e+00	-2.134021e-09	-2.873852e-12	-2.136894e-09
69	1.104000e+00	-2.019543e-09	-4.801991e-12	-2.024345e-09
70	1.120000e+00	-2.382895e-09	-3.555599e-12	-2.386450e-09
71	1.136000e+00	-2.373639e-09	-4.466298e-12	-2.378106e-09
72	1.152000e+00	-1.994977e-09	-2.845851e-12	-1.997823e-09
73	1.168000e+00	-1.899300e-09	-4.920867e-12	-1.904221e-09
74	1.184000e+00	-1.860679e-09	-4.783358e-12	-1.865463e-09
75	1.200000e+00	-2.204042e-09	-5.477843e-12	-2.209520e-09
76	1.216000e+00	-2.413123e-09	-3.814916e-12	-2.416938e-09
77	1.232000e+00	-1.817927e-09	-6.266101e-12	-1.824193e-09
78	1.248000e+00	-1.848002e-09	-4.414468e-12	-1.852416e-09
79	1.264000e+00	-2.208573e-09	-2.578352e-12	-2.211151e-09
80	1.280000e+00	-2.477260e-09	-3.369744e-12	-2.480630e-09
81	1.296000e+00	-1.675582e-09	-3.967218e-12	-1.679550e-09
82	1.312000e+00	-2.286414e-09	-3.977851e-12	-2.290391e-09
83	1.328000e+00	-1.762635e-09	-5.452904e-12	-1.768088e-09
84	1.344000e+00	-1.939735e-09	-4.129502e-12	-1.943864e-09
85	1.360000e+00	-2.061495e-09	-4.069509e-12	-2.065564e-09
86	1.376000e+00	-2.319986e-09	-4.959345e-12	-2.324946e-09
87	1.392000e+00	-2.396885e-09	-3.117154e-12	-2.400002e-09
88	1.408000e+00	-1.716202e-09	-3.245276e-12	-1.719447e-09
89	1.424000e+00	-2.339762e-09	-4.058537e-12	-2.343821e-09
90	1.440000e+00	-2.075243e-09	-4.762997e-12	-2.080006e-09
91	1.456000e+00	-2.163908e-09	-4.042492e-12	-2.167951e-09
92	1.472000e+00	-2.383151e-09	-3.585634e-12	-2.386736e-09
93	1.488000e+00	-1.744283e-09	-4.021385e-12	-1.748304e-09
94	1.504000e+00	-1.980922e-09	-5.003147e-12	-1.985925e-09
95	1.520000e+00	-2.271199e-09	-2.764706e-12	-2.273964e-09
96	1.536000e+00	-2.180698e-09	-4.444915e-12	-2.185143e-09
97	1.552000e+00	-2.467359e-09	-4.180772e-12	-2.471539e-09
98	1.568000e+00	-2.571525e-09	-3.765935e-12	-2.575291e-09
99	1.584000e+00	-2.648920e-09	-2.729802e-12	-2.651650e-09
100	1.600000e+00	-2.465771e-09	-3.929073e-12	-2.469701e-09
101	1.616000e+00	-1.757785e-09	-2.245409e-12	-1.760031e-09
102	1.632000e+00	-2.647168e-09	-3.935435e-12	-2.651103e-09
103	1.648000e+00	-2.453642e-09	-5.127670e-12	-2.458769e-09
104	1.664000e+00	-2.739489e-09	-4.601252e-12	-2.744091e-09
105	1.680000e+00	-2.767282e-09	-3.941193e-12	-2.771223e-09
106	1.696000e+00	-3.311872e-09	-4.574080e-12	-3.316446e-09
107	1.712000e+00	-2.406759e-09	-5.422074e-12	-2.412181e-09
108	1.728000e+00	-3.082741e-09	-4.261024e-12	-3.087002e-09
109	1.744000e+00	-2.514251e-09	-1.759489e-12	-2.516011e-09
110	1.760000e+00	-2.838288e-09	-2.539646e-12	-2.840828e-09
111	1.776000e+00	-2.407106e-09	-3.912389e-12	-2.411018e-09
112	1.792000e+00	-2.461923e-09	-5.177441e-12	-2.467101e-09
113	1.808000e+00	-2.528349e-09	-4.759703e-12	-2.533109e-09
114	1.824000e+00	-2.881938e-09	-3.305338e-12	-2.885244e-09
115	1.840000e+00	-2.452762e-09	-4.434301e-12	-2.457196e-09
116	1.856000e+00	-2.158055e-09	-6.038065e-12	-2.164093e-09
117	1.872000e+00	-2.675816e-09	-3.933927e-12	-2.679750e-09
118	1.888000e+00	-2.947221e-09	-5.312632e-12	-2.952534e-09
119	1.904000e+00	-2.754645e-09	-4.613618e-12	-2.759258e-09
120	1.920000e+00	-3.101391e-09	-3.911794e-12	-3.105303e-09
121	1.936000e+00	-2.576431e-09	-4.695666e-12	-2.581127e-09
122	1.952000e+00	-2.847588e-09	-4.798181e-12	-2.852387e-09
123	1.968000e+00	-2.818183e-09	-2.613901e-12	-2.820797e-09
124	1.984000e+00	-2.285502e-09	-3.119708e-12	-2.288622e-09
125	2.000000e+00	-2.947897e-09	-3.260024e-12	-2.951157e-09
126	2.016000e+00	-2.937894e-09	-4.343087e-12	-2.942237e-09
127	2.032000e+00	-2.671139e-09	-3.936775e-12	-2.675076e-09
128	2.048000e+00	-2.862951e-09	-4.217651e-12	-2.867168e-09
129	2.064000e+00	-2.496271e-09	-2.673117e-12	-2.498944e-09
130	2.080000e+00	-3.378518e-09	-3.913311e-12	-3.382432e-09
