# RPC induced signal at TopGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	0.000000e+00	1.306806e-04	1.228153e-07	1.308034e-04
1	1.600000e-02	1.330138e-04	1.801816e-07	1.331940e-04
2	3.200000e-02	1.508532e-04	4.868394e-07	1.513400e-04
3	4.800000e-02	1.171278e-04	4.551726e-07	1.175830e-04
4	6.400000e-02	1.419280e-04	3.308502e-07	1.422589e-04
5	8.000000e-02	1.662801e-04	5.290060e-07	1.668091e-04
6	9.600000e-02	1.406884e-04	6.013902e-07	1.412898e-04
7	1.120000e-01	1.260786e-04	4.480995e-07	1.265267e-04
8	1.280000e-01	1.262109e-04	5.444148e-07	1.267554e-04
9	1.440000e-01	1.782761e-04	4.590419e-07	1.787351e-04
10	1.600000e-01	2.175851e-04	3.723327e-07	2.179574e-04
11	1.760000e-01	1.265284e-04	4.218748e-07	1.269503e-04
12	1.920000e-01	1.417956e-04	4.377736e-07	1.422334e-04
13	2.080000e-01	1.501966e-04	4.546232e-07	1.506512e-04
14	2.240000e-01	1.695900e-04	5.380090e-07	1.701280e-04
15	2.400000e-01	1.284798e-04	4.991790e-07	1.289790e-04
16	2.560000e-01	1.463355e-04	5.154897e-07	1.468510e-04
17	2.720000e-01	2.135904e-04	4.153493e-07	2.140058e-04
18	2.880000e-01	1.707037e-04	3.957108e-07	1.710994e-04
19	3.040000e-01	1.501082e-04	5.018323e-07	1.506100e-04
20	3.200000e-01	1.419265e-04	2.393261e-07	1.421659e-04
21	3.360000e-01	1.862064e-04	4.323333e-07	1.866388e-04
22	3.520000e-01	1.256887e-04	4.259876e-07	1.261146e-04
23	3.680000e-01	1.505091e-04	5.564327e-07	1.510656e-04
24	3.840000e-01	1.424771e-04	3.695432e-07	1.428466e-04
25	4.000000e-01	1.720192e-04	5.090109e-07	1.725282e-04
26	4.160000e-01	1.431847e-04	4.578358e-07	1.436426e-04
27	4.320000e-01	1.251417e-04	5.428828e-07	1.256846e-04
28	4.480000e-01	1.773954e-04	5.021053e-07	1.778976e-04
29	4.640000e-01	1.583589e-04	3.740127e-07	1.587329e-04
30	4.800000e-01	1.187466e-04	6.020970e-07	1.193487e-04
31	4.960000e-01	1.931683e-04	3.172416e-07	1.934856e-04
32	5.120000e-01	1.098373e-04	2.956368e-07	1.101329e-04
33	5.280000e-01	1.382186e-04	3.764170e-07	1.385950e-04
34	5.440000e-01	1.691804e-04	5.070194e-07	1.696874e-04
35	5.600000e-01	1.667055e-04	5.444095e-07	1.672499e-04
36	5.760000e-01	1.565970e-04	3.773446e-07	1.569743e-04
37	5.920000e-01	1.625015e-04	4.601024e-07	1.629616e-04
38	6.080000e-01	1.508489e-04	2.906120e-07	1.511395e-04
39	6.240000e-01	1.575417e-04	6.087512e-07	1.581505e-04
40	6.400000e-01	2.088526e-04	5.579498e-07	2.094106e-04
41	6.560000e-01	1.709218e-04	4.934808e-07	1.714153e-04
42	6.720000e-01	1.441979e-04	5.162224e-07	1.447141e-04
43	6.880000e-01	1.275862e-04	2.631150e-07	1.278493e-04
44	7.040000e-01	1.796020e-04	1.290391e-07	1.797311e-04
45	7.200000e-01	1.398595e-04	1.912135e-07	1.400507e-04
46	7.360000e-01	1.819739e-04	2.110637e-07	1.821849e-04
47	7.520000e-01	2.348819e-04	2.358364e-07	2.351177e-04
48	7.680000e-01	2.023624e-04	4.105551e-07	2.027730e-04
49	7.840000e-01	2.283402e-04	1.709783e-07	2.285112e-04
50	8.000000e-01	1.882966e-04	3.665320e-07	1.886631e-04
51	8.160000e-01	1.759060e-04	3.725302e-07	1.762786e-04
52	8.320000e-01	1.448604e-04	4.236638e-07	1.452841e-04
53	8.480000e-01	1.770885e-04	3.770752e-07	1.774656e-04
54	8.640000e-01	2.249309e-04	4.967815e-07	2.254277e-04
55	8.800000e-01	1.992816e-04	3.113446e-07	1.995930e-04
56	8.960000e-01	1.613807e-04	3.440832e-07	1.617248e-04
57	9.120000e-01	1.986655e-04	2.613997e-07	1.989269e-04
58	9.280000e-01	1.605427e-04	4.869821e-07	1.610297e-04
59	9.440000e-01	2.408574e-04	5.068206e-07	2.413642e-04
60	9.600000e-01	2.428119e-04	4.344472e-07	2.432463e-04
61	9.760000e-01	2.009849e-04	3.572218e-07	2.013421e-04
62	9.920000e-01	1.941946e-04	4.559647e-07	1.946506e-04
63	1.008000e+00	1.958597e-04	4.464693e-07	1.963062e-04
64	1.024000e+00	2.363262e-04	4.116924e-07	2.367379e-04
65	1.040000e+00	2.022175e-04	5.925525e-07	2.028100e-04
66	1.056000e+00	2.003396e-04	4.343838e-07	2.007740e-04
67	1.072000e+00	2.433784e-04	2.962312e-07	2.436747e-04
68	1.088000e+00	2.239274e-04	3.088184e-07	2.242362e-04
69	1.104000e+00	2.103055e-04	5.048503e-07	2.108103e-04
70	1.120000e+00	2.494285e-04	3.649716e-07	2.497935e-04
71	1.136000e+00	2.490913e-04	4.713003e-07	2.495626e-04
72	1.152000e+00	2.088942e-04	3.023779e-07	2.091966e-04
73	1.168000e+00	1.991504e-04	5.191899e-07	1.996696e-04
74	1.184000e+00	1.941400e-04	5.104714e-07	1.946504e-04
75	1.200000e+00	2.285466e-04	5.817100e-07	2.291284e-04
76	1.216000e+00	2.522543e-04	4.020013e-07	2.526563e-04
77	1.232000e+00	1.897988e-04	6.606617e-07	1.904595e-04
78	1.248000e+00	1.933646e-04	4.666841e-07	1.938312e-04
79	1.264000e+00	2.316054e-04	2.866760e-07	2.318921e-04
80	1.280000e+00	2.597537e-04	3.519398e-07	2.601057e-04
81	1.296000e+00	1.758802e-04	4.135578e-07	1.762938e-04
82	1.312000e+00	2.392886e-04	4.193087e-07	2.397079e-04
83	1.328000e+00	1.849317e-04	5.835606e-07	1.855153e-04
84	1.344000e+00	2.041544e-04	4.352410e-07	2.045896e-04
85	1.360000e+00	2.169723e-04	4.305730e-07	2.174029e-04
86	1.376000e+00	2.452740e-04	5.168054e-07	2.457908e-04
87	1.392000e+00	2.523555e-04	3.292901e-07	2.526847e-04
88	1.408000e+00	1.806831e-04	3.493513e-07	1.810325e-04
89	1.424000e+00	2.474546e-04	4.270476e-07	2.478817e-04
90	1.440000e+00	2.184994e-04	5.035999e-07	2.190030e-04
91	1.456000e+00	2.262609e-04	4.293332e-07	2.266902e-04
92	1.472000e+00	2.508361e-04	3.816630e-07	2.512177e-04
93	1.488000e+00	1.832406e-04	4.254649e-07	1.836661e-04
94	1.504000e+00	2.099976e-04	5.320878e-07	2.105297e-04
95	1.520000e+00	2.387662e-04	2.798136e-07	2.390460e-04
96	1.536000e+00	2.305770e-04	4.703555e-07	2.310474e-04
97	1.552000e+00	2.597986e-04	4.439504e-07	2.602426e-04
98	1.568000e+00	2.714768e-04	3.965194e-07	2.718733e-04
99	1.584000e+00	2.788550e-04	2.890673e-07	2.791441e-04
100	1.600000e+00	2.598863e-04	4.199897e-07	2.603063e-04
101	1.616000e+00	1.839843e-04	2.380738e-07	1.842223e-04
102	1.632000e+00	2.772708e-04	4.035758e-07	2.776744e-04
103	1.648000e+00	2.577033e-04	5.473479e-07	2.582506e-04
104	1.664000e+00	2.896800e-04	4.881308e-07	2.901681e-04
105	1.680000e+00	2.911122e-04	4.039640e-07	2.915162e-04
106	1.696000e+00	3.491118e-04	4.818869e-07	3.495937e-04
107	1.712000e+00	2.542734e-04	5.777732e-07	2.548512e-04
108	1.728000e+00	3.249965e-04	4.383535e-07	3.254349e-04
109	1.744000e+00	2.644282e-04	1.907971e-07	2.646190e-04
110	1.760000e+00	2.974611e-04	2.673997e-07	2.977285e-04
111	1.776000e+00	2.536503e-04	3.980750e-07	2.540484e-04
112	1.792000e+00	2.600108e-04	5.506263e-07	2.605615e-04
113	1.808000e+00	2.665060e-04	5.013900e-07	2.670074e-04
114	1.824000e+00	3.053269e-04	3.512248e-07	3.056782e-04
115	1.840000e+00	2.570526e-04	4.682919e-07	2.575209e-04
116	1.856000e+00	2.277561e-04	6.359239e-07	2.283921e-04
117	1.872000e+00	2.812415e-04	4.114584e-07	2.816530e-04
118	1.888000e+00	3.089449e-04	5.631229e-07	3.095080e-04
119	1.904000e+00	2.896037e-04	4.847444e-07	2.900884e-04
120	1.920000e+00	3.249219e-04	3.987460e-07	3.253207e-04
121	1.936000e+00	2.703473e-04	4.989465e-07	2.708463e-04
122	1.952000e+00	2.991155e-04	5.184196e-07	2.996339e-04
123	1.968000e+00	2.972426e-04	2.645684e-07	2.975072e-04
124	1.984000e+00	2.405900e-04	3.366769e-07	2.409266e-04
125	2.000000e+00	3.102284e-04	3.396650e-07	3.105681e-04
126	2.016000e+00	3.075146e-04	4.669781e-07	3.079815e-04
127	2.032000e+00	2.816110e-04	4.126832e-07	2.820237e-04
128	2.048000e+00	3.010016e-04	4.561054e-07	3.014577e-04
129	2.064000e+00	2.614988e-04	2.800620e-07	2.617788e-04
130	2.080000e+00	3.543143e-04	4.044472e-07	3.547188e-04
131	2.096000e+00	2.879037e-04	5.322494e-07	2.884360e-04
132	2.112000e+00	2.193202e-04	4.818674e-07	2.198021e-04
133	2.128000e+00	2.899595e-04	5.392885e-07	2.904988e-04
134	2.144000e+00	2.635468e-04	3.940544e-07	2.639409e-04
135	2.160000e+00	3.302530e-04	4.292859e-07	3.306822e-04
136	2.176000e+00	3.023721e-04	3.361730e-07	3.027082e-04
137	2.192000e+00	2.963866e-04	3.544091e-07	2.967410e-04
138	2.208000e+00	3.349248e-04	4.195695e-07	3.353444e-04
139	2.224000e+00	2.486661e-04	3.027069e-07	2.489688e-04
140	2.240000e+00	2.777230e-04	6.392738e-07	2.783622e-04
141	2.256000e+00	2.917892e-04	4.039016e-07	2.921931e-04
142	2.272000e+00	3.263613e-04	3.427633e-07	3.267040e-04
143	2.288000e+00	3.080916e-04	4.746646e-07	3.085663e-04
144	2.304000e+00	2.905599e-04	4.809730e-07	2.910408e-04
145	2.320000e+00	2.473681e-04	2.718815e-07	2.476400e-04
146	2.336000e+00	3.804175e-04	5.350321e-07	3.809526e-04
147	2.352000e+00	3.130495e-04	3.680705e-07	3.134176e-04
148	2.368000e+00	3.415570e-04	4.343422e-07	3.419914e-04
149	2.384000e+00	3.008808e-04	5.627920e-07	3.014436e-04
150	2.400000e+00	3.054617e-04	3.745883e-07	3.058363e-04
151	2.416000e+00	2.412914e-04	2.179090e-07	2.415093e-04
152	2.432000e+00	2.823110e-04	1.697517e-07	2.824808e-04
153	2.448000e+00	3.328066e-04	2.527085e-07	3.330593e-04
154	2.464000e+00	3.003631e-04	4.813739e-07	3.008445e-04
155	2.480000e+00	2.923841e-04	3.880651e-07	2.927721e-04
156	2.496000e+00	3.830924e-04	2.761015e-07	3.833685e-04
157	2.512000e+00	3.167952e-04	4.335335e-07	3.172287e-04
158	2.528000e+00	3.230858e-04	3.831180e-07	3.234690e-04
159	2.544000e+00	3.294293e-04	4.547845e-07	3.298841e-04
160	2.560000e+00	3.396372e-04	4.323479e-07	3.400695e-04
161	2.576000e+00	3.640330e-04	4.019031e-07	3.644349e-04
162	2.592000e+00	3.793842e-04	3.863015e-07	3.797705e-04
163	2.608000e+00	3.688058e-04	3.664972e-07	3.691723e-04
164	2.624000e+00	2.769168e-04	4.810435e-07	2.773979e-04
165	2.640000e+00	2.514522e-04	4.311444e-07	2.518833e-04
166	2.656000e+00	3.023378e-04	3.275228e-07	3.026653e-04
167	2.672000e+00	2.527291e-04	7.408919e-07	2.534700e-04
168	2.688000e+00	3.632736e-04	4.973625e-07	3.637709e-04
169	2.704000e+00	3.613648e-04	2.870949e-07	3.616519e-04
170	2.720000e+00	3.200156e-04	2.376775e-07	3.202533e-04
171	2.736000e+00	3.640816e-04	2.141166e-07	3.642957e-04
172	2.752000e+00	2.178599e-04	1.240370e-07	2.179840e-04
173	2.768000e+00	3.792692e-04	4.144166e-07	3.796836e-04
174	2.784000e+00	3.010555e-04	5.565929e-07	3.016121e-04
175	2.800000e+00	3.704747e-04	4.436395e-07	3.709184e-04
176	2.816000e+00	3.593677e-04	3.927543e-07	3.597604e-04
177	2.832000e+00	3.326568e-04	2.910444e-07	3.329479e-04
178	2.848000e+00	3.806085e-04	5.835485e-07	3.811921e-04
179	2.864000e+00	2.720297e-04	4.617421e-07	2.724914e-04
180	2.880000e+00	2.921404e-04	5.299598e-07	2.926704e-04
181	2.896000e+00	3.544505e-04	2.430690e-07	3.546935e-04
182	2.912000e+00	3.595496e-04	2.584015e-07	3.598080e-04
