# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	0.000000e+00	1.260579e-09	1.008633e-12	1.261588e-09
1	1.600000e-02	1.279466e-09	1.756879e-12	1.281223e-09
2	3.200000e-02	1.446390e-09	4.712840e-12	1.451103e-09
3	4.800000e-02	1.129777e-09	4.478162e-12	1.134255e-09
4	6.400000e-02	1.384076e-09	3.184742e-12	1.387261e-09
5	8.000000e-02	1.591087e-09	5.033391e-12	1.596121e-09
6	9.600000e-02	1.354766e-09	5.810461e-12	1.360576e-09
7	1.120000e-01	1.206768e-09	4.259227e-12	1.211027e-09
8	1.280000e-01	1.209815e-09	5.308700e-12	1.215123e-09
9	1.440000e-01	1.719490e-09	4.437191e-12	1.723928e-09
10	1.600000e-01	2.086877e-09	3.619800e-12	2.090497e-09
11	1.760000e-01	1.213261e-09	3.932659e-12	1.217193e-09
12	1.920000e-01	1.366963e-09	4.175382e-12	1.371138e-09
13	2.080000e-01	1.433712e-09	4.305151e-12	1.438017e-09
14	2.240000e-01	1.635623e-09	5.103578e-12	1.640727e-09
15	2.400000e-01	1.234346e-09	4.721569e-12	1.239068e-09
16	2.560000e-01	1.402117e-09	5.114455e-12	1.407231e-09
17	2.720000e-01	2.047173e-09	3.884237e-12	2.051057e-09
18	2.880000e-01	1.641780e-09	3.848057e-12	1.645628e-09
19	3.040000e-01	1.432333e-09	4.890859e-12	1.437224e-09
20	3.200000e-01	1.364949e-09	2.373494e-12	1.367323e-09
21	3.360000e-01	1.776388e-09	4.095209e-12	1.780483e-09
22	3.520000e-01	1.197067e-09	4.135944e-12	1.201203e-09
23	3.680000e-01	1.431032e-09	5.274695e-12	1.436307e-09
24	3.840000e-01	1.373483e-09	3.476233e-12	1.376959e-09
25	4.000000e-01	1.636135e-09	5.032264e-12	1.641167e-09
26	4.160000e-01	1.372856e-09	4.349429e-12	1.377205e-09
27	4.320000e-01	1.191600e-09	5.214285e-12	1.196814e-09
28	4.480000e-01	1.693957e-09	4.875040e-12	1.698832e-09
29	4.640000e-01	1.518660e-09	3.490374e-12	1.522150e-09
30	4.800000e-01	1.133751e-09	5.800849e-12	1.139552e-09
31	4.960000e-01	1.837678e-09	3.056913e-12	1.840735e-09
32	5.120000e-01	1.053616e-09	2.911460e-12	1.056528e-09
33	5.280000e-01	1.330648e-09	3.625544e-12	1.334273e-09
34	5.440000e-01	1.608031e-09	4.788906e-12	1.612820e-09
35	5.600000e-01	1.605489e-09	5.206178e-12	1.610695e-09
36	5.760000e-01	1.494282e-09	3.567008e-12	1.497849e-09
37	5.920000e-01	1.567388e-09	4.562179e-12	1.571950e-09
38	6.080000e-01	1.449781e-09	2.757353e-12	1.452538e-09
39	6.240000e-01	1.494058e-09	5.829360e-12	1.499888e-09
40	6.400000e-01	1.999439e-09	5.310197e-12	2.004749e-09
41	6.560000e-01	1.634214e-09	4.689863e-12	1.638904e-09
42	6.720000e-01	1.375261e-09	5.032345e-12	1.380293e-09
