# RPC induced signal at BottomGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	0.000000e+00	-2.956578e-04	-8.579176e-07	-2.965157e-04
1	1.600000e-02	-3.003667e-04	-1.314870e-06	-3.016816e-04
2	3.200000e-02	-2.924254e-04	-8.913484e-07	-2.933168e-04
3	4.800000e-02	-3.032604e-04	-8.872018e-07	-3.041476e-04
4	6.400000e-02	-3.334528e-04	-1.200163e-06	-3.346529e-04
5	8.000000e-02	-2.197365e-04	-1.010698e-06	-2.207472e-04
6	9.600000e-02	-2.595817e-04	-7.945661e-07	-2.603763e-04
7	1.120000e-01	-3.389456e-04	-1.152912e-06	-3.400985e-04
8	1.280000e-01	-2.396228e-04	-1.319615e-06	-2.409424e-04
9	1.440000e-01	-2.591692e-04	-9.209335e-07	-2.600902e-04
10	1.600000e-01	-3.619629e-04	-1.317594e-06	-3.632805e-04
11	1.760000e-01	-2.877277e-04	-8.003740e-07	-2.885281e-04
12	1.920000e-01	-3.205781e-04	-7.672269e-07	-3.213453e-04
13	2.080000e-01	-2.818591e-04	-1.023057e-06	-2.828821e-04
14	2.240000e-01	-2.971517e-04	-8.863082e-07	-2.980380e-04
15	2.400000e-01	-2.710690e-04	-9.134727e-07	-2.719825e-04
16	2.560000e-01	-3.119164e-04	-8.509594e-07	-3.127674e-04
17	2.720000e-01	-2.547993e-04	-1.106920e-06	-2.559062e-04
18	2.880000e-01	-3.170773e-04	-6.454466e-07	-3.177228e-04
19	3.040000e-01	-2.867627e-04	-9.391790e-07	-2.877019e-04
20	3.200000e-01	-2.905161e-04	-1.003476e-06	-2.915196e-04
21	3.360000e-01	-3.269965e-04	-1.078478e-06	-3.280750e-04
22	3.520000e-01	-2.744622e-04	-8.702123e-07	-2.753324e-04
23	3.680000e-01	-2.817215e-04	-1.015051e-06	-2.827366e-04
24	3.840000e-01	-1.998918e-04	-1.080127e-06	-2.009719e-04
25	4.000000e-01	-2.716463e-04	-8.446524e-07	-2.724909e-04
26	4.160000e-01	-3.310157e-04	-9.827027e-07	-3.319984e-04
27	4.320000e-01	-3.373846e-04	-8.904597e-07	-3.382751e-04
28	4.480000e-01	-2.754310e-04	-7.107644e-07	-2.761418e-04
29	4.640000e-01	-3.533192e-04	-9.775834e-07	-3.542968e-04
