# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	0.000000e+00	-2.784787e-09	-8.127822e-12	-2.792915e-09
1	1.600000e-02	-2.854257e-09	-1.245218e-11	-2.866709e-09
2	3.200000e-02	-2.779153e-09	-8.466367e-12	-2.787619e-09
3	4.800000e-02	-2.854551e-09	-8.264402e-12	-2.862816e-09
4	6.400000e-02	-3.143064e-09	-1.132066e-11	-3.154385e-09
5	8.000000e-02	-2.083713e-09	-9.464577e-12	-2.093178e-09
6	9.600000e-02	-2.452962e-09	-7.587006e-12	-2.460549e-09
7	1.120000e-01	-3.195861e-09	-1.095545e-11	-3.206817e-09
8	1.280000e-01	-2.269595e-09	-1.234713e-11	-2.281943e-09
9	1.440000e-01	-2.450528e-09	-8.794294e-12	-2.459322e-09
10	1.600000e-01	-3.422110e-09	-1.252377e-11	-3.434634e-09
11	1.760000e-01	-2.707992e-09	-7.518962e-12	-2.715511e-09
12	1.920000e-01	-3.014011e-09	-7.392413e-12	-3.021404e-09
13	2.080000e-01	-2.666811e-09	-9.562688e-12	-2.676373e-09
14	2.240000e-01	-2.804557e-09	-8.416952e-12	-2.812974e-09
15	2.400000e-01	-2.578550e-09	-8.658139e-12	-2.587208e-09
16	2.560000e-01	-2.953377e-09	-7.883219e-12	-2.961260e-09
17	2.720000e-01	-2.389079e-09	-1.037350e-11	-2.399452e-09
18	2.880000e-01	-2.993794e-09	-6.174168e-12	-2.999968e-09
19	3.040000e-01	-2.705183e-09	-8.806478e-12	-2.713989e-09
20	3.200000e-01	-2.735741e-09	-9.383624e-12	-2.745124e-09
21	3.360000e-01	-3.082970e-09	-1.025007e-11	-3.093220e-09
22	3.520000e-01	-2.578076e-09	-8.155276e-12	-2.586232e-09
23	3.680000e-01	-2.664898e-09	-9.498410e-12	-2.674396e-09
24	3.840000e-01	-1.881416e-09	-1.026235e-11	-1.891679e-09
25	4.000000e-01	-2.557956e-09	-7.879904e-12	-2.565836e-09
26	4.160000e-01	-3.119364e-09	-9.208412e-12	-3.128572e-09
27	4.320000e-01	-3.177825e-09	-8.171574e-12	-3.185996e-09
28	4.480000e-01	-2.591772e-09	-6.804152e-12	-2.598576e-09
29	4.640000e-01	-3.317997e-09	-9.210367e-12	-3.327208e-09
30	4.800000e-01	-3.138016e-09	-4.803406e-12	-3.142820e-09
31	4.960000e-01	-3.078231e-09	-8.700536e-12	-3.086931e-09
32	5.120000e-01	-2.851472e-09	-1.002811e-11	-2.861501e-09
33	5.280000e-01	-2.629144e-09	-7.600494e-12	-2.636744e-09
34	5.440000e-01	-3.027667e-09	-1.113114e-11	-3.038798e-09
35	5.600000e-01	-3.382740e-09	-1.094402e-11	-3.393684e-09
36	5.760000e-01	-2.776746e-09	-9.439776e-12	-2.786186e-09
37	5.920000e-01	-2.532606e-09	-1.068852e-11	-2.543294e-09
38	6.080000e-01	-3.187694e-09	-9.464404e-12	-3.197158e-09
39	6.240000e-01	-3.486086e-09	-8.960775e-12	-3.495046e-09
40	6.400000e-01	-2.662283e-09	-1.003263e-11	-2.672316e-09
41	6.560000e-01	-3.719830e-09	-8.795558e-12	-3.728625e-09
42	6.720000e-01	-2.790841e-09	-9.924333e-12	-2.800765e-09
43	6.880000e-01	-3.351491e-09	-1.010428e-11	-3.361595e-09
44	7.040000e-01	-2.823396e-09	-7.401448e-12	-2.830797e-09
45	7.200000e-01	-3.576840e-09	-6.356249e-12	-3.583196e-09
46	7.360000e-01	-2.855573e-09	-6.587662e-12	-2.862161e-09
47	7.520000e-01	-3.094491e-09	-7.771910e-12	-3.102263e-09
48	7.680000e-01	-2.999884e-09	-8.091679e-12	-3.007976e-09
49	7.840000e-01	-2.593162e-09	-7.350387e-12	-2.600512e-09
