# RPC induced signal at TopGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	0.000000e+00	2.956577e-04	8.579176e-07	2.965156e-04
1	1.600000e-02	3.003667e-04	1.314869e-06	3.016816e-04
2	3.200000e-02	2.924254e-04	8.913483e-07	2.933167e-04
3	4.800000e-02	3.032604e-04	8.872016e-07	3.041476e-04
4	6.400000e-02	3.334527e-04	1.200163e-06	3.346529e-04
5	8.000000e-02	2.197364e-04	1.010698e-06	2.207471e-04
6	9.600000e-02	2.595817e-04	7.945659e-07	2.603762e-04
7	1.120000e-01	3.389455e-04	1.152911e-06	3.400985e-04
8	1.280000e-01	2.396228e-04	1.319614e-06	2.409424e-04
9	1.440000e-01	2.591692e-04	9.209334e-07	2.600901e-04
10	1.600000e-01	3.619629e-04	1.317594e-06	3.632805e-04
11	1.760000e-01	2.877277e-04	8.003740e-07	2.885280e-04
12	1.920000e-01	3.205780e-04	7.672268e-07	3.213452e-04
13	2.080000e-01	2.818590e-04	1.023057e-06	2.828821e-04
14	2.240000e-01	2.971516e-04	8.863082e-07	2.980379e-04
15	2.400000e-01	2.710690e-04	9.134725e-07	2.719825e-04
16	2.560000e-01	3.119164e-04	8.509590e-07	3.127674e-04
17	2.720000e-01	2.547992e-04	1.106919e-06	2.559061e-04
18	2.880000e-01	3.170773e-04	6.454465e-07	3.177227e-04
19	3.040000e-01	2.867626e-04	9.391785e-07	2.877018e-04
20	3.200000e-01	2.905161e-04	1.003476e-06	2.915195e-04
21	3.360000e-01	3.269965e-04	1.078478e-06	3.280749e-04
22	3.520000e-01	2.744621e-04	8.702122e-07	2.753324e-04
23	3.680000e-01	2.817215e-04	1.015050e-06	2.827365e-04
24	3.840000e-01	1.998917e-04	1.080127e-06	2.009719e-04
25	4.000000e-01	2.716462e-04	8.446523e-07	2.724909e-04
26	4.160000e-01	3.310156e-04	9.827022e-07	3.319983e-04
27	4.320000e-01	3.373845e-04	8.904593e-07	3.382750e-04
28	4.480000e-01	2.754309e-04	7.107643e-07	2.761417e-04
29	4.640000e-01	3.533191e-04	9.775833e-07	3.542967e-04
30	4.800000e-01	3.321729e-04	5.087522e-07	3.326817e-04
31	4.960000e-01	3.272885e-04	9.276928e-07	3.282162e-04
32	5.120000e-01	3.034383e-04	1.060026e-06	3.044983e-04
33	5.280000e-01	2.784112e-04	7.895135e-07	2.792007e-04
34	5.440000e-01	3.219281e-04	1.186973e-06	3.231151e-04
35	5.600000e-01	3.587490e-04	1.152852e-06	3.599018e-04
36	5.760000e-01	2.946946e-04	9.918398e-07	2.956864e-04
37	5.920000e-01	2.695099e-04	1.160663e-06	2.706706e-04
38	6.080000e-01	3.373546e-04	1.001278e-06	3.383559e-04
39	6.240000e-01	3.691830e-04	9.429434e-07	3.701259e-04
40	6.400000e-01	2.817750e-04	1.068689e-06	2.828437e-04
41	6.560000e-01	3.940710e-04	9.441444e-07	3.950151e-04
42	6.720000e-01	2.962071e-04	1.044921e-06	2.972520e-04
43	6.880000e-01	3.544923e-04	1.056934e-06	3.555492e-04
44	7.040000e-01	2.990465e-04	7.876950e-07	2.998342e-04
45	7.200000e-01	3.786055e-04	6.784879e-07	3.792840e-04
46	7.360000e-01	3.029579e-04	7.007008e-07	3.036586e-04
47	7.520000e-01	3.275580e-04	8.259512e-07	3.283839e-04
48	7.680000e-01	3.183615e-04	8.562647e-07	3.192178e-04
49	7.840000e-01	2.741984e-04	7.779084e-07	2.749763e-04
50	8.000000e-01	3.439542e-04	8.948543e-07	3.448491e-04
51	8.160000e-01	3.134158e-04	6.402535e-07	3.140561e-04
52	8.320000e-01	3.708384e-04	7.090043e-07	3.715474e-04
53	8.480000e-01	2.861350e-04	6.495024e-07	2.867845e-04
54	8.640000e-01	3.031591e-04	6.977379e-07	3.038568e-04
55	8.800000e-01	2.638090e-04	9.444424e-07	2.647534e-04
56	8.960000e-01	3.865633e-04	1.001869e-06	3.875652e-04
57	9.120000e-01	2.956506e-04	9.359029e-07	2.965865e-04
58	9.280000e-01	3.274740e-04	7.603834e-07	3.282344e-04
59	9.440000e-01	3.443652e-04	8.089910e-07	3.451742e-04
60	9.600000e-01	3.560149e-04	9.597122e-07	3.569746e-04
61	9.760000e-01	2.242782e-04	1.048991e-06	2.253272e-04
62	9.920000e-01	4.033496e-04	1.074439e-06	4.044240e-04
63	1.008000e+00	3.436994e-04	9.371680e-07	3.446366e-04
64	1.024000e+00	3.355202e-04	8.679301e-07	3.363881e-04
65	1.040000e+00	2.289138e-04	7.911521e-07	2.297049e-04
66	1.056000e+00	4.330898e-04	6.754273e-07	4.337652e-04
67	1.072000e+00	3.848173e-04	8.775672e-07	3.856949e-04
68	1.088000e+00	3.872812e-04	6.808385e-07	3.879620e-04
69	1.104000e+00	4.046762e-04	8.231980e-07	4.054994e-04
70	1.120000e+00	3.482622e-04	6.500151e-07	3.489123e-04
71	1.136000e+00	3.417584e-04	1.033404e-06	3.427918e-04
72	1.152000e+00	3.466506e-04	9.432564e-07	3.475938e-04
73	1.168000e+00	3.540448e-04	1.166473e-06	3.552113e-04
74	1.184000e+00	3.658775e-04	9.293841e-07	3.668069e-04
75	1.200000e+00	3.975506e-04	9.957509e-07	3.985464e-04
76	1.216000e+00	3.336633e-04	1.093562e-06	3.347568e-04
77	1.232000e+00	2.908131e-04	1.228028e-06	2.920412e-04
78	1.248000e+00	4.278194e-04	9.583031e-07	4.287777e-04
79	1.264000e+00	3.457957e-04	1.114294e-06	3.469099e-04
80	1.280000e+00	3.487226e-04	1.039744e-06	3.497623e-04
81	1.296000e+00	2.794087e-04	7.581160e-07	2.801668e-04
82	1.312000e+00	3.134105e-04	7.447838e-07	3.141553e-04
83	1.328000e+00	3.630389e-04	1.116142e-06	3.641550e-04
84	1.344000e+00	3.610338e-04	1.100502e-06	3.621343e-04
85	1.360000e+00	3.618572e-04	7.019066e-07	3.625591e-04
86	1.376000e+00	3.825538e-04	9.194953e-07	3.834733e-04
87	1.392000e+00	3.784841e-04	7.646564e-07	3.792487e-04
88	1.408000e+00	4.458536e-04	9.218416e-07	4.467754e-04
89	1.424000e+00	3.941695e-04	1.006380e-06	3.951759e-04
90	1.440000e+00	4.198388e-04	7.388650e-07	4.205776e-04
91	1.456000e+00	4.303650e-04	4.990663e-07	4.308641e-04
92	1.472000e+00	3.658088e-04	8.109381e-07	3.666198e-04
93	1.488000e+00	3.751124e-04	9.339242e-07	3.760463e-04
94	1.504000e+00	3.162781e-04	4.986960e-07	3.167768e-04
95	1.520000e+00	3.112196e-04	5.922231e-07	3.118119e-04
96	1.536000e+00	4.234714e-04	7.118355e-07	4.241833e-04
97	1.552000e+00	3.201444e-04	9.149094e-07	3.210593e-04
98	1.568000e+00	3.723740e-04	1.028193e-06	3.734022e-04
99	1.584000e+00	5.018450e-04	8.758791e-07	5.027209e-04
100	1.600000e+00	3.523565e-04	9.951434e-07	3.533517e-04
101	1.616000e+00	4.843765e-04	1.000277e-06	4.853768e-04
102	1.632000e+00	4.027602e-04	7.716546e-07	4.035319e-04
103	1.648000e+00	4.025604e-04	8.130926e-07	4.033734e-04
104	1.664000e+00	4.354288e-04	5.498543e-07	4.359787e-04
105	1.680000e+00	3.778386e-04	8.077739e-07	3.786463e-04
106	1.696000e+00	4.589694e-04	4.616030e-07	4.594310e-04
107	1.712000e+00	4.112324e-04	1.026087e-06	4.122585e-04
108	1.728000e+00	3.894205e-04	8.941135e-07	3.903146e-04
109	1.744000e+00	4.602179e-04	8.893387e-07	4.611073e-04
110	1.760000e+00	3.933144e-04	1.007052e-06	3.943215e-04
111	1.776000e+00	4.620976e-04	1.084777e-06	4.631824e-04
112	1.792000e+00	4.575121e-04	6.905399e-07	4.582026e-04
113	1.808000e+00	3.987826e-04	2.555055e-07	3.990381e-04
114	1.824000e+00	4.955754e-04	8.847897e-07	4.964602e-04
115	1.840000e+00	4.769976e-04	7.642354e-07	4.777618e-04
116	1.856000e+00	4.250361e-04	7.546007e-07	4.257907e-04
117	1.872000e+00	4.381573e-04	7.365796e-07	4.388939e-04
118	1.888000e+00	4.782998e-04	8.509389e-07	4.791508e-04
119	1.904000e+00	4.105375e-04	9.799597e-07	4.115175e-04
120	1.920000e+00	3.910309e-04	7.531534e-07	3.917841e-04
121	1.936000e+00	5.103249e-04	8.475037e-07	5.111724e-04
122	1.952000e+00	4.257671e-04	9.297430e-07	4.266969e-04
123	1.968000e+00	4.958361e-04	9.751434e-07	4.968113e-04
124	1.984000e+00	4.469792e-04	1.248040e-06	4.482272e-04
125	2.000000e+00	4.725211e-04	8.618947e-07	4.733830e-04
126	2.016000e+00	4.225276e-04	1.303015e-06	4.238306e-04
127	2.032000e+00	4.528182e-04	1.222149e-06	4.540403e-04
