# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	0.000000e+00	2.848708e-09	8.188546e-12	2.856896e-09
1	1.600000e-02	2.878124e-09	1.278600e-11	2.890910e-09
2	3.200000e-02	2.793821e-09	8.417391e-12	2.802238e-09
3	4.800000e-02	2.923126e-09	8.544088e-12	2.931670e-09
4	6.400000e-02	3.205704e-09	1.151960e-11	3.217224e-09
5	8.000000e-02	2.107183e-09	9.736672e-12	2.116920e-09
6	9.600000e-02	2.492770e-09	7.702375e-12	2.500473e-09
7	1.120000e-01	3.266496e-09	1.116507e-11	3.277661e-09
8	1.280000e-01	2.298607e-09	1.257327e-11	2.311180e-09
9	1.440000e-01	2.490549e-09	8.931135e-12	2.499480e-09
10	1.600000e-01	3.478642e-09	1.258610e-11	3.491228e-09
11	1.760000e-01	2.781739e-09	7.600016e-12	2.789339e-09
12	1.920000e-01	3.101647e-09	7.434200e-12	3.109081e-09
13	2.080000e-01	2.703759e-09	9.905175e-12	2.713664e-09
14	2.240000e-01	2.860261e-09	8.408454e-12	2.868669e-09
15	2.400000e-01	2.583476e-09	8.808588e-12	2.592284e-09
16	2.560000e-01	2.992628e-09	8.272570e-12	3.000900e-09
17	2.720000e-01	2.468628e-09	1.071375e-11	2.479342e-09
18	2.880000e-01	3.048805e-09	6.163733e-12	3.054969e-09
19	3.040000e-01	2.765340e-09	9.123346e-12	2.774464e-09
20	3.200000e-01	2.801048e-09	9.705921e-12	2.810754e-09
21	3.360000e-01	3.144853e-09	1.036515e-11	3.155218e-09
22	3.520000e-01	2.653260e-09	8.413363e-12	2.661673e-09
23	3.680000e-01	2.702995e-09	9.743067e-12	2.712738e-09
24	3.840000e-01	1.927728e-09	1.048059e-11	1.938208e-09
25	4.000000e-01	2.618932e-09	8.010506e-12	2.626942e-09
26	4.160000e-01	3.193333e-09	9.573490e-12	3.202907e-09
27	4.320000e-01	3.259360e-09	8.685400e-12	3.268045e-09
