# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.600000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2	3.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3	4.800000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4	6.400000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6	9.600000e-02	0.000000e+00	0.000000e+00	0.000000e+00
7	1.120000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8	1.280000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9	1.440000e-01	0.000000e+00	0.000000e+00	0.000000e+00
10	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
11	1.760000e-01	0.000000e+00	0.000000e+00	0.000000e+00
12	1.920000e-01	0.000000e+00	0.000000e+00	0.000000e+00
13	2.080000e-01	0.000000e+00	0.000000e+00	0.000000e+00
14	2.240000e-01	0.000000e+00	0.000000e+00	0.000000e+00
15	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
16	2.560000e-01	0.000000e+00	0.000000e+00	0.000000e+00
17	2.720000e-01	0.000000e+00	0.000000e+00	0.000000e+00
18	2.880000e-01	0.000000e+00	0.000000e+00	0.000000e+00
19	3.040000e-01	0.000000e+00	0.000000e+00	0.000000e+00
20	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
21	3.360000e-01	0.000000e+00	0.000000e+00	0.000000e+00
22	3.520000e-01	0.000000e+00	0.000000e+00	0.000000e+00
23	3.680000e-01	0.000000e+00	0.000000e+00	0.000000e+00
24	3.840000e-01	0.000000e+00	0.000000e+00	0.000000e+00
25	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
26	4.160000e-01	0.000000e+00	0.000000e+00	0.000000e+00
27	4.320000e-01	0.000000e+00	0.000000e+00	0.000000e+00
28	4.480000e-01	0.000000e+00	0.000000e+00	0.000000e+00
29	4.640000e-01	0.000000e+00	0.000000e+00	0.000000e+00
30	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
31	4.960000e-01	0.000000e+00	0.000000e+00	0.000000e+00
32	5.120000e-01	0.000000e+00	0.000000e+00	0.000000e+00
33	5.280000e-01	0.000000e+00	0.000000e+00	0.000000e+00
34	5.440000e-01	0.000000e+00	0.000000e+00	0.000000e+00
35	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
36	5.760000e-01	0.000000e+00	0.000000e+00	0.000000e+00
37	5.920000e-01	0.000000e+00	0.000000e+00	0.000000e+00
38	6.080000e-01	0.000000e+00	0.000000e+00	0.000000e+00
39	6.240000e-01	0.000000e+00	0.000000e+00	0.000000e+00
40	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
41	6.560000e-01	0.000000e+00	0.000000e+00	0.000000e+00
42	6.720000e-01	0.000000e+00	0.000000e+00	0.000000e+00
43	6.880000e-01	0.000000e+00	0.000000e+00	0.000000e+00
44	7.040000e-01	0.000000e+00	0.000000e+00	0.000000e+00
45	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
46	7.360000e-01	0.000000e+00	0.000000e+00	0.000000e+00
47	7.520000e-01	0.000000e+00	0.000000e+00	0.000000e+00
48	7.680000e-01	0.000000e+00	0.000000e+00	0.000000e+00
49	7.840000e-01	0.000000e+00	0.000000e+00	0.000000e+00
50	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
51	8.160000e-01	0.000000e+00	0.000000e+00	0.000000e+00
52	8.320000e-01	0.000000e+00	0.000000e+00	0.000000e+00
53	8.480000e-01	0.000000e+00	0.000000e+00	0.000000e+00
54	8.640000e-01	0.000000e+00	0.000000e+00	0.000000e+00
55	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
56	8.960000e-01	0.000000e+00	0.000000e+00	0.000000e+00
57	9.120000e-01	0.000000e+00	0.000000e+00	0.000000e+00
58	9.280000e-01	0.000000e+00	0.000000e+00	0.000000e+00
59	9.440000e-01	0.000000e+00	0.000000e+00	0.000000e+00
60	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
61	9.760000e-01	0.000000e+00	0.000000e+00	0.000000e+00
62	9.920000e-01	0.000000e+00	0.000000e+00	0.000000e+00
63	1.008000e+00	0.000000e+00	0.000000e+00	0.000000e+00
64	1.024000e+00	0.000000e+00	0.000000e+00	0.000000e+00
65	1.040000e+00	0.000000e+00	0.000000e+00	0.000000e+00
66	1.056000e+00	0.000000e+00	0.000000e+00	0.000000e+00
67	1.072000e+00	0.000000e+00	0.000000e+00	0.000000e+00
68	1.088000e+00	0.000000e+00	0.000000e+00	0.000000e+00
69	1.104000e+00	0.000000e+00	0.000000e+00	0.000000e+00
70	1.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
71	1.136000e+00	0.000000e+00	0.000000e+00	0.000000e+00
72	1.152000e+00	0.000000e+00	0.000000e+00	0.000000e+00
73	1.168000e+00	0.000000e+00	0.000000e+00	0.000000e+00
74	1.184000e+00	0.000000e+00	0.000000e+00	0.000000e+00
75	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
76	1.216000e+00	0.000000e+00	0.000000e+00	0.000000e+00
77	1.232000e+00	0.000000e+00	0.000000e+00	0.000000e+00
