The induced signal.
Time [ns],Total Prompt [fC/ns],Total Delayed [fC/ns], Total Signal [fC/ns]
0,-nan,-nan,-nan
0.01600000000000000033,-nan,-nan,-nan
0.03200000000000000067,-nan,-nan,-nan
0.048000000000000001,-nan,-nan,-nan
0.06400000000000000133,-nan,-nan,-nan
0.08000000000000000167,-nan,-nan,-nan
0.096000000000000002,-nan,-nan,-nan
0.1120000000000000023,-nan,-nan,-nan
0.1280000000000000027,-nan,-nan,-nan
0.1440000000000000169,-nan,-nan,-nan
0.1600000000000000033,-nan,-nan,-nan
0.1759999999999999898,-nan,-nan,-nan
0.192000000000000004,-nan,-nan,-nan
0.2080000000000000182,-nan,-nan,-nan
0.2240000000000000047,-nan,-nan,-nan
0.2399999999999999911,-nan,-nan,-nan
0.2560000000000000053,-nan,-nan,-nan
0.2720000000000000195,-nan,-nan,-nan
0.2880000000000000338,-nan,-nan,-nan
0.3039999999999999925,-nan,-nan,-nan
0.3200000000000000067,-nan,-nan,-nan
0.3360000000000000209,-nan,-nan,-nan
0.3519999999999999796,-nan,-nan,-nan
0.3679999999999999938,-nan,-nan,-nan
0.384000000000000008,-nan,-nan,-nan
0.4000000000000000222,-nan,-nan,-nan
0.4160000000000000364,-nan,-nan,-nan
0.4319999999999999951,-nan,-nan,-nan
0.4480000000000000093,-nan,-nan,-nan
0.4640000000000000235,-nan,-nan,-nan
0.4799999999999999822,-nan,-nan,-nan
0.4959999999999999964,-nan,-nan,-nan
0.5120000000000000107,-nan,-nan,-nan
0.5280000000000000249,-nan,-nan,-nan
0.5440000000000000391,-nan,-nan,-nan
0.5600000000000000533,-nan,-nan,-nan
0.5760000000000000675,-nan,-nan,-nan
0.5919999999999999707,-nan,-nan,-nan
0.6079999999999999849,-nan,-nan,-nan
0.6239999999999999991,-nan,-nan,-nan
0.6400000000000000133,-nan,-nan,-nan
0.6560000000000000275,-nan,-nan,-nan
0.6720000000000000417,-nan,-nan,-nan
0.688000000000000056,-nan,-nan,-nan
0.7039999999999999591,-nan,-nan,-nan
0.7199999999999999734,-nan,-nan,-nan
0.7359999999999999876,-nan,-nan,-nan
0.7520000000000000018,-nan,-nan,-nan
0.768000000000000016,-nan,-nan,-nan
0.7840000000000000302,-nan,-nan,-nan
0.8000000000000000444,-nan,-nan,-nan
0.8160000000000000586,-nan,-nan,-nan
0.8320000000000000728,-nan,-nan,-nan
0.847999999999999976,-nan,-nan,-nan
0.8639999999999999902,-nan,-nan,-nan
0.8800000000000000044,-nan,-nan,-nan
0.8960000000000000187,-nan,-nan,-nan
0.9120000000000000329,-nan,-nan,-nan
0.9280000000000000471,-nan,-nan,-nan
0.9440000000000000613,-nan,-nan,-nan
0.9599999999999999645,-nan,-nan,-nan
0.9759999999999999787,-nan,-nan,-nan
0.9919999999999999929,-nan,-nan,-nan
1.008000000000000007,-nan,-nan,-nan
1.024000000000000021,-nan,-nan,-nan
