# RPC induced signal at BottomGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	0.000000e+00	-1.491508e-04	-3.043033e-07	-1.494551e-04
1	1.600000e-02	-1.270088e-04	-5.777588e-07	-1.275866e-04
2	3.200000e-02	-1.168423e-04	-5.119524e-07	-1.173543e-04
3	4.800000e-02	-1.331758e-04	-5.470032e-07	-1.337228e-04
4	6.400000e-02	-1.130270e-04	-4.314773e-07	-1.134585e-04
5	8.000000e-02	-1.145014e-04	-3.287028e-07	-1.148301e-04
6	9.600000e-02	-1.145155e-04	-2.441757e-07	-1.147596e-04
7	1.120000e-01	-1.204796e-04	-1.430201e-07	-1.206226e-04
8	1.280000e-01	-1.217857e-04	-6.455582e-08	-1.218503e-04
9	1.440000e-01	-7.555930e-05	-2.849867e-07	-7.584429e-05
10	1.600000e-01	-1.258135e-04	-5.405370e-07	-1.263541e-04
11	1.760000e-01	-1.538286e-04	-3.092158e-07	-1.541379e-04
12	1.920000e-01	-1.310155e-04	-3.462540e-07	-1.313617e-04
13	2.080000e-01	-1.582226e-04	-4.498846e-07	-1.586725e-04
14	2.240000e-01	-7.288893e-05	-3.998983e-07	-7.328883e-05
15	2.400000e-01	-9.873176e-05	-2.044293e-07	-9.893619e-05
16	2.560000e-01	-1.526727e-04	-4.003939e-07	-1.530731e-04
17	2.720000e-01	-1.397851e-04	-4.919563e-07	-1.402771e-04
18	2.880000e-01	-1.417341e-04	-6.295914e-07	-1.423637e-04
19	3.040000e-01	-1.339810e-04	-3.690620e-07	-1.343501e-04
20	3.200000e-01	-1.498458e-04	-5.247272e-07	-1.503705e-04
21	3.360000e-01	-9.901883e-05	-4.126981e-07	-9.943153e-05
22	3.520000e-01	-1.774628e-04	-2.680983e-07	-1.777309e-04
23	3.680000e-01	-1.395215e-04	-4.011863e-07	-1.399227e-04
24	3.840000e-01	-1.264922e-04	-3.992794e-07	-1.268915e-04
25	4.000000e-01	-1.513091e-04	-2.568760e-07	-1.515660e-04
26	4.160000e-01	-1.342916e-04	-3.805087e-07	-1.346721e-04
27	4.320000e-01	-1.462633e-04	-5.762522e-07	-1.468396e-04
28	4.480000e-01	-1.053803e-04	-5.794485e-07	-1.059597e-04
29	4.640000e-01	-1.108851e-04	-1.054517e-06	-1.119397e-04
30	4.800000e-01	-1.344963e-04	-8.556966e-07	-1.353520e-04
31	4.960000e-01	-1.657554e-04	-6.748713e-07	-1.664302e-04
32	5.120000e-01	-1.427197e-04	-7.483095e-07	-1.434681e-04
33	5.280000e-01	-1.501604e-04	-8.612794e-07	-1.510217e-04
34	5.440000e-01	-1.388951e-04	-1.051452e-06	-1.399465e-04
35	5.600000e-01	-1.712005e-04	-1.213380e-06	-1.724139e-04
36	5.760000e-01	-1.193401e-04	-1.073882e-06	-1.204140e-04
37	5.920000e-01	-1.154475e-04	-1.029624e-06	-1.164771e-04
38	6.080000e-01	-9.693013e-05	-1.274477e-06	-9.820461e-05
39	6.240000e-01	-1.261725e-04	-1.227616e-06	-1.274001e-04
40	6.400000e-01	-1.363388e-04	-9.933132e-07	-1.373321e-04
41	6.560000e-01	-9.960781e-05	-1.074132e-06	-1.006819e-04
42	6.720000e-01	-1.311038e-04	-1.204462e-06	-1.323082e-04
43	6.880000e-01	-1.443913e-04	-1.113602e-06	-1.455049e-04
44	7.040000e-01	-1.686580e-04	-1.090610e-06	-1.697487e-04
45	7.200000e-01	-1.521265e-04	-1.066022e-06	-1.531925e-04
46	7.360000e-01	-1.526847e-04	-1.671718e-06	-1.543564e-04
47	7.520000e-01	-1.392575e-04	-1.372187e-06	-1.406297e-04
48	7.680000e-01	-1.242499e-04	-1.199688e-06	-1.254496e-04
49	7.840000e-01	-1.500347e-04	-1.387905e-06	-1.514226e-04
50	8.000000e-01	-1.543707e-04	-1.260114e-06	-1.556308e-04
51	8.160000e-01	-7.201651e-05	-1.453231e-06	-7.346974e-05
52	8.320000e-01	-1.386593e-04	-1.124812e-06	-1.397841e-04
53	8.480000e-01	-8.789619e-05	-1.111246e-06	-8.900744e-05
54	8.640000e-01	-1.319811e-04	-8.072121e-07	-1.327883e-04
55	8.800000e-01	-1.509333e-04	-9.896762e-07	-1.519229e-04
56	8.960000e-01	-1.304932e-04	-1.499706e-06	-1.319930e-04
57	9.120000e-01	-1.803380e-04	-1.582880e-06	-1.819209e-04
58	9.280000e-01	-1.828708e-04	-1.195464e-06	-1.840662e-04
59	9.440000e-01	-1.503977e-04	-9.212876e-07	-1.513190e-04
60	9.600000e-01	-1.350128e-04	-1.133835e-06	-1.361466e-04
61	9.760000e-01	-1.217063e-04	-1.367435e-06	-1.230737e-04
62	9.920000e-01	-1.368911e-04	-1.047760e-06	-1.379388e-04
63	1.008000e+00	-1.088579e-04	-1.407869e-06	-1.102658e-04
64	1.024000e+00	-1.356864e-04	-1.109870e-06	-1.367963e-04
65	1.040000e+00	-1.283408e-04	-1.677631e-06	-1.300184e-04
66	1.056000e+00	-1.301115e-04	-2.216930e-06	-1.323285e-04
67	1.072000e+00	-1.568098e-04	-2.323989e-06	-1.591338e-04
68	1.088000e+00	-1.457634e-04	-2.157139e-06	-1.479205e-04
69	1.104000e+00	-1.317921e-04	-2.029145e-06	-1.338212e-04
70	1.120000e+00	-1.294735e-04	-1.844932e-06	-1.313184e-04
71	1.136000e+00	-1.345691e-04	-1.737281e-06	-1.363063e-04
72	1.152000e+00	-1.047927e-04	-1.728598e-06	-1.065213e-04
73	1.168000e+00	-1.198078e-04	-1.950230e-06	-1.217580e-04
74	1.184000e+00	-1.191294e-04	-1.930376e-06	-1.210598e-04
75	1.200000e+00	-1.354178e-04	-1.875595e-06	-1.372934e-04
76	1.216000e+00	-1.120381e-04	-1.720074e-06	-1.137581e-04
77	1.232000e+00	-1.330626e-04	-2.483575e-06	-1.355462e-04
78	1.248000e+00	-1.233289e-04	-2.551962e-06	-1.258809e-04
79	1.264000e+00	-1.288188e-04	-2.824592e-06	-1.316434e-04
80	1.280000e+00	-1.237864e-04	-2.694182e-06	-1.264806e-04
81	1.296000e+00	-1.270577e-04	-2.445880e-06	-1.295036e-04
82	1.312000e+00	-1.519785e-04	-3.030014e-06	-1.550085e-04
83	1.328000e+00	-1.488158e-04	-4.179570e-06	-1.529954e-04
84	1.344000e+00	-1.627677e-04	-4.335811e-06	-1.671035e-04
85	1.360000e+00	-1.608505e-04	-5.030819e-06	-1.658813e-04
86	1.376000e+00	-1.626723e-04	-4.430220e-06	-1.671025e-04
87	1.392000e+00	-2.111910e-04	-4.100474e-06	-2.152915e-04
88	1.408000e+00	-1.663870e-04	-4.720563e-06	-1.711076e-04
89	1.424000e+00	-1.414566e-04	-4.766212e-06	-1.462228e-04
90	1.440000e+00	-1.338890e-04	-4.450941e-06	-1.383400e-04
91	1.456000e+00	-1.180576e-04	-4.701159e-06	-1.227587e-04
92	1.472000e+00	-1.424865e-04	-4.599563e-06	-1.470860e-04
93	1.488000e+00	-1.271887e-04	-4.569619e-06	-1.317583e-04
94	1.504000e+00	-1.646332e-04	-4.499186e-06	-1.691324e-04
95	1.520000e+00	-1.444304e-04	-4.260831e-06	-1.486913e-04
96	1.536000e+00	-1.886877e-04	-4.591622e-06	-1.932793e-04
97	1.552000e+00	-1.127043e-04	-4.218679e-06	-1.169229e-04
98	1.568000e+00	-1.370778e-04	-3.782134e-06	-1.408599e-04
99	1.584000e+00	-1.412255e-04	-4.185014e-06	-1.454106e-04
100	1.600000e+00	-9.954752e-05	-4.236298e-06	-1.037838e-04
101	1.616000e+00	-1.383048e-04	-4.930639e-06	-1.432354e-04
102	1.632000e+00	-1.890227e-04	-4.755119e-06	-1.937779e-04
103	1.648000e+00	-1.198391e-04	-4.704729e-06	-1.245438e-04
104	1.664000e+00	-1.727107e-04	-5.119457e-06	-1.778302e-04
105	1.680000e+00	-8.270103e-05	-4.626395e-06	-8.732743e-05
106	1.696000e+00	-1.030229e-04	-4.297428e-06	-1.073203e-04
107	1.712000e+00	-1.444181e-04	-4.833032e-06	-1.492511e-04
108	1.728000e+00	-1.380780e-04	-5.009911e-06	-1.430879e-04
109	1.744000e+00	-9.764692e-05	-4.902815e-06	-1.025497e-04
110	1.760000e+00	-1.085466e-04	-4.899888e-06	-1.134465e-04
111	1.776000e+00	-1.681521e-04	-4.766304e-06	-1.729184e-04
112	1.792000e+00	-1.216607e-04	-4.341464e-06	-1.260022e-04
113	1.808000e+00	-1.400186e-04	-4.910917e-06	-1.449295e-04
114	1.824000e+00	-1.230578e-04	-4.716757e-06	-1.277745e-04
115	1.840000e+00	-1.356012e-04	-4.519597e-06	-1.401208e-04
116	1.856000e+00	-1.349143e-04	-4.532295e-06	-1.394466e-04
117	1.872000e+00	-1.543634e-04	-4.188112e-06	-1.585515e-04
118	1.888000e+00	-1.096813e-04	-4.038531e-06	-1.137198e-04
119	1.904000e+00	-1.613962e-04	-4.649111e-06	-1.660453e-04
120	1.920000e+00	-1.179744e-04	-4.814426e-06	-1.227888e-04
121	1.936000e+00	-1.566742e-04	-4.477612e-06	-1.611518e-04
122	1.952000e+00	-1.417069e-04	-4.928255e-06	-1.466352e-04
123	1.968000e+00	-1.254929e-04	-5.674769e-06	-1.311677e-04
124	1.984000e+00	-1.182488e-04	-5.507541e-06	-1.237564e-04
125	2.000000e+00	-1.273946e-04	-5.510539e-06	-1.329051e-04
126	2.016000e+00	-1.203941e-04	-5.899783e-06	-1.262939e-04
127	2.032000e+00	-1.197532e-04	-5.692772e-06	-1.254460e-04
128	2.048000e+00	-1.219360e-04	-5.997658e-06	-1.279337e-04
129	2.064000e+00	-1.558114e-04	-6.190155e-06	-1.620015e-04
130	2.080000e+00	-1.213171e-04	-5.710238e-06	-1.270274e-04
131	2.096000e+00	-1.271107e-04	-5.600932e-06	-1.327116e-04
132	2.112000e+00	-1.387992e-04	-5.731744e-06	-1.445310e-04
133	2.128000e+00	-1.654149e-04	-5.903290e-06	-1.713182e-04
134	2.144000e+00	-1.184512e-04	-5.475568e-06	-1.239267e-04
135	2.160000e+00	-1.279115e-04	-5.857364e-06	-1.337688e-04
136	2.176000e+00	-1.379186e-04	-6.099365e-06	-1.440180e-04
137	2.192000e+00	-1.223389e-04	-5.593954e-06	-1.279329e-04
138	2.208000e+00	-1.278547e-04	-5.139492e-06	-1.329942e-04
139	2.224000e+00	-1.562858e-04	-5.255422e-06	-1.615413e-04
140	2.240000e+00	-1.322988e-04	-5.737339e-06	-1.380361e-04
141	2.256000e+00	-1.776960e-04	-5.571224e-06	-1.832672e-04
142	2.272000e+00	-1.679270e-04	-5.782431e-06	-1.737094e-04
143	2.288000e+00	-1.166965e-04	-6.348957e-06	-1.230455e-04
144	2.304000e+00	-1.320027e-04	-5.945092e-06	-1.379478e-04
145	2.320000e+00	-1.452300e-04	-5.947349e-06	-1.511774e-04
146	2.336000e+00	-1.125450e-04	-5.516808e-06	-1.180618e-04
147	2.352000e+00	-1.298107e-04	-6.181249e-06	-1.359919e-04
148	2.368000e+00	-1.181923e-04	-6.335671e-06	-1.245280e-04
149	2.384000e+00	-8.153850e-05	-6.068869e-06	-8.760737e-05
150	2.400000e+00	-1.128185e-04	-5.700246e-06	-1.185187e-04
151	2.416000e+00	-1.328438e-04	-5.326318e-06	-1.381701e-04
152	2.432000e+00	-1.560867e-04	-5.788766e-06	-1.618754e-04
153	2.448000e+00	-1.082591e-04	-5.487800e-06	-1.137469e-04
154	2.464000e+00	-1.296072e-04	-5.663600e-06	-1.352708e-04
155	2.480000e+00	-9.315494e-05	-5.648611e-06	-9.880355e-05
156	2.496000e+00	-1.541038e-04	-6.251181e-06	-1.603550e-04
157	2.512000e+00	-9.619782e-05	-6.664259e-06	-1.028621e-04
158	2.528000e+00	-1.169970e-04	-5.637820e-06	-1.226348e-04
159	2.544000e+00	-1.445192e-04	-6.263826e-06	-1.507831e-04
160	2.560000e+00	-1.237658e-04	-5.892279e-06	-1.296581e-04
161	2.576000e+00	-1.198209e-04	-6.399221e-06	-1.262201e-04
162	2.592000e+00	-1.328755e-04	-6.227725e-06	-1.391032e-04
163	2.608000e+00	-1.379081e-04	-6.223805e-06	-1.441319e-04
164	2.624000e+00	-1.634319e-04	-6.104436e-06	-1.695363e-04
165	2.640000e+00	-9.750293e-05	-5.256413e-06	-1.027593e-04
166	2.656000e+00	-1.379805e-04	-5.995089e-06	-1.439755e-04
167	2.672000e+00	-1.230104e-04	-6.662859e-06	-1.296733e-04
168	2.688000e+00	-1.137109e-04	-6.442322e-06	-1.201532e-04
169	2.704000e+00	-1.123381e-04	-6.581801e-06	-1.189199e-04
170	2.720000e+00	-1.346063e-04	-7.349138e-06	-1.419555e-04
171	2.736000e+00	-1.252933e-04	-6.468185e-06	-1.317615e-04
172	2.752000e+00	-1.222018e-04	-5.372675e-06	-1.275745e-04
173	2.768000e+00	-1.177387e-04	-6.477715e-06	-1.242164e-04
174	2.784000e+00	-1.040789e-04	-7.228192e-06	-1.113070e-04
175	2.800000e+00	-1.601940e-04	-6.985711e-06	-1.671797e-04
176	2.816000e+00	-9.491566e-05	-7.131076e-06	-1.020467e-04
177	2.832000e+00	-1.518954e-04	-6.702498e-06	-1.585979e-04
178	2.848000e+00	-9.531957e-05	-6.575409e-06	-1.018950e-04
179	2.864000e+00	-1.003191e-04	-6.650898e-06	-1.069700e-04
180	2.880000e+00	-1.688561e-04	-6.924791e-06	-1.757809e-04
181	2.896000e+00	-1.269043e-04	-7.297471e-06	-1.342017e-04
182	2.912000e+00	-1.598401e-04	-7.754599e-06	-1.675947e-04
183	2.928000e+00	-1.320450e-04	-8.363105e-06	-1.404081e-04
184	2.944000e+00	-1.495947e-04	-8.330366e-06	-1.579250e-04
185	2.960000e+00	-1.437233e-04	-6.552708e-06	-1.502760e-04
186	2.976000e+00	-1.574012e-04	-7.298444e-06	-1.646997e-04
187	2.992000e+00	-1.149948e-04	-8.609013e-06	-1.236038e-04
188	3.008000e+00	-1.921819e-04	-8.010522e-06	-2.001924e-04
189	3.024000e+00	-1.377540e-04	-7.760823e-06	-1.455148e-04
190	3.040000e+00	-1.468632e-04	-7.923373e-06	-1.547865e-04
191	3.056000e+00	-1.434774e-04	-6.787765e-06	-1.502652e-04
192	3.072000e+00	-1.241032e-04	-7.788348e-06	-1.318915e-04
193	3.088000e+00	-1.623183e-04	-7.782096e-06	-1.701004e-04
194	3.104000e+00	-1.609200e-04	-7.269996e-06	-1.681900e-04
195	3.120000e+00	-1.079011e-04	-7.764463e-06	-1.156655e-04
196	3.136000e+00	-1.339274e-04	-7.777038e-06	-1.417044e-04
197	3.152000e+00	-1.172100e-04	-7.852221e-06	-1.250622e-04
198	3.168000e+00	-9.699670e-05	-7.765538e-06	-1.047622e-04
199	3.184000e+00	-1.672238e-04	-7.139746e-06	-1.743635e-04
200	3.200000e+00	-1.323936e-04	-8.147076e-06	-1.405407e-04
201	3.216000e+00	-1.695755e-04	-8.649335e-06	-1.782249e-04
202	3.232000e+00	-1.438098e-04	-8.412727e-06	-1.522225e-04
203	3.248000e+00	-1.061353e-04	-7.892132e-06	-1.140275e-04
204	3.264000e+00	-1.475148e-04	-7.955712e-06	-1.554705e-04
205	3.280000e+00	-1.386108e-04	-7.667074e-06	-1.462779e-04
206	3.296000e+00	-1.475900e-04	-7.045106e-06	-1.546351e-04
207	3.312000e+00	-1.568797e-04	-7.576739e-06	-1.644564e-04
208	3.328000e+00	-9.796093e-05	-8.309064e-06	-1.062700e-04
209	3.344000e+00	-1.270233e-04	-8.298656e-06	-1.353220e-04
210	3.360000e+00	-1.191550e-04	-8.029272e-06	-1.271843e-04
211	3.376000e+00	-1.827362e-04	-8.128755e-06	-1.908650e-04
212	3.392000e+00	-1.251959e-04	-8.453254e-06	-1.336491e-04
213	3.408000e+00	-1.085112e-04	-7.668761e-06	-1.161800e-04
214	3.424000e+00	-1.217661e-04	-7.674780e-06	-1.294409e-04
215	3.440000e+00	-1.309252e-04	-8.194633e-06	-1.391198e-04
216	3.456000e+00	-1.314910e-04	-7.471020e-06	-1.389620e-04
217	3.472000e+00	-1.516230e-04	-9.334620e-06	-1.609576e-04
218	3.488000e+00	-1.089417e-04	-9.109789e-06	-1.180515e-04
219	3.504000e+00	-8.658653e-05	-9.291751e-06	-9.587829e-05
220	3.520000e+00	-1.548323e-04	-1.039734e-05	-1.652297e-04
221	3.536000e+00	-1.743852e-04	-9.880523e-06	-1.842657e-04
222	3.552000e+00	-1.631030e-04	-9.530270e-06	-1.726333e-04
223	3.568000e+00	-1.019613e-04	-9.675697e-06	-1.116370e-04
224	3.584000e+00	-1.421406e-04	-9.478799e-06	-1.516194e-04
225	3.600000e+00	-1.053945e-04	-9.169067e-06	-1.145636e-04
226	3.616000e+00	-1.501086e-04	-9.653094e-06	-1.597617e-04
227	3.632000e+00	-9.946496e-05	-9.380679e-06	-1.088456e-04
228	3.648000e+00	-1.446888e-04	-9.529733e-06	-1.542185e-04
229	3.664000e+00	-1.474822e-04	-1.045147e-05	-1.579337e-04
230	3.680000e+00	-7.581986e-05	-1.094128e-05	-8.676114e-05
231	3.696000e+00	-1.144188e-04	-1.035439e-05	-1.247731e-04
232	3.712000e+00	-1.742894e-04	-1.026284e-05	-1.845523e-04
233	3.728000e+00	-2.094637e-04	-1.105709e-05	-2.205207e-04
234	3.744000e+00	-1.328991e-04	-1.249470e-05	-1.453938e-04
235	3.760000e+00	-1.294237e-04	-1.282630e-05	-1.422500e-04
236	3.776000e+00	-1.096674e-04	-1.122468e-05	-1.208920e-04
237	3.792000e+00	-1.319085e-04	-1.056474e-05	-1.424732e-04
238	3.808000e+00	-1.739431e-04	-1.137099e-05	-1.853141e-04
239	3.824000e+00	-1.196403e-04	-1.346306e-05	-1.331034e-04
240	3.840000e+00	-1.433031e-04	-1.188713e-05	-1.551903e-04
241	3.856000e+00	-1.167912e-04	-1.173289e-05	-1.285241e-04
242	3.872000e+00	-1.208796e-04	-1.146325e-05	-1.323428e-04
243	3.888000e+00	-1.713501e-04	-1.271698e-05	-1.840671e-04
244	3.904000e+00	-1.905407e-04	-1.296390e-05	-2.035046e-04
245	3.920000e+00	-1.330193e-04	-1.387008e-05	-1.468894e-04
246	3.936000e+00	-1.537172e-04	-1.442917e-05	-1.681464e-04
247	3.952000e+00	-1.622334e-04	-1.480776e-05	-1.770411e-04
248	3.968000e+00	-1.512651e-04	-1.510893e-05	-1.663740e-04
249	3.984000e+00	-1.206126e-04	-1.383500e-05	-1.344477e-04
250	4.000000e+00	-1.549626e-04	-1.462660e-05	-1.695892e-04
251	4.016000e+00	-1.695845e-04	-1.497295e-05	-1.845575e-04
252	4.032000e+00	-1.782351e-04	-1.631977e-05	-1.945549e-04
253	4.048000e+00	-1.833756e-04	-1.457528e-05	-1.979509e-04
254	4.064000e+00	-1.654926e-04	-1.485746e-05	-1.803501e-04
255	4.080000e+00	-1.771512e-04	-1.487550e-05	-1.920267e-04
256	4.096000e+00	-1.519435e-04	-1.491694e-05	-1.668605e-04
257	4.112000e+00	-1.908584e-04	-1.693324e-05	-2.077916e-04
258	4.128000e+00	-1.442167e-04	-1.699281e-05	-1.612095e-04
259	4.144000e+00	-1.997066e-04	-1.654444e-05	-2.162510e-04
