# RPC induced signal at TopGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	2.000000e-03	1.047878e-04	4.111558e-07	1.051990e-04
1	6.000000e-03	4.134606e-04	1.364602e-06	4.148252e-04
2	1.000000e-02	3.507638e-04	1.106926e-06	3.518707e-04
3	1.400000e-02	3.538489e-04	1.103334e-06	3.549522e-04
4	1.800000e-02	1.941479e-04	1.289884e-06	1.954378e-04
5	2.200000e-02	1.948761e-04	1.531775e-06	1.964078e-04
6	2.600000e-02	3.666542e-04	1.439167e-06	3.680934e-04
7	3.000000e-02	1.482852e-04	1.738306e-06	1.500235e-04
8	3.400000e-02	3.423837e-04	1.280822e-06	3.436645e-04
9	3.800000e-02	1.218133e-04	7.113246e-07	1.225246e-04
10	4.200000e-02	1.835950e-04	9.739290e-07	1.845689e-04
11	4.600000e-02	2.103127e-04	1.325687e-06	2.116384e-04
12	5.000000e-02	9.044219e-05	1.609761e-06	9.205195e-05
13	5.400000e-02	2.602828e-04	1.781123e-06	2.620639e-04
14	5.800000e-02	2.743080e-04	1.436830e-06	2.757448e-04
15	6.200000e-02	2.301456e-04	9.113375e-07	2.310569e-04
16	6.600000e-02	3.069705e-04	1.355457e-06	3.083259e-04
17	7.000000e-02	1.110860e-04	1.001991e-06	1.120880e-04
18	7.400000e-02	3.060353e-04	1.526751e-06	3.075620e-04
19	7.800000e-02	2.753012e-04	8.537022e-07	2.761549e-04
20	8.200000e-02	2.706023e-04	5.228865e-07	2.711252e-04
21	8.600000e-02	1.985805e-04	9.029412e-07	1.994835e-04
22	9.000000e-02	2.809305e-04	4.399575e-07	2.813705e-04
23	9.400000e-02	1.217671e-04	7.983020e-07	1.225654e-04
24	9.800000e-02	1.274442e-04	9.863441e-07	1.284306e-04
25	1.020000e-01	2.574145e-04	7.691878e-07	2.581836e-04
26	1.060000e-01	1.376939e-04	8.709252e-07	1.385648e-04
27	1.100000e-01	3.063056e-04	1.067438e-06	3.073730e-04
28	1.140000e-01	2.665068e-04	6.453639e-08	2.665713e-04
29	1.180000e-01	1.746481e-04	9.677500e-07	1.756159e-04
30	1.220000e-01	1.191390e-04	1.146456e-06	1.202854e-04
31	1.260000e-01	2.343408e-04	1.301687e-06	2.356425e-04
32	1.300000e-01	2.304592e-04	1.143886e-06	2.316031e-04
33	1.340000e-01	2.410235e-04	7.043867e-07	2.417279e-04
34	1.380000e-01	1.608062e-04	1.388273e-06	1.621944e-04
35	1.420000e-01	2.847330e-04	4.901902e-07	2.852232e-04
36	1.460000e-01	2.869060e-04	1.716884e-06	2.886229e-04
37	1.500000e-01	2.269602e-04	1.099632e-06	2.280598e-04
38	1.540000e-01	2.984704e-04	1.080541e-06	2.995510e-04
39	1.580000e-01	8.754537e-05	5.880942e-07	8.813346e-05
40	1.620000e-01	1.591962e-04	1.080794e-06	1.602770e-04
41	1.660000e-01	1.700863e-04	1.413109e-06	1.714994e-04
42	1.700000e-01	1.220285e-04	9.449005e-07	1.229734e-04
43	1.740000e-01	2.927092e-04	1.299619e-06	2.940088e-04
44	1.780000e-01	1.984272e-04	6.699936e-07	1.990972e-04
45	1.820000e-01	1.408610e-04	8.568374e-07	1.417179e-04
46	1.860000e-01	1.822603e-04	8.213122e-07	1.830817e-04
47	1.900000e-01	1.175687e-04	1.766789e-06	1.193355e-04
48	1.940000e-01	1.246268e-04	1.979722e-06	1.266066e-04
49	1.980000e-01	1.622364e-04	8.765420e-07	1.631130e-04
50	2.020000e-01	-1.402578e-05	1.485557e-06	-1.254022e-05
51	2.060000e-01	1.241527e-04	1.249522e-06	1.254022e-04
52	2.100000e-01	1.091927e-04	7.402922e-07	1.099330e-04
53	2.140000e-01	1.260617e-04	1.103534e-06	1.271653e-04
54	2.180000e-01	1.228262e-04	1.135569e-06	1.239617e-04
55	2.220000e-01	9.659220e-05	8.461380e-07	9.743834e-05
56	2.260000e-01	2.241743e-04	4.260800e-07	2.246004e-04
57	2.300000e-01	1.017723e-04	5.839422e-07	1.023563e-04
58	2.340000e-01	1.048144e-04	1.447854e-06	1.062623e-04
59	2.380000e-01	1.247876e-04	9.271144e-07	1.257147e-04
60	2.420000e-01	1.507887e-04	7.646998e-07	1.515534e-04
61	2.460000e-01	1.254517e-04	7.925842e-07	1.262443e-04
62	2.500000e-01	1.315655e-04	1.357656e-06	1.329232e-04
63	2.540000e-01	1.201396e-04	1.230817e-06	1.213704e-04
64	2.580000e-01	1.895503e-04	7.922934e-07	1.903426e-04
65	2.620000e-01	9.543390e-05	1.790039e-06	9.722394e-05
66	2.660000e-01	1.206145e-04	1.287174e-06	1.219017e-04
67	2.700000e-01	9.351053e-05	1.636854e-06	9.514738e-05
68	2.740000e-01	1.197603e-04	6.495460e-07	1.204098e-04
69	2.780000e-01	5.514586e-05	1.140643e-06	5.628650e-05
70	2.820000e-01	1.173278e-04	1.492897e-06	1.188207e-04
71	2.860000e-01	2.224173e-04	1.859426e-06	2.242767e-04
72	2.900000e-01	1.940717e-04	1.902153e-06	1.959739e-04
73	2.940000e-01	2.614603e-04	8.834345e-07	2.623437e-04
74	2.980000e-01	2.033984e-04	7.466682e-07	2.041451e-04
75	3.020000e-01	5.518308e-05	1.016562e-06	5.619964e-05
76	3.060000e-01	1.479595e-04	1.985570e-06	1.499451e-04
77	3.100000e-01	2.844598e-04	2.101994e-06	2.865618e-04
78	3.140000e-01	2.290154e-04	1.259225e-06	2.302746e-04
79	3.180000e-01	1.482668e-04	1.089532e-06	1.493563e-04
80	3.220000e-01	1.285327e-04	7.065128e-07	1.292392e-04
81	3.260000e-01	2.227122e-04	1.620927e-06	2.243331e-04
82	3.300000e-01	1.816250e-04	8.769555e-07	1.825020e-04
83	3.340000e-01	1.644271e-04	9.600804e-07	1.653872e-04
84	3.380000e-01	1.874051e-04	1.007140e-06	1.884123e-04
85	3.420000e-01	1.368551e-04	1.764448e-07	1.370315e-04
86	3.460000e-01	1.316438e-04	1.090408e-06	1.327342e-04
87	3.500000e-01	3.695934e-05	1.647370e-06	3.860671e-05
88	3.540000e-01	8.102381e-05	1.874690e-06	8.289850e-05
89	3.580000e-01	1.382552e-04	1.230134e-06	1.394853e-04
90	3.620000e-01	1.716644e-04	1.336432e-06	1.730008e-04
91	3.660000e-01	2.171619e-04	9.395342e-07	2.181015e-04
92	3.700000e-01	1.205751e-05	1.149377e-06	1.320689e-05
