# RPC induced signal at TopGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	2.000000e-03	1.413465e-04	8.184289e-07	1.421649e-04
1	6.000000e-03	3.923509e-04	9.249181e-07	3.932758e-04
2	1.000000e-02	3.942175e-04	8.572440e-07	3.950748e-04
3	1.400000e-02	3.265552e-04	7.598267e-07	3.273150e-04
4	1.800000e-02	2.368021e-04	3.531687e-07	2.371553e-04
5	2.200000e-02	3.058869e-04	1.128989e-06	3.070159e-04
6	2.600000e-02	2.412546e-04	8.112321e-07	2.420659e-04
7	3.000000e-02	2.649592e-04	9.519444e-07	2.659112e-04
8	3.400000e-02	3.595818e-04	1.293048e-06	3.608748e-04
9	3.800000e-02	1.958809e-04	1.104073e-06	1.969850e-04
10	4.200000e-02	3.438892e-04	1.426847e-06	3.453160e-04
11	4.600000e-02	6.561756e-05	1.507991e-06	6.712555e-05
12	5.000000e-02	2.920676e-04	8.502493e-07	2.929178e-04
13	5.400000e-02	3.019533e-04	1.411688e-06	3.033650e-04
14	5.800000e-02	1.760161e-04	1.029173e-06	1.770452e-04
15	6.200000e-02	2.893219e-04	6.767236e-07	2.899986e-04
16	6.600000e-02	3.472034e-04	9.293281e-07	3.481327e-04
17	7.000000e-02	1.918528e-04	1.435201e-06	1.932880e-04
18	7.400000e-02	9.530036e-05	8.877743e-07	9.618813e-05
19	7.800000e-02	2.500557e-04	5.835354e-07	2.506392e-04
20	8.200000e-02	9.783685e-05	1.174210e-06	9.901106e-05
21	8.600000e-02	2.639054e-04	1.380090e-06	2.652855e-04
22	9.000000e-02	3.482406e-04	1.421759e-06	3.496624e-04
23	9.400000e-02	2.475526e-04	1.094279e-06	2.486468e-04
24	9.800000e-02	2.505335e-04	1.133168e-06	2.516667e-04
25	1.020000e-01	4.695078e-06	5.501857e-07	5.245264e-06
26	1.060000e-01	2.978142e-04	4.009980e-07	2.982152e-04
27	1.100000e-01	2.534929e-04	7.210967e-07	2.542140e-04
28	1.140000e-01	1.869213e-04	1.419245e-06	1.883405e-04
29	1.180000e-01	4.320907e-04	1.421681e-06	4.335124e-04
30	1.220000e-01	1.216491e-04	1.157476e-06	1.228066e-04
31	1.260000e-01	3.072531e-04	1.212954e-06	3.084660e-04
32	1.300000e-01	1.443585e-04	1.233757e-06	1.455922e-04
33	1.340000e-01	2.291128e-04	7.428824e-07	2.298557e-04
34	1.380000e-01	2.305849e-04	6.251409e-07	2.312100e-04
35	1.420000e-01	2.621881e-04	7.878425e-07	2.629759e-04
36	1.460000e-01	1.808944e-04	5.471516e-07	1.814416e-04
37	1.500000e-01	1.338317e-04	6.968935e-07	1.345286e-04
38	1.540000e-01	2.994728e-04	1.410149e-06	3.008829e-04
39	1.580000e-01	2.299731e-04	1.101799e-06	2.310749e-04
40	1.620000e-01	2.263956e-04	9.298038e-07	2.273254e-04
41	1.660000e-01	2.513537e-04	1.351114e-06	2.527048e-04
42	1.700000e-01	1.823755e-04	1.113108e-06	1.834886e-04
43	1.740000e-01	1.350444e-04	8.163863e-07	1.358608e-04
44	1.780000e-01	2.748814e-04	1.402212e-06	2.762836e-04
45	1.820000e-01	1.010823e-04	9.551520e-07	1.020375e-04
46	1.860000e-01	1.228543e-04	9.457266e-07	1.238000e-04
47	1.900000e-01	2.376497e-04	1.560971e-06	2.392107e-04
48	1.940000e-01	2.966853e-04	1.163719e-06	2.978490e-04
49	1.980000e-01	2.151695e-04	1.274784e-06	2.164442e-04
50	2.020000e-01	3.690009e-04	9.338607e-07	3.699347e-04
51	2.060000e-01	3.408995e-04	1.418312e-06	3.423178e-04
52	2.100000e-01	2.408376e-04	1.196702e-06	2.420343e-04
53	2.140000e-01	2.447360e-04	1.467230e-06	2.462033e-04
54	2.180000e-01	1.887773e-04	1.206848e-06	1.899841e-04
55	2.220000e-01	1.836151e-04	1.265445e-06	1.848805e-04
56	2.260000e-01	3.048460e-04	2.433481e-06	3.072795e-04
57	2.300000e-01	1.506027e-04	1.148971e-06	1.517517e-04
58	2.340000e-01	2.499123e-04	6.852937e-07	2.505976e-04
59	2.380000e-01	2.058499e-04	1.159219e-06	2.070091e-04
60	2.420000e-01	1.200975e-04	1.542407e-06	1.216399e-04
61	2.460000e-01	1.651052e-04	1.361839e-06	1.664670e-04
62	2.500000e-01	3.465318e-04	9.094380e-07	3.474412e-04
63	2.540000e-01	1.737766e-04	3.354422e-07	1.741120e-04
64	2.580000e-01	2.624995e-04	9.123047e-07	2.634118e-04
65	2.620000e-01	9.541267e-05	1.491604e-06	9.690428e-05
66	2.660000e-01	2.903960e-04	1.431309e-06	2.918273e-04
67	2.700000e-01	1.405952e-04	1.279038e-06	1.418742e-04
68	2.740000e-01	9.868974e-05	1.191911e-06	9.988165e-05
69	2.780000e-01	8.841001e-05	1.372604e-06	8.978261e-05
70	2.820000e-01	1.046082e-04	1.262270e-06	1.058705e-04
71	2.860000e-01	1.793196e-04	8.583752e-07	1.801779e-04
72	2.900000e-01	8.985362e-05	1.200251e-06	9.105388e-05
73	2.940000e-01	2.055170e-04	9.399065e-07	2.064570e-04
74	2.980000e-01	1.031554e-04	1.241514e-06	1.043969e-04
75	3.020000e-01	2.434433e-04	1.497490e-06	2.449408e-04
76	3.060000e-01	3.054998e-04	7.498646e-07	3.062497e-04
77	3.100000e-01	2.167718e-04	1.283455e-06	2.180552e-04
78	3.140000e-01	2.563137e-04	1.521092e-06	2.578348e-04
79	3.180000e-01	1.960105e-04	9.598375e-07	1.969703e-04
80	3.220000e-01	2.878570e-04	1.383238e-06	2.892403e-04
81	3.260000e-01	2.035675e-04	1.683124e-06	2.052506e-04
82	3.300000e-01	2.729249e-04	1.864552e-06	2.747894e-04
83	3.340000e-01	1.910317e-04	1.831629e-06	1.928633e-04
84	3.380000e-01	1.795728e-04	1.389620e-06	1.809625e-04
85	3.420000e-01	1.917321e-04	1.107792e-06	1.928399e-04
86	3.460000e-01	1.082779e-04	1.257216e-06	1.095351e-04
87	3.500000e-01	2.383833e-04	9.776311e-07	2.393609e-04
88	3.540000e-01	3.249547e-05	6.890279e-07	3.318449e-05
89	3.580000e-01	2.533303e-04	1.274932e-06	2.546053e-04
90	3.620000e-01	2.322876e-04	1.230274e-06	2.335179e-04
91	3.660000e-01	2.184828e-04	9.149709e-07	2.193978e-04
92	3.700000e-01	1.750932e-04	6.777433e-07	1.757709e-04
93	3.740000e-01	1.495247e-04	1.322741e-06	1.508475e-04
94	3.780000e-01	2.510047e-04	1.229297e-06	2.522340e-04
95	3.820000e-01	2.287738e-04	1.642673e-06	2.304165e-04
96	3.860000e-01	1.129537e-04	1.057154e-06	1.140109e-04
97	3.900000e-01	1.480727e-04	1.621769e-06	1.496945e-04
98	3.940000e-01	3.151185e-04	1.077980e-06	3.161965e-04
99	3.980000e-01	2.826804e-04	1.180943e-06	2.838613e-04
100	4.020000e-01	1.918850e-04	1.784785e-06	1.936698e-04
101	4.060000e-01	1.353678e-04	1.329218e-06	1.366971e-04
102	4.100000e-01	1.596033e-04	1.091812e-06	1.606951e-04
103	4.140000e-01	1.873386e-04	1.127511e-06	1.884661e-04
104	4.180000e-01	2.491534e-04	1.744849e-06	2.508982e-04
105	4.220000e-01	3.749642e-04	1.664178e-06	3.766284e-04
106	4.260000e-01	1.763660e-04	1.521383e-06	1.778873e-04
107	4.300000e-01	2.163015e-04	1.945160e-06	2.182466e-04
108	4.340000e-01	2.079318e-04	1.228898e-06	2.091607e-04
109	4.380000e-01	1.684005e-04	1.099451e-06	1.694999e-04
