# RPC induced signal at BottomGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	-1.797676e-04	-8.968223e-07	-1.806645e-04
1	2.400000e-02	-1.764010e-04	-7.178536e-07	-1.771188e-04
2	4.000000e-02	-2.140261e-04	-9.447721e-07	-2.149709e-04
3	5.600000e-02	-2.128181e-04	-1.098288e-06	-2.139164e-04
4	7.200000e-02	-1.975110e-04	-5.241433e-07	-1.980351e-04
5	8.800000e-02	-1.792467e-04	-1.220364e-06	-1.804671e-04
6	1.040000e-01	-1.674135e-04	-9.940763e-07	-1.684076e-04
7	1.200000e-01	-1.666143e-04	-4.961357e-07	-1.671104e-04
8	1.360000e-01	-1.882963e-04	-1.121427e-06	-1.894177e-04
9	1.520000e-01	-1.846205e-04	-1.150548e-06	-1.857710e-04
10	1.680000e-01	-2.062551e-04	-1.050619e-06	-2.073057e-04
11	1.840000e-01	-2.105607e-04	-8.999024e-07	-2.114606e-04
12	2.000000e-01	-2.041615e-04	-1.108210e-06	-2.052697e-04
13	2.160000e-01	-1.999800e-04	-6.592544e-07	-2.006393e-04
14	2.320000e-01	-1.707827e-04	-1.427763e-06	-1.722105e-04
15	2.480000e-01	-1.413382e-04	-8.270844e-07	-1.421653e-04
16	2.640000e-01	-1.685603e-04	-6.497671e-07	-1.692100e-04
17	2.800000e-01	-1.464209e-04	-1.055593e-06	-1.474765e-04
18	2.960000e-01	-1.324865e-04	-1.036227e-06	-1.335227e-04
19	3.120000e-01	-1.382297e-04	-7.348688e-07	-1.389646e-04
20	3.280000e-01	-1.217302e-04	-1.132868e-06	-1.228630e-04
21	3.440000e-01	-1.325906e-04	-8.089503e-07	-1.333995e-04
22	3.600000e-01	-1.577977e-04	-1.068378e-06	-1.588661e-04
23	3.760000e-01	-2.081787e-04	-1.005995e-06	-2.091847e-04
24	3.920000e-01	-1.618045e-04	-1.083617e-06	-1.628881e-04
25	4.080000e-01	-1.689882e-04	-9.100135e-07	-1.698983e-04
26	4.240000e-01	-1.494108e-04	-1.111093e-06	-1.505219e-04
27	4.400000e-01	-1.515707e-04	-9.032110e-07	-1.524739e-04
28	4.560000e-01	-1.198886e-04	-1.102104e-06	-1.209907e-04
29	4.720000e-01	-1.243104e-04	-8.996098e-07	-1.252100e-04
30	4.880000e-01	-1.130706e-04	-1.287067e-06	-1.143577e-04
31	5.040000e-01	-1.487123e-04	-9.421773e-07	-1.496545e-04
32	5.200000e-01	-1.417599e-04	-1.080555e-06	-1.428405e-04
33	5.360000e-01	-1.403026e-04	-1.047101e-06	-1.413497e-04
34	5.520000e-01	-1.441091e-04	-9.931413e-07	-1.451022e-04
35	5.680000e-01	-1.120864e-04	-1.149240e-06	-1.132357e-04
36	5.840000e-01	-5.914308e-05	-1.224454e-06	-6.036753e-05
37	6.000000e-01	-7.519501e-05	-1.247055e-06	-7.644207e-05
38	6.160000e-01	-1.229186e-04	-1.155955e-06	-1.240745e-04
39	6.320000e-01	-9.371090e-05	-1.405901e-06	-9.511681e-05
40	6.480000e-01	-1.046379e-04	-8.767025e-07	-1.055146e-04
41	6.640000e-01	-1.033235e-04	-1.119824e-06	-1.044434e-04
42	6.800000e-01	-7.873086e-05	-1.112523e-06	-7.984338e-05
43	6.960000e-01	-1.209417e-04	-1.231010e-06	-1.221727e-04
44	7.120000e-01	-1.072150e-04	-1.052442e-06	-1.082675e-04
45	7.280000e-01	-1.214716e-04	-7.452670e-07	-1.222169e-04
46	7.440000e-01	-1.176758e-04	-7.509572e-07	-1.184268e-04
47	7.600000e-01	-1.017649e-04	-9.796902e-07	-1.027446e-04
48	7.760000e-01	-1.417301e-04	-1.131039e-06	-1.428611e-04
49	7.920000e-01	-8.079959e-05	-1.034873e-06	-8.183446e-05
50	8.080000e-01	-1.438686e-04	-1.197673e-06	-1.450663e-04
51	8.240000e-01	-1.047968e-04	-1.165180e-06	-1.059620e-04
52	8.400000e-01	-7.974696e-05	-1.288523e-06	-8.103549e-05
53	8.560000e-01	-1.060311e-04	-1.350498e-06	-1.073816e-04
54	8.720000e-01	-8.047488e-05	-7.435386e-07	-8.121842e-05
55	8.880000e-01	-9.356190e-05	-1.337255e-06	-9.489916e-05
56	9.040000e-01	-9.327202e-05	-1.276790e-06	-9.454881e-05
57	9.200000e-01	-8.050153e-05	-1.074292e-06	-8.157582e-05
58	9.360000e-01	-9.386583e-05	-1.174972e-06	-9.504080e-05
59	9.520000e-01	-6.845558e-05	-1.259236e-06	-6.971481e-05
60	9.680000e-01	-8.584533e-05	-1.352117e-06	-8.719744e-05
61	9.840000e-01	-1.094710e-04	-1.257377e-06	-1.107283e-04
62	1.000000e+00	-9.063216e-05	-1.433802e-06	-9.206596e-05
63	1.016000e+00	-1.060216e-04	-1.177808e-06	-1.071994e-04
64	1.032000e+00	-1.438634e-04	-1.310176e-06	-1.451736e-04
65	1.048000e+00	-9.316525e-05	-1.470314e-06	-9.463556e-05
66	1.064000e+00	-1.120497e-04	-1.214813e-06	-1.132645e-04
67	1.080000e+00	-1.112758e-04	-1.200577e-06	-1.124764e-04
68	1.096000e+00	-7.027671e-05	-1.666061e-06	-7.194277e-05
69	1.112000e+00	-1.051775e-04	-1.641235e-06	-1.068187e-04
70	1.128000e+00	-1.043302e-04	-1.267152e-06	-1.055973e-04
71	1.144000e+00	-6.464871e-05	-1.596589e-06	-6.624530e-05
72	1.160000e+00	-6.697427e-05	-1.284693e-06	-6.825896e-05
73	1.176000e+00	-9.492295e-05	-1.287848e-06	-9.621080e-05
74	1.192000e+00	-7.014027e-05	-1.411104e-06	-7.155137e-05
75	1.208000e+00	-9.399914e-05	-1.617828e-06	-9.561697e-05
76	1.224000e+00	-6.273583e-05	-1.500771e-06	-6.423660e-05
77	1.240000e+00	-9.417973e-05	-8.920172e-07	-9.507175e-05
78	1.256000e+00	-1.142883e-04	-1.357259e-06	-1.156456e-04
79	1.272000e+00	-2.550771e-05	-1.169753e-06	-2.667746e-05
80	1.288000e+00	-6.958461e-05	-1.022216e-06	-7.060683e-05
81	1.304000e+00	-7.789371e-05	-1.199019e-06	-7.909273e-05
82	1.320000e+00	-5.370772e-05	-9.520105e-07	-5.465973e-05
83	1.336000e+00	-4.397382e-05	-1.358281e-06	-4.533210e-05
84	1.352000e+00	-7.564168e-05	-1.524557e-06	-7.716624e-05
85	1.368000e+00	-6.332671e-05	-1.368327e-06	-6.469504e-05
86	1.384000e+00	-8.106550e-05	-1.125945e-06	-8.219145e-05
87	1.400000e+00	-7.221311e-05	-1.363413e-06	-7.357652e-05
88	1.416000e+00	-9.615226e-05	-1.644684e-06	-9.779695e-05
89	1.432000e+00	-1.056390e-04	-1.410532e-06	-1.070495e-04
90	1.448000e+00	-6.995155e-05	-1.590159e-06	-7.154171e-05
91	1.464000e+00	-3.385050e-05	-1.195933e-06	-3.504643e-05
92	1.480000e+00	-7.118494e-05	-1.299863e-06	-7.248481e-05
93	1.496000e+00	-4.765118e-05	-1.233140e-06	-4.888432e-05
94	1.512000e+00	-7.212716e-05	-1.480633e-06	-7.360780e-05
95	1.528000e+00	-6.895765e-05	-1.238609e-06	-7.019626e-05
96	1.544000e+00	-8.312751e-05	-1.039434e-06	-8.416694e-05
97	1.560000e+00	-5.545409e-05	-1.230084e-06	-5.668418e-05
98	1.576000e+00	-5.485046e-05	-9.543103e-07	-5.580477e-05
99	1.592000e+00	-5.338028e-05	-1.384818e-06	-5.476510e-05
100	1.608000e+00	-5.338433e-05	-1.724351e-06	-5.510868e-05
101	1.624000e+00	-4.486670e-05	-1.770114e-06	-4.663682e-05
102	1.640000e+00	-6.060099e-05	-1.882652e-06	-6.248364e-05
103	1.656000e+00	-4.626378e-05	-7.805926e-07	-4.704437e-05
104	1.672000e+00	-5.465503e-05	-1.495728e-06	-5.615075e-05
105	1.688000e+00	-6.396909e-05	-1.587118e-06	-6.555620e-05
106	1.704000e+00	-3.995992e-05	-1.216207e-06	-4.117613e-05
107	1.720000e+00	-5.046729e-05	-1.004521e-06	-5.147181e-05
108	1.736000e+00	-5.602549e-05	-1.472052e-06	-5.749754e-05
