# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	4.929262e-10	2.424442e-12	4.953506e-10
1	2.400000e-02	4.797790e-10	1.958384e-12	4.817374e-10
2	4.000000e-02	5.846319e-10	2.587980e-12	5.872199e-10
3	5.600000e-02	5.811128e-10	3.010216e-12	5.841230e-10
4	7.200000e-02	5.367480e-10	1.416507e-12	5.381645e-10
5	8.800000e-02	4.901755e-10	3.291503e-12	4.934670e-10
6	1.040000e-01	4.537777e-10	2.735553e-12	4.565133e-10
7	1.200000e-01	4.549840e-10	1.332229e-12	4.563162e-10
8	1.360000e-01	5.116399e-10	3.077672e-12	5.147176e-10
9	1.520000e-01	5.033399e-10	3.154461e-12	5.064944e-10
10	1.680000e-01	5.630105e-10	2.857844e-12	5.658683e-10
11	1.840000e-01	5.745420e-10	2.449457e-12	5.769914e-10
12	2.000000e-01	5.548614e-10	3.004064e-12	5.578655e-10
13	2.160000e-01	5.460152e-10	1.840760e-12	5.478560e-10
14	2.320000e-01	4.656620e-10	3.875545e-12	4.695375e-10
15	2.480000e-01	3.863515e-10	2.210688e-12	3.885622e-10
16	2.640000e-01	4.605161e-10	1.820044e-12	4.623361e-10
17	2.800000e-01	4.018207e-10	2.894723e-12	4.047154e-10
18	2.960000e-01	3.618456e-10	2.761957e-12	3.646076e-10
19	3.120000e-01	3.778633e-10	2.036561e-12	3.798999e-10
20	3.280000e-01	3.326553e-10	3.071185e-12	3.357265e-10
21	3.440000e-01	3.618815e-10	2.230471e-12	3.641120e-10
22	3.600000e-01	4.325911e-10	2.913993e-12	4.355051e-10
23	3.760000e-01	5.699095e-10	2.792768e-12	5.727022e-10
24	3.920000e-01	4.427987e-10	2.976854e-12	4.457756e-10
25	4.080000e-01	4.639458e-10	2.437256e-12	4.663831e-10
26	4.240000e-01	4.073016e-10	3.029780e-12	4.103314e-10
27	4.400000e-01	4.167313e-10	2.445676e-12	4.191770e-10
28	4.560000e-01	3.286695e-10	3.040949e-12	3.317104e-10
29	4.720000e-01	3.393509e-10	2.437089e-12	3.417879e-10
30	4.880000e-01	3.104119e-10	3.530315e-12	3.139422e-10
