# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	-1.065714e-09	-4.275697e-12	-1.069990e-09
1	2.400000e-02	-8.062737e-10	-2.581010e-12	-8.088547e-10
2	4.000000e-02	-8.941164e-10	-2.128856e-12	-8.962453e-10
3	5.600000e-02	-9.556255e-10	-6.946460e-12	-9.625720e-10
4	7.200000e-02	-9.691038e-10	-9.733711e-12	-9.788375e-10
5	8.800000e-02	-1.224544e-09	-1.018485e-11	-1.234729e-09
6	1.040000e-01	-7.825270e-10	-7.861787e-12	-7.903888e-10
7	1.200000e-01	-8.512304e-10	-7.620463e-12	-8.588509e-10
8	1.360000e-01	-8.518178e-10	-8.799040e-12	-8.606169e-10
9	1.520000e-01	-1.151630e-09	-8.007903e-12	-1.159638e-09
10	1.680000e-01	-8.286446e-10	-6.869672e-12	-8.355143e-10
11	1.840000e-01	-1.181879e-09	-7.099033e-12	-1.188978e-09
12	2.000000e-01	-1.020374e-09	-5.520491e-12	-1.025895e-09
13	2.160000e-01	-1.113679e-09	-6.036340e-12	-1.119715e-09
14	2.320000e-01	-1.044219e-09	-6.653281e-12	-1.050872e-09
15	2.480000e-01	-1.391239e-09	-4.527994e-12	-1.395767e-09
16	2.640000e-01	-1.152437e-09	-9.419574e-12	-1.161857e-09
17	2.800000e-01	-1.114806e-09	-1.309387e-11	-1.127899e-09
18	2.960000e-01	-8.243378e-10	-1.402759e-11	-8.383654e-10
19	3.120000e-01	-1.050945e-09	-1.375876e-11	-1.064704e-09
20	3.280000e-01	-1.006921e-09	-1.807925e-11	-1.025001e-09
21	3.440000e-01	-8.128603e-10	-1.441956e-11	-8.272798e-10
22	3.600000e-01	-9.139485e-10	-2.177731e-11	-9.357258e-10
23	3.760000e-01	-1.299656e-09	-1.716043e-11	-1.316817e-09
24	3.920000e-01	-8.604632e-10	-1.825910e-11	-8.787223e-10
25	4.080000e-01	-1.228831e-09	-1.706471e-11	-1.245896e-09
26	4.240000e-01	-8.595443e-10	-1.894058e-11	-8.784849e-10
27	4.400000e-01	-1.078155e-09	-1.391150e-11	-1.092067e-09
28	4.560000e-01	-1.247075e-09	-1.648495e-11	-1.263560e-09
29	4.720000e-01	-1.089569e-09	-1.460008e-11	-1.104169e-09
30	4.880000e-01	-1.372965e-09	-1.403364e-11	-1.386998e-09
31	5.040000e-01	-9.550866e-10	-2.899183e-11	-9.840785e-10
32	5.200000e-01	-1.168155e-09	-3.162849e-11	-1.199783e-09
33	5.360000e-01	-8.430065e-10	-3.223204e-11	-8.752385e-10
34	5.520000e-01	-9.579939e-10	-2.497879e-11	-9.829727e-10
35	5.680000e-01	-1.076064e-09	-3.254832e-11	-1.108612e-09
36	5.840000e-01	-1.088180e-09	-3.960099e-11	-1.127781e-09
37	6.000000e-01	-1.162498e-09	-4.697941e-11	-1.209478e-09
38	6.160000e-01	-1.496729e-09	-4.597869e-11	-1.542708e-09
39	6.320000e-01	-1.135092e-09	-4.502695e-11	-1.180119e-09
40	6.480000e-01	-1.424405e-09	-4.736751e-11	-1.471772e-09
41	6.640000e-01	-5.459472e-10	-5.318028e-11	-5.991275e-10
42	6.800000e-01	-9.460147e-10	-5.681527e-11	-1.002830e-09
43	6.960000e-01	-1.117784e-09	-5.081170e-11	-1.168596e-09
44	7.120000e-01	-1.032824e-09	-4.929770e-11	-1.082122e-09
45	7.280000e-01	-1.040490e-09	-5.705377e-11	-1.097544e-09
46	7.440000e-01	-1.364709e-09	-5.354936e-11	-1.418259e-09
47	7.600000e-01	-1.118044e-09	-4.655913e-11	-1.164603e-09
48	7.760000e-01	-8.613228e-10	-4.318158e-11	-9.045043e-10
49	7.920000e-01	-8.557341e-10	-5.295174e-11	-9.086859e-10
50	8.080000e-01	-1.116719e-09	-5.697502e-11	-1.173694e-09
51	8.240000e-01	-9.616207e-10	-5.099998e-11	-1.012621e-09
52	8.400000e-01	-1.201281e-09	-5.085031e-11	-1.252132e-09
53	8.560000e-01	-9.992604e-10	-5.600887e-11	-1.055269e-09
54	8.720000e-01	-1.456713e-09	-5.451501e-11	-1.511228e-09
55	8.880000e-01	-1.112128e-09	-5.346913e-11	-1.165597e-09
56	9.040000e-01	-8.344840e-10	-5.649885e-11	-8.909828e-10
57	9.200000e-01	-1.122347e-09	-5.613973e-11	-1.178487e-09
58	9.360000e-01	-1.184747e-09	-5.523856e-11	-1.239986e-09
59	9.520000e-01	-1.057796e-09	-5.652274e-11	-1.114319e-09
