# RPC induced signal at BottomGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	0.000000e+00	-1.499371e-07	-1.499371e-07
1	2.400000e-02	0.000000e+00	-2.404261e-07	-2.404261e-07
2	4.000000e-02	0.000000e+00	-5.275496e-08	-5.275496e-08
3	5.600000e-02	0.000000e+00	-1.371924e-07	-1.371924e-07
4	7.200000e-02	0.000000e+00	-4.271136e-07	-4.271136e-07
5	8.800000e-02	0.000000e+00	-1.563926e-07	-1.563926e-07
6	1.040000e-01	0.000000e+00	-6.306862e-08	-6.306862e-08
7	1.200000e-01	0.000000e+00	-1.802716e-07	-1.802716e-07
8	1.360000e-01	0.000000e+00	-2.677627e-09	-2.677627e-09
9	1.520000e-01	0.000000e+00	-2.734573e-07	-2.734573e-07
10	1.680000e-01	0.000000e+00	-1.791858e-07	-1.791858e-07
11	1.840000e-01	0.000000e+00	-1.240110e-07	-1.240110e-07
12	2.000000e-01	0.000000e+00	-1.897587e-07	-1.897587e-07
13	2.160000e-01	0.000000e+00	-1.489312e-07	-1.489312e-07
14	2.320000e-01	0.000000e+00	-2.390194e-07	-2.390194e-07
15	2.480000e-01	0.000000e+00	-1.392480e-07	-1.392480e-07
16	2.640000e-01	0.000000e+00	-1.832107e-07	-1.832107e-07
17	2.800000e-01	0.000000e+00	-1.227709e-07	-1.227709e-07
18	2.960000e-01	0.000000e+00	-1.849468e-08	-1.849468e-08
19	3.120000e-01	0.000000e+00	-7.822757e-08	-7.822757e-08
20	3.280000e-01	0.000000e+00	-1.353479e-07	-1.353479e-07
21	3.440000e-01	0.000000e+00	-2.095402e-07	-2.095402e-07
22	3.600000e-01	0.000000e+00	-2.253831e-07	-2.253831e-07
23	3.760000e-01	0.000000e+00	-2.286462e-07	-2.286462e-07
24	3.920000e-01	0.000000e+00	-2.523957e-07	-2.523957e-07
25	4.080000e-01	0.000000e+00	-1.234661e-07	-1.234661e-07
26	4.240000e-01	0.000000e+00	-1.062562e-07	-1.062562e-07
27	4.400000e-01	0.000000e+00	-8.052739e-08	-8.052739e-08
28	4.560000e-01	0.000000e+00	-6.733124e-08	-6.733124e-08
29	4.720000e-01	0.000000e+00	-1.483965e-07	-1.483965e-07
30	4.880000e-01	0.000000e+00	1.226904e-08	1.226904e-08
31	5.040000e-01	0.000000e+00	-1.116194e-07	-1.116194e-07
32	5.200000e-01	0.000000e+00	-3.779710e-07	-3.779710e-07
33	5.360000e-01	0.000000e+00	-1.881870e-07	-1.881870e-07
34	5.520000e-01	0.000000e+00	-7.514914e-08	-7.514914e-08
35	5.680000e-01	0.000000e+00	-1.603484e-07	-1.603484e-07
36	5.840000e-01	0.000000e+00	-2.031013e-07	-2.031013e-07
37	6.000000e-01	0.000000e+00	4.228155e-09	4.228155e-09
38	6.160000e-01	0.000000e+00	9.448299e-08	9.448299e-08
39	6.320000e-01	0.000000e+00	-8.378950e-08	-8.378950e-08
40	6.480000e-01	0.000000e+00	-3.931518e-09	-3.931518e-09
41	6.640000e-01	0.000000e+00	-6.485997e-08	-6.485997e-08
42	6.800000e-01	0.000000e+00	-5.617549e-09	-5.617549e-09
43	6.960000e-01	0.000000e+00	-1.215728e-07	-1.215728e-07
44	7.120000e-01	0.000000e+00	-7.298122e-08	-7.298122e-08
45	7.280000e-01	0.000000e+00	-2.889925e-07	-2.889925e-07
46	7.440000e-01	0.000000e+00	2.940434e-09	2.940434e-09
47	7.600000e-01	0.000000e+00	-1.012202e-07	-1.012202e-07
48	7.760000e-01	0.000000e+00	-3.676525e-07	-3.676525e-07
49	7.920000e-01	0.000000e+00	-2.621474e-07	-2.621474e-07
50	8.080000e-01	0.000000e+00	-2.281197e-07	-2.281197e-07
51	8.240000e-01	0.000000e+00	-1.174160e-07	-1.174160e-07
52	8.400000e-01	0.000000e+00	-1.617673e-07	-1.617673e-07
53	8.560000e-01	0.000000e+00	-1.337051e-07	-1.337051e-07
54	8.720000e-01	0.000000e+00	-1.075548e-07	-1.075548e-07
55	8.880000e-01	0.000000e+00	-1.564844e-07	-1.564844e-07
56	9.040000e-01	0.000000e+00	-2.692592e-07	-2.692592e-07
57	9.200000e-01	0.000000e+00	-1.449249e-07	-1.449249e-07
58	9.360000e-01	0.000000e+00	-1.591263e-07	-1.591263e-07
59	9.520000e-01	0.000000e+00	-8.074266e-08	-8.074266e-08
60	9.680000e-01	0.000000e+00	-8.346396e-08	-8.346396e-08
61	9.840000e-01	0.000000e+00	-1.552132e-07	-1.552132e-07
62	1.000000e+00	0.000000e+00	-1.385224e-07	-1.385224e-07
63	1.016000e+00	0.000000e+00	-1.855506e-07	-1.855506e-07
64	1.032000e+00	0.000000e+00	-1.051131e-07	-1.051131e-07
65	1.048000e+00	0.000000e+00	-2.465672e-07	-2.465672e-07
66	1.064000e+00	0.000000e+00	-1.745659e-07	-1.745659e-07
67	1.080000e+00	0.000000e+00	-4.411001e-08	-4.411001e-08
68	1.096000e+00	0.000000e+00	-6.493179e-08	-6.493179e-08
69	1.112000e+00	0.000000e+00	-9.918121e-08	-9.918121e-08
70	1.128000e+00	0.000000e+00	-2.062939e-07	-2.062939e-07
71	1.144000e+00	0.000000e+00	-1.506372e-07	-1.506372e-07
72	1.160000e+00	0.000000e+00	-2.683523e-07	-2.683523e-07
73	1.176000e+00	0.000000e+00	3.011754e-08	3.011754e-08
74	1.192000e+00	0.000000e+00	4.554795e-09	4.554795e-09
75	1.208000e+00	0.000000e+00	-1.240249e-07	-1.240249e-07
76	1.224000e+00	0.000000e+00	-2.156909e-07	-2.156909e-07
77	1.240000e+00	0.000000e+00	-2.179282e-07	-2.179282e-07
78	1.256000e+00	0.000000e+00	7.061646e-08	7.061646e-08
