# RPC induced signal at BottomReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	0.000000e+00	-1.505621e-12	-1.505621e-12
1	2.400000e-02	0.000000e+00	-2.336774e-12	-2.336774e-12
2	4.000000e-02	0.000000e+00	-5.195651e-13	-5.195651e-13
3	5.600000e-02	0.000000e+00	-1.358147e-12	-1.358147e-12
4	7.200000e-02	0.000000e+00	-4.172385e-12	-4.172385e-12
5	8.800000e-02	0.000000e+00	-1.585079e-12	-1.585079e-12
6	1.040000e-01	0.000000e+00	-6.048617e-13	-6.048617e-13
7	1.200000e-01	0.000000e+00	-1.661723e-12	-1.661723e-12
8	1.360000e-01	0.000000e+00	-9.088247e-14	-9.088247e-14
9	1.520000e-01	0.000000e+00	-2.631039e-12	-2.631039e-12
10	1.680000e-01	0.000000e+00	-1.813501e-12	-1.813501e-12
11	1.840000e-01	0.000000e+00	-1.239010e-12	-1.239010e-12
12	2.000000e-01	0.000000e+00	-1.934605e-12	-1.934605e-12
13	2.160000e-01	0.000000e+00	-1.474577e-12	-1.474577e-12
14	2.320000e-01	0.000000e+00	-2.449353e-12	-2.449353e-12
15	2.480000e-01	0.000000e+00	-1.360482e-12	-1.360482e-12
16	2.640000e-01	0.000000e+00	-1.741611e-12	-1.741611e-12
17	2.800000e-01	0.000000e+00	-1.125705e-12	-1.125705e-12
18	2.960000e-01	0.000000e+00	-2.022177e-13	-2.022177e-13
19	3.120000e-01	0.000000e+00	-8.330887e-13	-8.330887e-13
20	3.280000e-01	0.000000e+00	-1.355998e-12	-1.355998e-12
21	3.440000e-01	0.000000e+00	-2.002603e-12	-2.002603e-12
22	3.600000e-01	0.000000e+00	-2.236692e-12	-2.236692e-12
23	3.760000e-01	0.000000e+00	-2.266540e-12	-2.266540e-12
24	3.920000e-01	0.000000e+00	-2.452596e-12	-2.452596e-12
25	4.080000e-01	0.000000e+00	-1.163866e-12	-1.163866e-12
26	4.240000e-01	0.000000e+00	-1.142284e-12	-1.142284e-12
27	4.400000e-01	0.000000e+00	-7.884221e-13	-7.884221e-13
28	4.560000e-01	0.000000e+00	-6.409558e-13	-6.409558e-13
29	4.720000e-01	0.000000e+00	-1.379699e-12	-1.379699e-12
30	4.880000e-01	0.000000e+00	6.128138e-14	6.128138e-14
31	5.040000e-01	0.000000e+00	-1.020021e-12	-1.020021e-12
32	5.200000e-01	0.000000e+00	-3.694274e-12	-3.694274e-12
33	5.360000e-01	0.000000e+00	-1.837059e-12	-1.837059e-12
34	5.520000e-01	0.000000e+00	-7.876587e-13	-7.876587e-13
35	5.680000e-01	0.000000e+00	-1.539100e-12	-1.539100e-12
36	5.840000e-01	0.000000e+00	-1.943004e-12	-1.943004e-12
37	6.000000e-01	0.000000e+00	-1.007642e-15	-1.007642e-15
38	6.160000e-01	0.000000e+00	9.352743e-13	9.352743e-13
39	6.320000e-01	0.000000e+00	-8.530862e-13	-8.530862e-13
40	6.480000e-01	0.000000e+00	-8.111020e-14	-8.111020e-14
41	6.640000e-01	0.000000e+00	-6.718820e-13	-6.718820e-13
42	6.800000e-01	0.000000e+00	-4.590695e-14	-4.590695e-14
43	6.960000e-01	0.000000e+00	-1.248714e-12	-1.248714e-12
44	7.120000e-01	0.000000e+00	-7.231719e-13	-7.231719e-13
45	7.280000e-01	0.000000e+00	-2.755581e-12	-2.755581e-12
46	7.440000e-01	0.000000e+00	-5.541509e-14	-5.541509e-14
47	7.600000e-01	0.000000e+00	-1.005578e-12	-1.005578e-12
48	7.760000e-01	0.000000e+00	-3.597331e-12	-3.597331e-12
49	7.920000e-01	0.000000e+00	-2.616109e-12	-2.616109e-12
50	8.080000e-01	0.000000e+00	-2.262641e-12	-2.262641e-12
51	8.240000e-01	0.000000e+00	-1.065817e-12	-1.065817e-12
52	8.400000e-01	0.000000e+00	-1.548954e-12	-1.548954e-12
53	8.560000e-01	0.000000e+00	-1.220560e-12	-1.220560e-12
54	8.720000e-01	0.000000e+00	-1.084797e-12	-1.084797e-12
55	8.880000e-01	0.000000e+00	-1.513526e-12	-1.513526e-12
56	9.040000e-01	0.000000e+00	-2.546485e-12	-2.546485e-12
57	9.200000e-01	0.000000e+00	-1.393717e-12	-1.393717e-12
58	9.360000e-01	0.000000e+00	-1.660254e-12	-1.660254e-12
59	9.520000e-01	0.000000e+00	-8.033055e-13	-8.033055e-13
60	9.680000e-01	0.000000e+00	-8.522558e-13	-8.522558e-13
61	9.840000e-01	0.000000e+00	-1.432433e-12	-1.432433e-12
62	1.000000e+00	0.000000e+00	-1.381865e-12	-1.381865e-12
63	1.016000e+00	0.000000e+00	-1.735898e-12	-1.735898e-12
64	1.032000e+00	0.000000e+00	-1.007043e-12	-1.007043e-12
65	1.048000e+00	0.000000e+00	-2.407641e-12	-2.407641e-12
66	1.064000e+00	0.000000e+00	-1.759410e-12	-1.759410e-12
67	1.080000e+00	0.000000e+00	-4.788938e-13	-4.788938e-13
68	1.096000e+00	0.000000e+00	-5.921387e-13	-5.921387e-13
69	1.112000e+00	0.000000e+00	-9.317423e-13	-9.317423e-13
70	1.128000e+00	0.000000e+00	-1.949826e-12	-1.949826e-12
71	1.144000e+00	0.000000e+00	-1.448224e-12	-1.448224e-12
72	1.160000e+00	0.000000e+00	-2.614629e-12	-2.614629e-12
73	1.176000e+00	0.000000e+00	2.286809e-13	2.286809e-13
74	1.192000e+00	0.000000e+00	9.890764e-14	9.890764e-14
75	1.208000e+00	0.000000e+00	-1.253697e-12	-1.253697e-12
76	1.224000e+00	0.000000e+00	-2.154930e-12	-2.154930e-12
77	1.240000e+00	0.000000e+00	-2.052118e-12	-2.052118e-12
78	1.256000e+00	0.000000e+00	6.965654e-13	6.965654e-13
79	1.272000e+00	0.000000e+00	-3.204299e-13	-3.204299e-13
80	1.288000e+00	0.000000e+00	-4.944167e-15	-4.944167e-15
81	1.304000e+00	0.000000e+00	-7.223658e-13	-7.223658e-13
82	1.320000e+00	0.000000e+00	-1.303334e-12	-1.303334e-12
83	1.336000e+00	0.000000e+00	-2.002200e-12	-2.002200e-12
84	1.352000e+00	0.000000e+00	-1.332192e-12	-1.332192e-12
85	1.368000e+00	0.000000e+00	-1.078757e-12	-1.078757e-12
86	1.384000e+00	0.000000e+00	-1.086370e-12	-1.086370e-12
87	1.400000e+00	0.000000e+00	-2.451548e-12	-2.451548e-12
88	1.416000e+00	0.000000e+00	-2.400295e-12	-2.400295e-12
89	1.432000e+00	0.000000e+00	-1.611425e-12	-1.611425e-12
90	1.448000e+00	0.000000e+00	5.057940e-14	5.057940e-14
91	1.464000e+00	0.000000e+00	-8.875969e-13	-8.875969e-13
92	1.480000e+00	0.000000e+00	-3.157065e-14	-3.157065e-14
93	1.496000e+00	0.000000e+00	-1.743024e-12	-1.743024e-12
94	1.512000e+00	0.000000e+00	-1.122488e-12	-1.122488e-12
95	1.528000e+00	0.000000e+00	-1.559497e-12	-1.559497e-12
96	1.544000e+00	0.000000e+00	-1.351380e-14	-1.351380e-14
97	1.560000e+00	0.000000e+00	-4.923097e-13	-4.923097e-13
98	1.576000e+00	0.000000e+00	-5.403443e-14	-5.403443e-14
99	1.592000e+00	0.000000e+00	-8.101180e-13	-8.101180e-13
100	1.608000e+00	0.000000e+00	-2.041692e-12	-2.041692e-12
101	1.624000e+00	0.000000e+00	-2.672308e-12	-2.672308e-12
102	1.640000e+00	0.000000e+00	-1.448240e-12	-1.448240e-12
103	1.656000e+00	0.000000e+00	-4.625304e-12	-4.625304e-12
104	1.672000e+00	0.000000e+00	-3.524960e-12	-3.524960e-12
105	1.688000e+00	0.000000e+00	-3.407733e-12	-3.407733e-12
106	1.704000e+00	0.000000e+00	-3.393640e-12	-3.393640e-12
107	1.720000e+00	0.000000e+00	-2.607311e-12	-2.607311e-12
108	1.736000e+00	0.000000e+00	-1.439761e-12	-1.439761e-12
109	1.752000e+00	0.000000e+00	-2.506163e-13	-2.506163e-13
110	1.768000e+00	0.000000e+00	-1.427884e-12	-1.427884e-12
111	1.784000e+00	0.000000e+00	-2.123551e-12	-2.123551e-12
112	1.800000e+00	0.000000e+00	-3.077699e-13	-3.077699e-13
113	1.816000e+00	0.000000e+00	8.762542e-14	8.762542e-14
114	1.832000e+00	0.000000e+00	-8.005699e-13	-8.005699e-13
115	1.848000e+00	0.000000e+00	-1.229973e-12	-1.229973e-12
116	1.864000e+00	0.000000e+00	-1.774516e-12	-1.774516e-12
117	1.880000e+00	0.000000e+00	-1.574022e-12	-1.574022e-12
118	1.896000e+00	0.000000e+00	-1.491498e-12	-1.491498e-12
119	1.912000e+00	0.000000e+00	-1.447546e-12	-1.447546e-12
120	1.928000e+00	0.000000e+00	-4.265027e-12	-4.265027e-12
121	1.944000e+00	0.000000e+00	-2.710097e-12	-2.710097e-12
122	1.960000e+00	0.000000e+00	-1.346172e-12	-1.346172e-12
123	1.976000e+00	0.000000e+00	-1.586998e-12	-1.586998e-12
124	1.992000e+00	0.000000e+00	-2.545667e-12	-2.545667e-12
125	2.008000e+00	0.000000e+00	-2.514548e-12	-2.514548e-12
126	2.024000e+00	0.000000e+00	4.983257e-13	4.983257e-13
127	2.040000e+00	0.000000e+00	-9.997810e-13	-9.997810e-13
128	2.056000e+00	0.000000e+00	-3.717911e-12	-3.717911e-12
129	2.072000e+00	0.000000e+00	-2.174733e-12	-2.174733e-12
130	2.088000e+00	0.000000e+00	-1.669674e-12	-1.669674e-12
131	2.104000e+00	0.000000e+00	-1.469382e-12	-1.469382e-12
132	2.120000e+00	0.000000e+00	-1.814603e-12	-1.814603e-12
133	2.136000e+00	0.000000e+00	3.512050e-13	3.512050e-13
134	2.152000e+00	0.000000e+00	-3.802079e-12	-3.802079e-12
135	2.168000e+00	0.000000e+00	-2.884829e-12	-2.884829e-12
136	2.184000e+00	0.000000e+00	-1.706756e-12	-1.706756e-12
137	2.200000e+00	0.000000e+00	-8.608674e-13	-8.608674e-13
138	2.216000e+00	0.000000e+00	-2.171036e-12	-2.171036e-12
139	2.232000e+00	0.000000e+00	-1.491338e-12	-1.491338e-12
140	2.248000e+00	0.000000e+00	7.341939e-13	7.341939e-13
141	2.264000e+00	0.000000e+00	-1.278913e-12	-1.278913e-12
142	2.280000e+00	0.000000e+00	-1.666935e-12	-1.666935e-12
143	2.296000e+00	0.000000e+00	-1.103273e-12	-1.103273e-12
144	2.312000e+00	0.000000e+00	-7.678164e-13	-7.678164e-13
145	2.328000e+00	0.000000e+00	-2.252541e-12	-2.252541e-12
146	2.344000e+00	0.000000e+00	-3.303933e-12	-3.303933e-12
147	2.360000e+00	0.000000e+00	-1.701542e-12	-1.701542e-12
148	2.376000e+00	0.000000e+00	-4.809104e-13	-4.809104e-13
149	2.392000e+00	0.000000e+00	8.795913e-13	8.795913e-13
150	2.408000e+00	0.000000e+00	-6.731933e-13	-6.731933e-13
151	2.424000e+00	0.000000e+00	-1.693742e-12	-1.693742e-12
152	2.440000e+00	0.000000e+00	-1.208466e-12	-1.208466e-12
153	2.456000e+00	0.000000e+00	-1.549613e-12	-1.549613e-12
154	2.472000e+00	0.000000e+00	-2.018829e-12	-2.018829e-12
155	2.488000e+00	0.000000e+00	-1.978462e-12	-1.978462e-12
156	2.504000e+00	0.000000e+00	-1.515002e-12	-1.515002e-12
157	2.520000e+00	0.000000e+00	-1.160935e-12	-1.160935e-12
158	2.536000e+00	0.000000e+00	-2.147234e-12	-2.147234e-12
159	2.552000e+00	0.000000e+00	-1.492981e-12	-1.492981e-12
160	2.568000e+00	0.000000e+00	-1.500522e-12	-1.500522e-12
161	2.584000e+00	0.000000e+00	-2.523484e-12	-2.523484e-12
162	2.600000e+00	0.000000e+00	-1.784588e-12	-1.784588e-12
163	2.616000e+00	0.000000e+00	-7.409840e-13	-7.409840e-13
164	2.632000e+00	0.000000e+00	-3.374794e-13	-3.374794e-13
165	2.648000e+00	0.000000e+00	-3.057326e-12	-3.057326e-12
166	2.664000e+00	0.000000e+00	-1.080838e-12	-1.080838e-12
167	2.680000e+00	0.000000e+00	-8.166623e-13	-8.166623e-13
168	2.696000e+00	0.000000e+00	-1.850477e-12	-1.850477e-12
169	2.712000e+00	0.000000e+00	-1.713146e-12	-1.713146e-12
170	2.728000e+00	0.000000e+00	-1.364381e-12	-1.364381e-12
171	2.744000e+00	0.000000e+00	-2.768960e-13	-2.768960e-13
172	2.760000e+00	0.000000e+00	-2.293919e-12	-2.293919e-12
173	2.776000e+00	0.000000e+00	-2.463002e-12	-2.463002e-12
174	2.792000e+00	0.000000e+00	-2.260293e-12	-2.260293e-12
175	2.808000e+00	0.000000e+00	-1.599458e-12	-1.599458e-12
176	2.824000e+00	0.000000e+00	-2.250036e-12	-2.250036e-12
177	2.840000e+00	0.000000e+00	2.069308e-14	2.069308e-14
178	2.856000e+00	0.000000e+00	-1.782128e-12	-1.782128e-12
179	2.872000e+00	0.000000e+00	-2.284723e-12	-2.284723e-12
180	2.888000e+00	0.000000e+00	-1.921912e-12	-1.921912e-12
181	2.904000e+00	0.000000e+00	-1.104833e-12	-1.104833e-12
182	2.920000e+00	0.000000e+00	-1.644007e-12	-1.644007e-12
183	2.936000e+00	0.000000e+00	-2.106287e-12	-2.106287e-12
184	2.952000e+00	0.000000e+00	-1.832736e-12	-1.832736e-12
185	2.968000e+00	0.000000e+00	-5.291387e-13	-5.291387e-13
186	2.984000e+00	0.000000e+00	-8.752556e-13	-8.752556e-13
187	3.000000e+00	0.000000e+00	-2.008550e-12	-2.008550e-12
188	3.016000e+00	0.000000e+00	-2.959320e-12	-2.959320e-12
189	3.032000e+00	0.000000e+00	-1.252382e-13	-1.252382e-13
190	3.048000e+00	0.000000e+00	2.389674e-14	2.389674e-14
191	3.064000e+00	0.000000e+00	-2.197550e-12	-2.197550e-12
192	3.080000e+00	0.000000e+00	8.524675e-14	8.524675e-14
193	3.096000e+00	0.000000e+00	-6.349917e-13	-6.349917e-13
194	3.112000e+00	0.000000e+00	-1.766291e-12	-1.766291e-12
195	3.128000e+00	0.000000e+00	-1.787379e-12	-1.787379e-12
196	3.144000e+00	0.000000e+00	-9.715477e-13	-9.715477e-13
197	3.160000e+00	0.000000e+00	-3.287275e-12	-3.287275e-12
198	3.176000e+00	0.000000e+00	-2.117187e-12	-2.117187e-12
199	3.192000e+00	0.000000e+00	-3.164152e-12	-3.164152e-12
200	3.208000e+00	0.000000e+00	-2.247873e-12	-2.247873e-12
201	3.224000e+00	0.000000e+00	-2.931334e-12	-2.931334e-12
202	3.240000e+00	0.000000e+00	-3.225830e-12	-3.225830e-12
203	3.256000e+00	0.000000e+00	-2.002160e-12	-2.002160e-12
204	3.272000e+00	0.000000e+00	-2.298954e-12	-2.298954e-12
205	3.288000e+00	0.000000e+00	-1.475948e-12	-1.475948e-12
206	3.304000e+00	0.000000e+00	-1.535040e-12	-1.535040e-12
207	3.320000e+00	0.000000e+00	-2.365781e-12	-2.365781e-12
208	3.336000e+00	0.000000e+00	-8.891256e-13	-8.891256e-13
209	3.352000e+00	0.000000e+00	-1.194776e-12	-1.194776e-12
210	3.368000e+00	0.000000e+00	-6.517866e-13	-6.517866e-13
211	3.384000e+00	0.000000e+00	-1.434275e-12	-1.434275e-12
212	3.400000e+00	0.000000e+00	-6.480215e-13	-6.480215e-13
213	3.416000e+00	0.000000e+00	-1.359501e-12	-1.359501e-12
214	3.432000e+00	0.000000e+00	-3.961361e-12	-3.961361e-12
215	3.448000e+00	0.000000e+00	-2.082811e-12	-2.082811e-12
216	3.464000e+00	0.000000e+00	-1.786126e-12	-1.786126e-12
217	3.480000e+00	0.000000e+00	-1.289893e-13	-1.289893e-13
218	3.496000e+00	0.000000e+00	-1.595783e-12	-1.595783e-12
219	3.512000e+00	0.000000e+00	2.310836e-13	2.310836e-13
220	3.528000e+00	0.000000e+00	-1.706424e-12	-1.706424e-12
221	3.544000e+00	0.000000e+00	-7.632337e-13	-7.632337e-13
222	3.560000e+00	0.000000e+00	-3.995253e-13	-3.995253e-13
223	3.576000e+00	0.000000e+00	1.538583e-13	1.538583e-13
224	3.592000e+00	0.000000e+00	-1.576346e-12	-1.576346e-12
225	3.608000e+00	0.000000e+00	-2.298282e-12	-2.298282e-12
226	3.624000e+00	0.000000e+00	-1.720524e-12	-1.720524e-12
227	3.640000e+00	0.000000e+00	-4.519347e-12	-4.519347e-12
228	3.656000e+00	0.000000e+00	-2.635276e-12	-2.635276e-12
229	3.672000e+00	0.000000e+00	-2.060737e-12	-2.060737e-12
230	3.688000e+00	0.000000e+00	-1.847423e-12	-1.847423e-12
231	3.704000e+00	0.000000e+00	-2.376552e-12	-2.376552e-12
232	3.720000e+00	0.000000e+00	-1.719033e-12	-1.719033e-12
233	3.736000e+00	0.000000e+00	-1.059834e-12	-1.059834e-12
234	3.752000e+00	0.000000e+00	-9.480598e-13	-9.480598e-13
235	3.768000e+00	0.000000e+00	-2.920373e-12	-2.920373e-12
236	3.784000e+00	0.000000e+00	1.458565e-13	1.458565e-13
237	3.800000e+00	0.000000e+00	1.831698e-13	1.831698e-13
238	3.816000e+00	0.000000e+00	-1.632383e-12	-1.632383e-12
239	3.832000e+00	0.000000e+00	-1.910503e-12	-1.910503e-12
240	3.848000e+00	0.000000e+00	-2.067600e-12	-2.067600e-12
241	3.864000e+00	0.000000e+00	-2.840245e-12	-2.840245e-12
242	3.880000e+00	0.000000e+00	-3.504516e-13	-3.504516e-13
243	3.896000e+00	0.000000e+00	-9.059139e-13	-9.059139e-13
244	3.912000e+00	0.000000e+00	-1.482381e-12	-1.482381e-12
245	3.928000e+00	0.000000e+00	-2.647189e-12	-2.647189e-12
246	3.944000e+00	0.000000e+00	-7.917097e-13	-7.917097e-13
247	3.960000e+00	0.000000e+00	-2.062625e-12	-2.062625e-12
248	3.976000e+00	0.000000e+00	-2.356677e-12	-2.356677e-12
249	3.992000e+00	0.000000e+00	-9.779747e-13	-9.779747e-13
250	4.008000e+00	0.000000e+00	-4.778263e-13	-4.778263e-13
251	4.024000e+00	0.000000e+00	-1.852025e-12	-1.852025e-12
252	4.040000e+00	0.000000e+00	-1.503675e-12	-1.503675e-12
253	4.056000e+00	0.000000e+00	-1.819674e-12	-1.819674e-12
254	4.072000e+00	0.000000e+00	-2.859304e-12	-2.859304e-12
255	4.088000e+00	0.000000e+00	-2.787209e-12	-2.787209e-12
256	4.104000e+00	0.000000e+00	-1.530005e-12	-1.530005e-12
257	4.120000e+00	0.000000e+00	-1.512675e-12	-1.512675e-12
258	4.136000e+00	0.000000e+00	-1.952642e-12	-1.952642e-12
259	4.152000e+00	0.000000e+00	-2.345167e-12	-2.345167e-12
260	4.168000e+00	0.000000e+00	-2.485292e-12	-2.485292e-12
261	4.184000e+00	0.000000e+00	-1.214781e-12	-1.214781e-12
262	4.200000e+00	0.000000e+00	6.730272e-13	6.730272e-13
263	4.216000e+00	0.000000e+00	-1.055156e-12	-1.055156e-12
264	4.232000e+00	0.000000e+00	-2.311973e-12	-2.311973e-12
265	4.248000e+00	0.000000e+00	-2.699501e-12	-2.699501e-12
266	4.264000e+00	0.000000e+00	-1.214152e-12	-1.214152e-12
267	4.280000e+00	0.000000e+00	-1.136018e-12	-1.136018e-12
268	4.296000e+00	0.000000e+00	4.864897e-14	4.864897e-14
269	4.312000e+00	0.000000e+00	-1.582574e-12	-1.582574e-12
270	4.328000e+00	0.000000e+00	-1.816041e-12	-1.816041e-12
271	4.344000e+00	0.000000e+00	-1.021592e-12	-1.021592e-12
272	4.360000e+00	0.000000e+00	-1.592370e-12	-1.592370e-12
273	4.376000e+00	0.000000e+00	-2.606094e-12	-2.606094e-12
274	4.392000e+00	0.000000e+00	-1.694208e-12	-1.694208e-12
275	4.408000e+00	0.000000e+00	4.381238e-13	4.381238e-13
276	4.424000e+00	0.000000e+00	-1.184887e-12	-1.184887e-12
277	4.440000e+00	0.000000e+00	-3.069374e-12	-3.069374e-12
278	4.456000e+00	0.000000e+00	-2.477350e-12	-2.477350e-12
279	4.472000e+00	0.000000e+00	-1.483340e-12	-1.483340e-12
280	4.488000e+00	0.000000e+00	-1.999869e-12	-1.999869e-12
281	4.504000e+00	0.000000e+00	-3.425966e-13	-3.425966e-13
282	4.520000e+00	0.000000e+00	-9.601894e-13	-9.601894e-13
283	4.536000e+00	0.000000e+00	-1.642376e-12	-1.642376e-12
284	4.552000e+00	0.000000e+00	-1.219603e-12	-1.219603e-12
285	4.568000e+00	0.000000e+00	-1.584345e-12	-1.584345e-12
286	4.584000e+00	0.000000e+00	-1.279037e-12	-1.279037e-12
287	4.600000e+00	0.000000e+00	-1.188840e-12	-1.188840e-12
288	4.616000e+00	0.000000e+00	-1.964091e-12	-1.964091e-12
289	4.632000e+00	0.000000e+00	-1.588663e-12	-1.588663e-12
290	4.648000e+00	0.000000e+00	-4.422846e-13	-4.422846e-13
291	4.664000e+00	0.000000e+00	-2.289148e-12	-2.289148e-12
292	4.680000e+00	0.000000e+00	-2.316634e-12	-2.316634e-12
293	4.696000e+00	0.000000e+00	-1.527167e-12	-1.527167e-12
294	4.712000e+00	0.000000e+00	-3.015856e-13	-3.015856e-13
295	4.728000e+00	0.000000e+00	-2.011326e-12	-2.011326e-12
296	4.744000e+00	0.000000e+00	-2.858092e-12	-2.858092e-12
297	4.760000e+00	0.000000e+00	-8.741144e-13	-8.741144e-13
298	4.776000e+00	0.000000e+00	-1.630469e-12	-1.630469e-12
299	4.792000e+00	0.000000e+00	-1.162184e-12	-1.162184e-12
300	4.808000e+00	0.000000e+00	-1.686548e-12	-1.686548e-12
301	4.824000e+00	0.000000e+00	-2.305282e-12	-2.305282e-12
302	4.840000e+00	0.000000e+00	-1.621345e-12	-1.621345e-12
303	4.856000e+00	0.000000e+00	-1.337376e-12	-1.337376e-12
304	4.872000e+00	0.000000e+00	-2.231173e-12	-2.231173e-12
305	4.888000e+00	0.000000e+00	-1.051434e-12	-1.051434e-12
306	4.904000e+00	0.000000e+00	6.986761e-13	6.986761e-13
307	4.920000e+00	0.000000e+00	-1.522962e-12	-1.522962e-12
308	4.936000e+00	0.000000e+00	-9.628196e-13	-9.628196e-13
309	4.952000e+00	0.000000e+00	-9.657706e-13	-9.657706e-13
310	4.968000e+00	0.000000e+00	-1.648100e-12	-1.648100e-12
311	4.984000e+00	0.000000e+00	-1.087446e-12	-1.087446e-12
312	5.000000e+00	0.000000e+00	-3.254639e-12	-3.254639e-12
313	5.016000e+00	0.000000e+00	-3.111261e-13	-3.111261e-13
314	5.032000e+00	0.000000e+00	-1.124671e-12	-1.124671e-12
315	5.048000e+00	0.000000e+00	-1.533261e-12	-1.533261e-12
316	5.064000e+00	0.000000e+00	-2.412751e-12	-2.412751e-12
317	5.080000e+00	0.000000e+00	-2.738469e-12	-2.738469e-12
318	5.096000e+00	0.000000e+00	-5.862797e-13	-5.862797e-13
319	5.112000e+00	0.000000e+00	-1.436953e-12	-1.436953e-12
320	5.128000e+00	0.000000e+00	-2.139438e-12	-2.139438e-12
321	5.144000e+00	0.000000e+00	-6.023039e-13	-6.023039e-13
322	5.160000e+00	0.000000e+00	-1.019015e-12	-1.019015e-12
323	5.176000e+00	0.000000e+00	3.063144e-13	3.063144e-13
324	5.192000e+00	0.000000e+00	-3.036238e-13	-3.036238e-13
325	5.208000e+00	0.000000e+00	-2.269804e-12	-2.269804e-12
326	5.224000e+00	0.000000e+00	-1.567981e-12	-1.567981e-12
327	5.240000e+00	0.000000e+00	-2.716740e-13	-2.716740e-13
328	5.256000e+00	0.000000e+00	-4.754755e-13	-4.754755e-13
329	5.272000e+00	0.000000e+00	-3.079217e-13	-3.079217e-13
330	5.288000e+00	0.000000e+00	-1.505703e-12	-1.505703e-12
331	5.304000e+00	0.000000e+00	-2.047937e-12	-2.047937e-12
332	5.320000e+00	0.000000e+00	-2.946410e-12	-2.946410e-12
333	5.336000e+00	0.000000e+00	-1.229409e-12	-1.229409e-12
334	5.352000e+00	0.000000e+00	-4.714646e-13	-4.714646e-13
335	5.368000e+00	0.000000e+00	-1.895516e-12	-1.895516e-12
336	5.384000e+00	0.000000e+00	-9.999790e-15	-9.999790e-15
337	5.400000e+00	0.000000e+00	-9.261079e-13	-9.261079e-13
338	5.416000e+00	0.000000e+00	-1.322758e-12	-1.322758e-12
339	5.432000e+00	0.000000e+00	-2.735117e-12	-2.735117e-12
340	5.448000e+00	0.000000e+00	-4.087974e-13	-4.087974e-13
341	5.464000e+00	0.000000e+00	-1.646550e-12	-1.646550e-12
342	5.480000e+00	0.000000e+00	-1.434440e-12	-1.434440e-12
343	5.496000e+00	0.000000e+00	-3.574488e-13	-3.574488e-13
344	5.512000e+00	0.000000e+00	3.870357e-13	3.870357e-13
345	5.528000e+00	0.000000e+00	-5.869801e-13	-5.869801e-13
346	5.544000e+00	0.000000e+00	-7.571404e-13	-7.571404e-13
347	5.560000e+00	0.000000e+00	-3.901104e-13	-3.901104e-13
348	5.576000e+00	0.000000e+00	-1.817546e-12	-1.817546e-12
349	5.592000e+00	0.000000e+00	-2.102533e-12	-2.102533e-12
350	5.608000e+00	0.000000e+00	-5.744401e-13	-5.744401e-13
351	5.624000e+00	0.000000e+00	-1.918363e-12	-1.918363e-12
352	5.640000e+00	0.000000e+00	-1.763139e-12	-1.763139e-12
353	5.656000e+00	0.000000e+00	-4.844207e-13	-4.844207e-13
354	5.672000e+00	0.000000e+00	-1.372802e-12	-1.372802e-12
355	5.688000e+00	0.000000e+00	-1.102362e-12	-1.102362e-12
356	5.704000e+00	0.000000e+00	-2.733122e-12	-2.733122e-12
357	5.720000e+00	0.000000e+00	-8.061049e-13	-8.061049e-13
358	5.736000e+00	0.000000e+00	-1.230315e-12	-1.230315e-12
359	5.752000e+00	0.000000e+00	-2.995562e-13	-2.995562e-13
360	5.768000e+00	0.000000e+00	-1.690355e-12	-1.690355e-12
361	5.784000e+00	0.000000e+00	-1.922247e-12	-1.922247e-12
362	5.800000e+00	0.000000e+00	-2.737551e-12	-2.737551e-12
363	5.816000e+00	0.000000e+00	-2.270293e-12	-2.270293e-12
364	5.832000e+00	0.000000e+00	-1.346740e-12	-1.346740e-12
365	5.848000e+00	0.000000e+00	-9.098780e-13	-9.098780e-13
366	5.864000e+00	0.000000e+00	-8.305899e-13	-8.305899e-13
367	5.880000e+00	0.000000e+00	-1.404760e-12	-1.404760e-12
