# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	0.000000e+00	1.499386e-07	1.499386e-07
1	2.400000e-02	0.000000e+00	2.404284e-07	2.404284e-07
2	4.000000e-02	0.000000e+00	5.275553e-08	5.275553e-08
3	5.600000e-02	0.000000e+00	1.371938e-07	1.371938e-07
4	7.200000e-02	0.000000e+00	4.271177e-07	4.271177e-07
5	8.800000e-02	0.000000e+00	1.563942e-07	1.563942e-07
6	1.040000e-01	0.000000e+00	6.306921e-08	6.306921e-08
7	1.200000e-01	0.000000e+00	1.802733e-07	1.802733e-07
8	1.360000e-01	0.000000e+00	2.677736e-09	2.677736e-09
9	1.520000e-01	0.000000e+00	2.734600e-07	2.734600e-07
10	1.680000e-01	0.000000e+00	1.791877e-07	1.791877e-07
11	1.840000e-01	0.000000e+00	1.240123e-07	1.240123e-07
12	2.000000e-01	0.000000e+00	1.897605e-07	1.897605e-07
13	2.160000e-01	0.000000e+00	1.489328e-07	1.489328e-07
14	2.320000e-01	0.000000e+00	2.390218e-07	2.390218e-07
15	2.480000e-01	0.000000e+00	1.392494e-07	1.392494e-07
16	2.640000e-01	0.000000e+00	1.832124e-07	1.832124e-07
17	2.800000e-01	0.000000e+00	1.227721e-07	1.227721e-07
18	2.960000e-01	0.000000e+00	1.849488e-08	1.849488e-08
19	3.120000e-01	0.000000e+00	7.822837e-08	7.822837e-08
20	3.280000e-01	0.000000e+00	1.353492e-07	1.353492e-07
21	3.440000e-01	0.000000e+00	2.095423e-07	2.095423e-07
22	3.600000e-01	0.000000e+00	2.253853e-07	2.253853e-07
23	3.760000e-01	0.000000e+00	2.286484e-07	2.286484e-07
24	3.920000e-01	0.000000e+00	2.523982e-07	2.523982e-07
25	4.080000e-01	0.000000e+00	1.234673e-07	1.234673e-07
26	4.240000e-01	0.000000e+00	1.062573e-07	1.062573e-07
27	4.400000e-01	0.000000e+00	8.052819e-08	8.052819e-08
28	4.560000e-01	0.000000e+00	6.733183e-08	6.733183e-08
29	4.720000e-01	0.000000e+00	1.483979e-07	1.483979e-07
30	4.880000e-01	0.000000e+00	-1.226917e-08	-1.226917e-08
31	5.040000e-01	0.000000e+00	1.116205e-07	1.116205e-07
32	5.200000e-01	0.000000e+00	3.779747e-07	3.779747e-07
33	5.360000e-01	0.000000e+00	1.881889e-07	1.881889e-07
34	5.520000e-01	0.000000e+00	7.514991e-08	7.514991e-08
35	5.680000e-01	0.000000e+00	1.603499e-07	1.603499e-07
36	5.840000e-01	0.000000e+00	2.031032e-07	2.031032e-07
37	6.000000e-01	0.000000e+00	-4.228143e-09	-4.228143e-09
38	6.160000e-01	0.000000e+00	-9.448385e-08	-9.448385e-08
39	6.320000e-01	0.000000e+00	8.379038e-08	8.379038e-08
40	6.480000e-01	0.000000e+00	3.931527e-09	3.931527e-09
41	6.640000e-01	0.000000e+00	6.486068e-08	6.486068e-08
42	6.800000e-01	0.000000e+00	5.617572e-09	5.617572e-09
43	6.960000e-01	0.000000e+00	1.215740e-07	1.215740e-07
44	7.120000e-01	0.000000e+00	7.298200e-08	7.298200e-08
45	7.280000e-01	0.000000e+00	2.889953e-07	2.889953e-07
46	7.440000e-01	0.000000e+00	-2.940465e-09	-2.940465e-09
47	7.600000e-01	0.000000e+00	1.012212e-07	1.012212e-07
48	7.760000e-01	0.000000e+00	3.676562e-07	3.676562e-07
49	7.920000e-01	0.000000e+00	2.621500e-07	2.621500e-07
50	8.080000e-01	0.000000e+00	2.281220e-07	2.281220e-07
51	8.240000e-01	0.000000e+00	1.174170e-07	1.174170e-07
52	8.400000e-01	0.000000e+00	1.617689e-07	1.617689e-07
53	8.560000e-01	0.000000e+00	1.337064e-07	1.337064e-07
54	8.720000e-01	0.000000e+00	1.075559e-07	1.075559e-07
55	8.880000e-01	0.000000e+00	1.564859e-07	1.564859e-07
56	9.040000e-01	0.000000e+00	2.692617e-07	2.692617e-07
57	9.200000e-01	0.000000e+00	1.449264e-07	1.449264e-07
58	9.360000e-01	0.000000e+00	1.591278e-07	1.591278e-07
59	9.520000e-01	0.000000e+00	8.074343e-08	8.074343e-08
60	9.680000e-01	0.000000e+00	8.346489e-08	8.346489e-08
61	9.840000e-01	0.000000e+00	1.552146e-07	1.552146e-07
62	1.000000e+00	0.000000e+00	1.385237e-07	1.385237e-07
63	1.016000e+00	0.000000e+00	1.855523e-07	1.855523e-07
64	1.032000e+00	0.000000e+00	1.051140e-07	1.051140e-07
65	1.048000e+00	0.000000e+00	2.465696e-07	2.465696e-07
66	1.064000e+00	0.000000e+00	1.745677e-07	1.745677e-07
67	1.080000e+00	0.000000e+00	4.411051e-08	4.411051e-08
68	1.096000e+00	0.000000e+00	6.493237e-08	6.493237e-08
69	1.112000e+00	0.000000e+00	9.918217e-08	9.918217e-08
70	1.128000e+00	0.000000e+00	2.062959e-07	2.062959e-07
71	1.144000e+00	0.000000e+00	1.506386e-07	1.506386e-07
72	1.160000e+00	0.000000e+00	2.683548e-07	2.683548e-07
73	1.176000e+00	0.000000e+00	-3.011772e-08	-3.011772e-08
74	1.192000e+00	0.000000e+00	-4.554858e-09	-4.554858e-09
75	1.208000e+00	0.000000e+00	1.240261e-07	1.240261e-07
76	1.224000e+00	0.000000e+00	2.156931e-07	2.156931e-07
77	1.240000e+00	0.000000e+00	2.179302e-07	2.179302e-07
78	1.256000e+00	0.000000e+00	-7.061720e-08	-7.061720e-08
79	1.272000e+00	0.000000e+00	3.434914e-08	3.434914e-08
80	1.288000e+00	0.000000e+00	5.158609e-09	5.158609e-09
81	1.304000e+00	0.000000e+00	8.249431e-08	8.249431e-08
82	1.320000e+00	0.000000e+00	1.277233e-07	1.277233e-07
83	1.336000e+00	0.000000e+00	2.025029e-07	2.025029e-07
84	1.352000e+00	0.000000e+00	1.305932e-07	1.305932e-07
85	1.368000e+00	0.000000e+00	1.180502e-07	1.180502e-07
86	1.384000e+00	0.000000e+00	1.013932e-07	1.013932e-07
87	1.400000e+00	0.000000e+00	2.533474e-07	2.533474e-07
88	1.416000e+00	0.000000e+00	2.422273e-07	2.422273e-07
89	1.432000e+00	0.000000e+00	1.640708e-07	1.640708e-07
90	1.448000e+00	0.000000e+00	-1.603325e-09	-1.603325e-09
91	1.464000e+00	0.000000e+00	9.047602e-08	9.047602e-08
92	1.480000e+00	0.000000e+00	6.186551e-09	6.186551e-09
93	1.496000e+00	0.000000e+00	1.875065e-07	1.875065e-07
94	1.512000e+00	0.000000e+00	1.104650e-07	1.104650e-07
95	1.528000e+00	0.000000e+00	1.616119e-07	1.616119e-07
96	1.544000e+00	0.000000e+00	6.078145e-09	6.078145e-09
97	1.560000e+00	0.000000e+00	5.454910e-08	5.454910e-08
98	1.576000e+00	0.000000e+00	8.527075e-09	8.527075e-09
99	1.592000e+00	0.000000e+00	7.921371e-08	7.921371e-08
100	1.608000e+00	0.000000e+00	2.108706e-07	2.108706e-07
101	1.624000e+00	0.000000e+00	2.702950e-07	2.702950e-07
102	1.640000e+00	0.000000e+00	1.436873e-07	1.436873e-07
103	1.656000e+00	0.000000e+00	4.737706e-07	4.737706e-07
104	1.672000e+00	0.000000e+00	3.667078e-07	3.667078e-07
105	1.688000e+00	0.000000e+00	3.477020e-07	3.477020e-07
106	1.704000e+00	0.000000e+00	3.442351e-07	3.442351e-07
107	1.720000e+00	0.000000e+00	2.730451e-07	2.730451e-07
108	1.736000e+00	0.000000e+00	1.434843e-07	1.434843e-07
109	1.752000e+00	0.000000e+00	2.755099e-08	2.755099e-08
110	1.768000e+00	0.000000e+00	1.414500e-07	1.414500e-07
111	1.784000e+00	0.000000e+00	2.225408e-07	2.225408e-07
112	1.800000e+00	0.000000e+00	3.068914e-08	3.068914e-08
113	1.816000e+00	0.000000e+00	-1.242303e-08	-1.242303e-08
114	1.832000e+00	0.000000e+00	8.430767e-08	8.430767e-08
115	1.848000e+00	0.000000e+00	1.310190e-07	1.310190e-07
116	1.864000e+00	0.000000e+00	1.777034e-07	1.777034e-07
117	1.880000e+00	0.000000e+00	1.706302e-07	1.706302e-07
118	1.896000e+00	0.000000e+00	1.597903e-07	1.597903e-07
119	1.912000e+00	0.000000e+00	1.372530e-07	1.372530e-07
120	1.928000e+00	0.000000e+00	4.444436e-07	4.444436e-07
121	1.944000e+00	0.000000e+00	2.769565e-07	2.769565e-07
122	1.960000e+00	0.000000e+00	1.243804e-07	1.243804e-07
123	1.976000e+00	0.000000e+00	1.648483e-07	1.648483e-07
124	1.992000e+00	0.000000e+00	2.636045e-07	2.636045e-07
125	2.008000e+00	0.000000e+00	2.604085e-07	2.604085e-07
126	2.024000e+00	0.000000e+00	-5.641304e-08	-5.641304e-08
127	2.040000e+00	0.000000e+00	1.018143e-07	1.018143e-07
128	2.056000e+00	0.000000e+00	3.875360e-07	3.875360e-07
129	2.072000e+00	0.000000e+00	2.200703e-07	2.200703e-07
130	2.088000e+00	0.000000e+00	1.667854e-07	1.667854e-07
131	2.104000e+00	0.000000e+00	1.477825e-07	1.477825e-07
132	2.120000e+00	0.000000e+00	1.864532e-07	1.864532e-07
133	2.136000e+00	0.000000e+00	-3.801940e-08	-3.801940e-08
134	2.152000e+00	0.000000e+00	3.854823e-07	3.854823e-07
135	2.168000e+00	0.000000e+00	2.867649e-07	2.867649e-07
136	2.184000e+00	0.000000e+00	1.686725e-07	1.686725e-07
137	2.200000e+00	0.000000e+00	9.011236e-08	9.011236e-08
138	2.216000e+00	0.000000e+00	2.241165e-07	2.241165e-07
139	2.232000e+00	0.000000e+00	1.476559e-07	1.476559e-07
140	2.248000e+00	0.000000e+00	-8.158884e-08	-8.158884e-08
141	2.264000e+00	0.000000e+00	1.283453e-07	1.283453e-07
142	2.280000e+00	0.000000e+00	1.740228e-07	1.740228e-07
143	2.296000e+00	0.000000e+00	1.204718e-07	1.204718e-07
144	2.312000e+00	0.000000e+00	7.512319e-08	7.512319e-08
145	2.328000e+00	0.000000e+00	2.357284e-07	2.357284e-07
146	2.344000e+00	0.000000e+00	3.359551e-07	3.359551e-07
147	2.360000e+00	0.000000e+00	1.731714e-07	1.731714e-07
148	2.376000e+00	0.000000e+00	4.896500e-08	4.896500e-08
149	2.392000e+00	0.000000e+00	-9.577628e-08	-9.577628e-08
150	2.408000e+00	0.000000e+00	6.241974e-08	6.241974e-08
151	2.424000e+00	0.000000e+00	1.792243e-07	1.792243e-07
152	2.440000e+00	0.000000e+00	1.311305e-07	1.311305e-07
153	2.456000e+00	0.000000e+00	1.510969e-07	1.510969e-07
154	2.472000e+00	0.000000e+00	2.073562e-07	2.073562e-07
155	2.488000e+00	0.000000e+00	2.025616e-07	2.025616e-07
156	2.504000e+00	0.000000e+00	1.579604e-07	1.579604e-07
157	2.520000e+00	0.000000e+00	1.269263e-07	1.269263e-07
158	2.536000e+00	0.000000e+00	2.094055e-07	2.094055e-07
159	2.552000e+00	0.000000e+00	1.585305e-07	1.585305e-07
160	2.568000e+00	0.000000e+00	1.569657e-07	1.569657e-07
161	2.584000e+00	0.000000e+00	2.557476e-07	2.557476e-07
162	2.600000e+00	0.000000e+00	1.893173e-07	1.893173e-07
163	2.616000e+00	0.000000e+00	7.771090e-08	7.771090e-08
164	2.632000e+00	0.000000e+00	3.167050e-08	3.167050e-08
165	2.648000e+00	0.000000e+00	3.082999e-07	3.082999e-07
166	2.664000e+00	0.000000e+00	1.057428e-07	1.057428e-07
167	2.680000e+00	0.000000e+00	7.896989e-08	7.896989e-08
168	2.696000e+00	0.000000e+00	1.892345e-07	1.892345e-07
169	2.712000e+00	0.000000e+00	1.829005e-07	1.829005e-07
170	2.728000e+00	0.000000e+00	1.407621e-07	1.407621e-07
171	2.744000e+00	0.000000e+00	2.049019e-08	2.049019e-08
172	2.760000e+00	0.000000e+00	2.398029e-07	2.398029e-07
173	2.776000e+00	0.000000e+00	2.403908e-07	2.403908e-07
174	2.792000e+00	0.000000e+00	2.221308e-07	2.221308e-07
175	2.808000e+00	0.000000e+00	1.707852e-07	1.707852e-07
176	2.824000e+00	0.000000e+00	2.326152e-07	2.326152e-07
177	2.840000e+00	0.000000e+00	-8.443277e-09	-8.443277e-09
178	2.856000e+00	0.000000e+00	1.739474e-07	1.739474e-07
179	2.872000e+00	0.000000e+00	2.388228e-07	2.388228e-07
180	2.888000e+00	0.000000e+00	2.074074e-07	2.074074e-07
181	2.904000e+00	0.000000e+00	1.069651e-07	1.069651e-07
182	2.920000e+00	0.000000e+00	1.612529e-07	1.612529e-07
183	2.936000e+00	0.000000e+00	2.194458e-07	2.194458e-07
184	2.952000e+00	0.000000e+00	1.838876e-07	1.838876e-07
185	2.968000e+00	0.000000e+00	5.586794e-08	5.586794e-08
186	2.984000e+00	0.000000e+00	9.527120e-08	9.527120e-08
187	3.000000e+00	0.000000e+00	2.040571e-07	2.040571e-07
188	3.016000e+00	0.000000e+00	3.057556e-07	3.057556e-07
189	3.032000e+00	0.000000e+00	4.562439e-09	4.562439e-09
190	3.048000e+00	0.000000e+00	2.682006e-10	2.682006e-10
191	3.064000e+00	0.000000e+00	2.314802e-07	2.314802e-07
192	3.080000e+00	0.000000e+00	-8.894406e-09	-8.894406e-09
193	3.096000e+00	0.000000e+00	5.193265e-08	5.193265e-08
194	3.112000e+00	0.000000e+00	1.818637e-07	1.818637e-07
195	3.128000e+00	0.000000e+00	1.851843e-07	1.851843e-07
196	3.144000e+00	0.000000e+00	1.058418e-07	1.058418e-07
197	3.160000e+00	0.000000e+00	3.390845e-07	3.390845e-07
198	3.176000e+00	0.000000e+00	2.043856e-07	2.043856e-07
199	3.192000e+00	0.000000e+00	3.314186e-07	3.314186e-07
200	3.208000e+00	0.000000e+00	2.265815e-07	2.265815e-07
201	3.224000e+00	0.000000e+00	2.995675e-07	2.995675e-07
202	3.240000e+00	0.000000e+00	3.304772e-07	3.304772e-07
203	3.256000e+00	0.000000e+00	2.071602e-07	2.071602e-07
204	3.272000e+00	0.000000e+00	2.286823e-07	2.286823e-07
205	3.288000e+00	0.000000e+00	1.505899e-07	1.505899e-07
206	3.304000e+00	0.000000e+00	1.638268e-07	1.638268e-07
207	3.320000e+00	0.000000e+00	2.321775e-07	2.321775e-07
208	3.336000e+00	0.000000e+00	9.987695e-08	9.987695e-08
209	3.352000e+00	0.000000e+00	1.314258e-07	1.314258e-07
210	3.368000e+00	0.000000e+00	5.822358e-08	5.822358e-08
211	3.384000e+00	0.000000e+00	1.463344e-07	1.463344e-07
212	3.400000e+00	0.000000e+00	6.451597e-08	6.451597e-08
213	3.416000e+00	0.000000e+00	1.341989e-07	1.341989e-07
214	3.432000e+00	0.000000e+00	4.054460e-07	4.054460e-07
215	3.448000e+00	0.000000e+00	2.218182e-07	2.218182e-07
216	3.464000e+00	0.000000e+00	1.883053e-07	1.883053e-07
217	3.480000e+00	0.000000e+00	7.769105e-09	7.769105e-09
218	3.496000e+00	0.000000e+00	1.656616e-07	1.656616e-07
219	3.512000e+00	0.000000e+00	-3.181642e-08	-3.181642e-08
220	3.528000e+00	0.000000e+00	1.697081e-07	1.697081e-07
221	3.544000e+00	0.000000e+00	7.958988e-08	7.958988e-08
222	3.560000e+00	0.000000e+00	3.154807e-08	3.154807e-08
223	3.576000e+00	0.000000e+00	-1.872491e-08	-1.872491e-08
224	3.592000e+00	0.000000e+00	1.586644e-07	1.586644e-07
225	3.608000e+00	0.000000e+00	2.252674e-07	2.252674e-07
226	3.624000e+00	0.000000e+00	1.800899e-07	1.800899e-07
227	3.640000e+00	0.000000e+00	4.659793e-07	4.659793e-07
228	3.656000e+00	0.000000e+00	2.650398e-07	2.650398e-07
229	3.672000e+00	0.000000e+00	2.115250e-07	2.115250e-07
230	3.688000e+00	0.000000e+00	1.921369e-07	1.921369e-07
231	3.704000e+00	0.000000e+00	2.424038e-07	2.424038e-07
232	3.720000e+00	0.000000e+00	1.792625e-07	1.792625e-07
233	3.736000e+00	0.000000e+00	1.043993e-07	1.043993e-07
234	3.752000e+00	0.000000e+00	1.006873e-07	1.006873e-07
235	3.768000e+00	0.000000e+00	3.041881e-07	3.041881e-07
236	3.784000e+00	0.000000e+00	-2.459421e-08	-2.459421e-08
237	3.800000e+00	0.000000e+00	-2.716373e-08	-2.716373e-08
238	3.816000e+00	0.000000e+00	1.734352e-07	1.734352e-07
239	3.832000e+00	0.000000e+00	1.922517e-07	1.922517e-07
240	3.848000e+00	0.000000e+00	2.011147e-07	2.011147e-07
241	3.864000e+00	0.000000e+00	3.028535e-07	3.028535e-07
242	3.880000e+00	0.000000e+00	3.119180e-08	3.119180e-08
243	3.896000e+00	0.000000e+00	9.173501e-08	9.173501e-08
244	3.912000e+00	0.000000e+00	1.488267e-07	1.488267e-07
245	3.928000e+00	0.000000e+00	2.795200e-07	2.795200e-07
246	3.944000e+00	0.000000e+00	8.073456e-08	8.073456e-08
247	3.960000e+00	0.000000e+00	2.176410e-07	2.176410e-07
248	3.976000e+00	0.000000e+00	2.397450e-07	2.397450e-07
249	3.992000e+00	0.000000e+00	9.149247e-08	9.149247e-08
250	4.008000e+00	0.000000e+00	4.675207e-08	4.675207e-08
251	4.024000e+00	0.000000e+00	1.833632e-07	1.833632e-07
252	4.040000e+00	0.000000e+00	1.524447e-07	1.524447e-07
253	4.056000e+00	0.000000e+00	1.934323e-07	1.934323e-07
254	4.072000e+00	0.000000e+00	3.018910e-07	3.018910e-07
255	4.088000e+00	0.000000e+00	2.875672e-07	2.875672e-07
256	4.104000e+00	0.000000e+00	1.441888e-07	1.441888e-07
257	4.120000e+00	0.000000e+00	1.562244e-07	1.562244e-07
258	4.136000e+00	0.000000e+00	2.009589e-07	2.009589e-07
259	4.152000e+00	0.000000e+00	2.385614e-07	2.385614e-07
260	4.168000e+00	0.000000e+00	2.507078e-07	2.507078e-07
261	4.184000e+00	0.000000e+00	1.210954e-07	1.210954e-07
262	4.200000e+00	0.000000e+00	-6.027231e-08	-6.027231e-08
263	4.216000e+00	0.000000e+00	1.000354e-07	1.000354e-07
264	4.232000e+00	0.000000e+00	2.386485e-07	2.386485e-07
265	4.248000e+00	0.000000e+00	2.755175e-07	2.755175e-07
266	4.264000e+00	0.000000e+00	1.251319e-07	1.251319e-07
267	4.280000e+00	0.000000e+00	1.195278e-07	1.195278e-07
268	4.296000e+00	0.000000e+00	-1.343339e-08	-1.343339e-08
269	4.312000e+00	0.000000e+00	1.683737e-07	1.683737e-07
270	4.328000e+00	0.000000e+00	1.876430e-07	1.876430e-07
271	4.344000e+00	0.000000e+00	1.057792e-07	1.057792e-07
272	4.360000e+00	0.000000e+00	1.570747e-07	1.570747e-07
273	4.376000e+00	0.000000e+00	2.750541e-07	2.750541e-07
274	4.392000e+00	0.000000e+00	1.752231e-07	1.752231e-07
275	4.408000e+00	0.000000e+00	-4.557070e-08	-4.557070e-08
276	4.424000e+00	0.000000e+00	1.207376e-07	1.207376e-07
277	4.440000e+00	0.000000e+00	3.090062e-07	3.090062e-07
278	4.456000e+00	0.000000e+00	2.422636e-07	2.422636e-07
279	4.472000e+00	0.000000e+00	1.531127e-07	1.531127e-07
280	4.488000e+00	0.000000e+00	2.036741e-07	2.036741e-07
281	4.504000e+00	0.000000e+00	4.100993e-08	4.100993e-08
282	4.520000e+00	0.000000e+00	9.977541e-08	9.977541e-08
283	4.536000e+00	0.000000e+00	1.712199e-07	1.712199e-07
284	4.552000e+00	0.000000e+00	1.289787e-07	1.289787e-07
