# RPC induced signal at TopGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	0.000000e+00	-1.594208e-11	-1.594208e-11
1	2.400000e-02	0.000000e+00	-2.199221e-11	-2.199221e-11
2	4.000000e-02	0.000000e+00	-4.497889e-11	-4.497889e-11
3	5.600000e-02	0.000000e+00	-4.033931e-11	-4.033931e-11
4	7.200000e-02	0.000000e+00	-2.315536e-11	-2.315536e-11
5	8.800000e-02	0.000000e+00	-6.025371e-11	-6.025371e-11
6	1.040000e-01	0.000000e+00	-6.241137e-12	-6.241137e-12
7	1.200000e-01	0.000000e+00	2.975553e-12	2.975553e-12
8	1.360000e-01	0.000000e+00	-1.948810e-11	-1.948810e-11
9	1.520000e-01	0.000000e+00	-2.064395e-11	-2.064395e-11
10	1.680000e-01	0.000000e+00	-4.010947e-11	-4.010947e-11
11	1.840000e-01	0.000000e+00	-2.186242e-11	-2.186242e-11
12	2.000000e-01	0.000000e+00	-3.690305e-11	-3.690305e-11
13	2.160000e-01	0.000000e+00	-4.338154e-11	-4.338154e-11
14	2.320000e-01	0.000000e+00	-2.403287e-12	-2.403287e-12
15	2.480000e-01	0.000000e+00	-1.899384e-11	-1.899384e-11
16	2.640000e-01	0.000000e+00	-2.856128e-11	-2.856128e-11
17	2.800000e-01	0.000000e+00	-2.719944e-11	-2.719944e-11
18	2.960000e-01	0.000000e+00	-3.141917e-11	-3.141917e-11
19	3.120000e-01	0.000000e+00	-3.157108e-11	-3.157108e-11
20	3.280000e-01	0.000000e+00	-4.624254e-11	-4.624254e-11
21	3.440000e-01	0.000000e+00	-3.027432e-11	-3.027432e-11
22	3.600000e-01	0.000000e+00	-2.391619e-13	-2.391619e-13
23	3.760000e-01	0.000000e+00	-3.637787e-11	-3.637787e-11
24	3.920000e-01	0.000000e+00	-3.550410e-11	-3.550410e-11
25	4.080000e-01	0.000000e+00	-3.755520e-11	-3.755520e-11
26	4.240000e-01	0.000000e+00	-1.922119e-11	-1.922119e-11
27	4.400000e-01	0.000000e+00	-2.939775e-11	-2.939775e-11
28	4.560000e-01	0.000000e+00	-5.080875e-11	-5.080875e-11
29	4.720000e-01	0.000000e+00	-3.879915e-11	-3.879915e-11
30	4.880000e-01	0.000000e+00	-6.254043e-13	-6.254043e-13
31	5.040000e-01	0.000000e+00	-2.434539e-11	-2.434539e-11
32	5.200000e-01	0.000000e+00	-3.878918e-11	-3.878918e-11
33	5.360000e-01	0.000000e+00	-3.672604e-11	-3.672604e-11
34	5.520000e-01	0.000000e+00	-1.371012e-11	-1.371012e-11
35	5.680000e-01	0.000000e+00	-2.956991e-11	-2.956991e-11
36	5.840000e-01	0.000000e+00	-3.134334e-11	-3.134334e-11
37	6.000000e-01	0.000000e+00	-3.868590e-11	-3.868590e-11
38	6.160000e-01	0.000000e+00	-2.613338e-11	-2.613338e-11
39	6.320000e-01	0.000000e+00	-2.667614e-11	-2.667614e-11
40	6.480000e-01	0.000000e+00	-2.599183e-11	-2.599183e-11
41	6.640000e-01	0.000000e+00	-1.340563e-11	-1.340563e-11
42	6.800000e-01	0.000000e+00	-2.319697e-11	-2.319697e-11
43	6.960000e-01	0.000000e+00	-5.590801e-12	-5.590801e-12
44	7.120000e-01	0.000000e+00	-1.981546e-11	-1.981546e-11
45	7.280000e-01	0.000000e+00	-1.596857e-11	-1.596857e-11
46	7.440000e-01	0.000000e+00	-1.221440e-11	-1.221440e-11
47	7.600000e-01	0.000000e+00	2.571497e-13	2.571497e-13
48	7.760000e-01	0.000000e+00	-5.005645e-11	-5.005645e-11
49	7.920000e-01	0.000000e+00	-3.853840e-11	-3.853840e-11
50	8.080000e-01	0.000000e+00	-2.415550e-11	-2.415550e-11
51	8.240000e-01	0.000000e+00	-1.874567e-11	-1.874567e-11
52	8.400000e-01	0.000000e+00	-3.498741e-11	-3.498741e-11
53	8.560000e-01	0.000000e+00	-2.831958e-11	-2.831958e-11
54	8.720000e-01	0.000000e+00	-2.320878e-11	-2.320878e-11
55	8.880000e-01	0.000000e+00	-3.415015e-11	-3.415015e-11
56	9.040000e-01	0.000000e+00	-2.452650e-11	-2.452650e-11
57	9.200000e-01	0.000000e+00	-3.703098e-11	-3.703098e-11
58	9.360000e-01	0.000000e+00	-4.816845e-11	-4.816845e-11
59	9.520000e-01	0.000000e+00	-3.759015e-11	-3.759015e-11
60	9.680000e-01	0.000000e+00	-5.454684e-11	-5.454684e-11
61	9.840000e-01	0.000000e+00	-5.280466e-11	-5.280466e-11
62	1.000000e+00	0.000000e+00	-2.521051e-12	-2.521051e-12
63	1.016000e+00	0.000000e+00	-3.120169e-11	-3.120169e-11
64	1.032000e+00	0.000000e+00	-3.960124e-11	-3.960124e-11
65	1.048000e+00	0.000000e+00	-9.705888e-12	-9.705888e-12
66	1.064000e+00	0.000000e+00	-3.028785e-12	-3.028785e-12
67	1.080000e+00	0.000000e+00	-5.483418e-11	-5.483418e-11
68	1.096000e+00	0.000000e+00	-5.445117e-11	-5.445117e-11
69	1.112000e+00	0.000000e+00	2.151975e-12	2.151975e-12
70	1.128000e+00	0.000000e+00	1.915964e-11	1.915964e-11
71	1.144000e+00	0.000000e+00	-4.736359e-11	-4.736359e-11
72	1.160000e+00	0.000000e+00	-2.331425e-11	-2.331425e-11
73	1.176000e+00	0.000000e+00	-3.898589e-11	-3.898589e-11
74	1.192000e+00	0.000000e+00	-4.334155e-11	-4.334155e-11
75	1.208000e+00	0.000000e+00	-4.118229e-11	-4.118229e-11
76	1.224000e+00	0.000000e+00	-2.925572e-11	-2.925572e-11
