# RPC induced signal at BottomGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	-1.650921e-04	-3.815627e-07	-1.654737e-04
1	2.400000e-02	-2.003448e-04	-5.084560e-07	-2.008533e-04
2	4.000000e-02	-1.846768e-04	-4.429928e-07	-1.851198e-04
3	5.600000e-02	-1.753788e-04	-4.263651e-07	-1.758051e-04
4	7.200000e-02	-1.242195e-04	-6.641359e-07	-1.248836e-04
5	8.800000e-02	-2.380589e-04	-5.655667e-07	-2.386245e-04
6	1.040000e-01	-2.078514e-04	-6.045006e-07	-2.084559e-04
7	1.200000e-01	-1.543911e-04	-5.717595e-07	-1.549629e-04
8	1.360000e-01	-1.983749e-04	-5.582381e-07	-1.989331e-04
9	1.520000e-01	-2.096937e-04	-5.212070e-07	-2.102149e-04
10	1.680000e-01	-1.794827e-04	-5.848121e-07	-1.800675e-04
11	1.840000e-01	-1.778790e-04	-3.296260e-07	-1.782086e-04
12	2.000000e-01	-1.724848e-04	-5.690185e-07	-1.730539e-04
13	2.160000e-01	-1.895241e-04	-5.352328e-07	-1.900593e-04
14	2.320000e-01	-1.601453e-04	-6.396193e-07	-1.607849e-04
15	2.480000e-01	-1.584812e-04	-5.313279e-07	-1.590125e-04
16	2.640000e-01	-1.781335e-04	-4.864311e-07	-1.786200e-04
17	2.800000e-01	-1.426538e-04	-5.602600e-07	-1.432140e-04
18	2.960000e-01	-1.383633e-04	-6.107476e-07	-1.389740e-04
19	3.120000e-01	-1.678621e-04	-4.590617e-07	-1.683212e-04
20	3.280000e-01	-1.684094e-04	-6.776728e-07	-1.690871e-04
21	3.440000e-01	-1.537721e-04	-7.374403e-07	-1.545095e-04
22	3.600000e-01	-2.058431e-04	-6.093746e-07	-2.064525e-04
23	3.760000e-01	-1.864570e-04	-4.978923e-07	-1.869549e-04
24	3.920000e-01	-1.726119e-04	-7.334192e-07	-1.733453e-04
25	4.080000e-01	-1.960092e-04	-5.109520e-07	-1.965201e-04
26	4.240000e-01	-1.679317e-04	-5.359132e-07	-1.684676e-04
27	4.400000e-01	-1.644147e-04	-4.278113e-07	-1.648425e-04
28	4.560000e-01	-1.282059e-04	-8.487186e-07	-1.290547e-04
29	4.720000e-01	-1.973700e-04	-8.390416e-07	-1.982091e-04
30	4.880000e-01	-1.670712e-04	-7.616812e-07	-1.678329e-04
31	5.040000e-01	-1.445449e-04	-8.263934e-07	-1.453713e-04
32	5.200000e-01	-1.812496e-04	-2.973603e-07	-1.815470e-04
33	5.360000e-01	-1.663081e-04	-6.159503e-07	-1.669240e-04
34	5.520000e-01	-2.302285e-04	-1.074625e-06	-2.313031e-04
35	5.680000e-01	-1.935091e-04	-1.052983e-06	-1.945620e-04
36	5.840000e-01	-1.575337e-04	-9.503687e-07	-1.584841e-04
37	6.000000e-01	-1.779042e-04	-1.124226e-06	-1.790284e-04
38	6.160000e-01	-1.420780e-04	-7.152831e-07	-1.427933e-04
39	6.320000e-01	-2.126570e-04	-9.974813e-07	-2.136545e-04
40	6.480000e-01	-1.637547e-04	-1.258602e-06	-1.650133e-04
41	6.640000e-01	-2.073866e-04	-1.203678e-06	-2.085903e-04
42	6.800000e-01	-1.084664e-04	-1.156657e-06	-1.096231e-04
43	6.960000e-01	-2.042324e-04	-9.948245e-07	-2.052272e-04
44	7.120000e-01	-1.887441e-04	-1.383172e-06	-1.901272e-04
45	7.280000e-01	-1.312050e-04	-1.572017e-06	-1.327770e-04
46	7.440000e-01	-1.483471e-04	-1.468978e-06	-1.498160e-04
47	7.600000e-01	-2.315860e-04	-1.614455e-06	-2.332005e-04
48	7.760000e-01	-1.465412e-04	-1.586392e-06	-1.481276e-04
49	7.920000e-01	-1.937121e-04	-1.487381e-06	-1.951995e-04
