# RPC induced signal at TopGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	4.173180e-04	9.933608e-07	4.183114e-04
1	2.400000e-02	3.865857e-04	1.608987e-06	3.881947e-04
2	4.000000e-02	3.216585e-04	1.600632e-06	3.232591e-04
3	5.600000e-02	3.531751e-04	1.437076e-06	3.546121e-04
4	7.200000e-02	2.760068e-04	1.434546e-06	2.774414e-04
5	8.800000e-02	3.632714e-04	1.420457e-06	3.646919e-04
6	1.040000e-01	2.423751e-04	1.735677e-06	2.441108e-04
7	1.200000e-01	2.363536e-04	1.775536e-06	2.381291e-04
8	1.360000e-01	3.574830e-04	2.067293e-06	3.595503e-04
9	1.520000e-01	2.711756e-04	1.571067e-06	2.727466e-04
10	1.680000e-01	3.153889e-04	1.688039e-06	3.170769e-04
11	1.840000e-01	2.874342e-04	1.588242e-06	2.890224e-04
12	2.000000e-01	2.999071e-04	1.847446e-06	3.017545e-04
13	2.160000e-01	3.680298e-04	1.663114e-06	3.696929e-04
14	2.320000e-01	3.115122e-04	1.995551e-06	3.135077e-04
15	2.480000e-01	3.359435e-04	1.701071e-06	3.376446e-04
16	2.640000e-01	3.258252e-04	1.743464e-06	3.275687e-04
17	2.800000e-01	3.054912e-04	1.666865e-06	3.071581e-04
18	2.960000e-01	2.938996e-04	1.787698e-06	2.956872e-04
19	3.120000e-01	2.593065e-04	1.975732e-06	2.612822e-04
20	3.280000e-01	2.604104e-04	2.128508e-06	2.625389e-04
21	3.440000e-01	2.972926e-04	1.513103e-06	2.988057e-04
22	3.600000e-01	2.219712e-04	1.683515e-06	2.236548e-04
23	3.760000e-01	2.556862e-04	1.865139e-06	2.575514e-04
24	3.920000e-01	2.508615e-04	2.253039e-06	2.531145e-04
25	4.080000e-01	2.447248e-04	1.762640e-06	2.464875e-04
26	4.240000e-01	2.787409e-04	2.174133e-06	2.809150e-04
27	4.400000e-01	2.381365e-04	2.071633e-06	2.402082e-04
28	4.560000e-01	1.599389e-04	1.719054e-06	1.616579e-04
29	4.720000e-01	2.981981e-04	1.748259e-06	2.999463e-04
30	4.880000e-01	2.398185e-04	1.464944e-06	2.412834e-04
31	5.040000e-01	2.597143e-04	1.217649e-06	2.609320e-04
32	5.200000e-01	2.364451e-04	1.674132e-06	2.381192e-04
33	5.360000e-01	2.167971e-04	1.919974e-06	2.187171e-04
34	5.520000e-01	2.926054e-04	1.948285e-06	2.945537e-04
35	5.680000e-01	1.813436e-04	1.923299e-06	1.832669e-04
36	5.840000e-01	2.480751e-04	2.069698e-06	2.501448e-04
37	6.000000e-01	2.746038e-04	2.012734e-06	2.766166e-04
38	6.160000e-01	2.512027e-04	2.233821e-06	2.534365e-04
39	6.320000e-01	2.330344e-04	1.562078e-06	2.345965e-04
40	6.480000e-01	2.499829e-04	1.794176e-06	2.517771e-04
41	6.640000e-01	2.001803e-04	2.240177e-06	2.024204e-04
42	6.800000e-01	2.102236e-04	2.611503e-06	2.128351e-04
43	6.960000e-01	2.562161e-04	2.346948e-06	2.585631e-04
44	7.120000e-01	2.256154e-04	2.838300e-06	2.284537e-04
45	7.280000e-01	2.123289e-04	2.185315e-06	2.145142e-04
46	7.440000e-01	1.569068e-04	2.428456e-06	1.593353e-04
47	7.600000e-01	2.128888e-04	1.765616e-06	2.146544e-04
48	7.760000e-01	1.548784e-04	2.026816e-06	1.569052e-04
49	7.920000e-01	1.651063e-04	2.066805e-06	1.671731e-04
50	8.080000e-01	1.998083e-04	2.121213e-06	2.019295e-04
51	8.240000e-01	2.213557e-04	2.034431e-06	2.233901e-04
52	8.400000e-01	1.947987e-04	1.821297e-06	1.966200e-04
53	8.560000e-01	1.681154e-04	2.271085e-06	1.703865e-04
54	8.720000e-01	1.505242e-04	2.200178e-06	1.527244e-04
55	8.880000e-01	1.827276e-04	2.086408e-06	1.848140e-04
56	9.040000e-01	1.279462e-04	2.186724e-06	1.301330e-04
57	9.200000e-01	1.515077e-04	2.079552e-06	1.535873e-04
58	9.360000e-01	1.869861e-04	2.381943e-06	1.893681e-04
59	9.520000e-01	8.785933e-05	2.308032e-06	9.016736e-05
60	9.680000e-01	1.532369e-04	2.255134e-06	1.554921e-04
61	9.840000e-01	1.579183e-04	2.090276e-06	1.600086e-04
62	1.000000e+00	1.661260e-04	2.476621e-06	1.686027e-04
63	1.016000e+00	1.190179e-04	2.518861e-06	1.215367e-04
64	1.032000e+00	1.173339e-04	2.841202e-06	1.201751e-04
65	1.048000e+00	1.498485e-04	2.240563e-06	1.520891e-04
66	1.064000e+00	1.808062e-04	2.056446e-06	1.828626e-04
67	1.080000e+00	1.218649e-04	2.336502e-06	1.242014e-04
68	1.096000e+00	1.132556e-04	2.549440e-06	1.158050e-04
69	1.112000e+00	8.231835e-05	2.532108e-06	8.485046e-05
70	1.128000e+00	1.266888e-04	2.440004e-06	1.291288e-04
71	1.144000e+00	9.980566e-05	1.751036e-06	1.015567e-04
72	1.160000e+00	1.460387e-04	2.374286e-06	1.484130e-04
73	1.176000e+00	9.810835e-05	2.730130e-06	1.008385e-04
74	1.192000e+00	1.035521e-04	2.177043e-06	1.057292e-04
75	1.208000e+00	1.149674e-04	1.895580e-06	1.168629e-04
76	1.224000e+00	1.027682e-04	1.972948e-06	1.047412e-04
77	1.240000e+00	9.545531e-05	2.009291e-06	9.746460e-05
78	1.256000e+00	1.559567e-04	2.458620e-06	1.584153e-04
79	1.272000e+00	1.133042e-04	2.310805e-06	1.156150e-04
80	1.288000e+00	1.142156e-04	2.370244e-06	1.165859e-04
81	1.304000e+00	1.303224e-04	2.415177e-06	1.327376e-04
82	1.320000e+00	8.811804e-05	2.255108e-06	9.037314e-05
83	1.336000e+00	1.381674e-04	2.193741e-06	1.403612e-04
84	1.352000e+00	1.114597e-04	2.392049e-06	1.138518e-04
85	1.368000e+00	1.232320e-04	2.239632e-06	1.254716e-04
86	1.384000e+00	1.363628e-04	2.340168e-06	1.387030e-04
87	1.400000e+00	1.019452e-04	2.691728e-06	1.046369e-04
88	1.416000e+00	1.487523e-04	2.093228e-06	1.508456e-04
89	1.432000e+00	1.273893e-04	2.052495e-06	1.294418e-04
90	1.448000e+00	1.370076e-04	1.940549e-06	1.389481e-04
91	1.464000e+00	1.114601e-04	2.105483e-06	1.135655e-04
92	1.480000e+00	1.169588e-04	2.456525e-06	1.194153e-04
93	1.496000e+00	1.067146e-04	2.206677e-06	1.089213e-04
94	1.512000e+00	1.303854e-04	2.169714e-06	1.325552e-04
95	1.528000e+00	1.303999e-04	2.287105e-06	1.326870e-04
96	1.544000e+00	1.143450e-04	2.506215e-06	1.168512e-04
97	1.560000e+00	4.607619e-05	2.545343e-06	4.862153e-05
98	1.576000e+00	8.149911e-05	2.498866e-06	8.399797e-05
99	1.592000e+00	1.113920e-04	2.338215e-06	1.137302e-04
100	1.608000e+00	1.241769e-04	2.599735e-06	1.267766e-04
101	1.624000e+00	8.807864e-05	2.764580e-06	9.084322e-05
102	1.640000e+00	1.306296e-04	2.245963e-06	1.328756e-04
103	1.656000e+00	1.298951e-04	2.307322e-06	1.322024e-04
104	1.672000e+00	1.172484e-04	2.952105e-06	1.202005e-04
105	1.688000e+00	1.200786e-04	3.054308e-06	1.231329e-04
106	1.704000e+00	1.112185e-04	2.946423e-06	1.141649e-04
107	1.720000e+00	1.498995e-04	2.471761e-06	1.523712e-04
108	1.736000e+00	1.300269e-04	1.975901e-06	1.320028e-04
109	1.752000e+00	1.516710e-04	2.141915e-06	1.538130e-04
110	1.768000e+00	1.162973e-04	2.461506e-06	1.187588e-04
111	1.784000e+00	1.569484e-04	2.993972e-06	1.599423e-04
112	1.800000e+00	1.184207e-04	2.838654e-06	1.212593e-04
113	1.816000e+00	1.486686e-04	2.932081e-06	1.516007e-04
114	1.832000e+00	1.269187e-04	3.152255e-06	1.300709e-04
115	1.848000e+00	1.430068e-04	3.213712e-06	1.462206e-04
116	1.864000e+00	8.552972e-05	2.889198e-06	8.841892e-05
117	1.880000e+00	1.463444e-04	2.848738e-06	1.491932e-04
118	1.896000e+00	1.218814e-04	2.970365e-06	1.248518e-04
119	1.912000e+00	1.273149e-04	2.941792e-06	1.302567e-04
120	1.928000e+00	1.355777e-04	2.461361e-06	1.380390e-04
121	1.944000e+00	1.283815e-04	2.722233e-06	1.311037e-04
122	1.960000e+00	1.067211e-04	2.894264e-06	1.096154e-04
123	1.976000e+00	5.551314e-05	2.380241e-06	5.789338e-05
124	1.992000e+00	1.467696e-04	2.672063e-06	1.494417e-04
125	2.008000e+00	1.037981e-04	3.027150e-06	1.068253e-04
126	2.024000e+00	1.225946e-04	2.640219e-06	1.252349e-04
127	2.040000e+00	1.221447e-04	2.756722e-06	1.249015e-04
128	2.056000e+00	9.794420e-05	2.413194e-06	1.003574e-04
129	2.072000e+00	1.330886e-04	2.108873e-06	1.351974e-04
130	2.088000e+00	7.948947e-05	2.486065e-06	8.197553e-05
131	2.104000e+00	1.459788e-04	2.353760e-06	1.483325e-04
132	2.120000e+00	8.231100e-05	2.544625e-06	8.485563e-05
133	2.136000e+00	1.435751e-04	2.546226e-06	1.461213e-04
134	2.152000e+00	1.158892e-04	2.365616e-06	1.182549e-04
135	2.168000e+00	9.718587e-05	3.078369e-06	1.002642e-04
136	2.184000e+00	8.602712e-05	2.778715e-06	8.880584e-05
137	2.200000e+00	7.326212e-05	2.817318e-06	7.607944e-05
138	2.216000e+00	1.028046e-04	2.898435e-06	1.057030e-04
139	2.232000e+00	7.452593e-05	2.607214e-06	7.713315e-05
140	2.248000e+00	7.078548e-05	2.119888e-06	7.290537e-05
141	2.264000e+00	5.602648e-05	3.096038e-06	5.912252e-05
142	2.280000e+00	8.236595e-05	2.397407e-06	8.476335e-05
143	2.296000e+00	1.125846e-04	3.052531e-06	1.156371e-04
144	2.312000e+00	3.682208e-05	2.248554e-06	3.907063e-05
145	2.328000e+00	5.312181e-05	2.439865e-06	5.556168e-05
146	2.344000e+00	6.269882e-05	2.843676e-06	6.554250e-05
147	2.360000e+00	6.572777e-05	2.940040e-06	6.866781e-05
148	2.376000e+00	7.818905e-05	2.595595e-06	8.078464e-05
149	2.392000e+00	2.717981e-05	2.625627e-06	2.980543e-05
150	2.408000e+00	3.534604e-05	2.655245e-06	3.800129e-05
151	2.424000e+00	7.737017e-05	2.895691e-06	8.026586e-05
152	2.440000e+00	4.926357e-05	2.472701e-06	5.173627e-05
153	2.456000e+00	3.738834e-05	2.269866e-06	3.965821e-05
154	2.472000e+00	3.209326e-05	2.546084e-06	3.463935e-05
155	2.488000e+00	4.710454e-05	3.367376e-06	5.047191e-05
156	2.504000e+00	2.990814e-05	2.573349e-06	3.248149e-05
157	2.520000e+00	2.824433e-05	2.604131e-06	3.084846e-05
158	2.536000e+00	3.210106e-05	2.701881e-06	3.480294e-05
159	2.552000e+00	3.030978e-05	2.804399e-06	3.311418e-05
160	2.568000e+00	4.204481e-05	2.918821e-06	4.496363e-05
161	2.584000e+00	2.416758e-05	2.169257e-06	2.633684e-05
162	2.600000e+00	2.466602e-05	2.468184e-06	2.713420e-05
163	2.616000e+00	3.318530e-05	2.581175e-06	3.576647e-05
164	2.632000e+00	2.773607e-05	2.884328e-06	3.062040e-05
165	2.648000e+00	1.380793e-05	3.187617e-06	1.699555e-05
166	2.664000e+00	2.276988e-05	2.342384e-06	2.511226e-05
167	2.680000e+00	5.186301e-05	2.613519e-06	5.447653e-05
168	2.696000e+00	2.034414e-05	2.858640e-06	2.320278e-05
169	2.712000e+00	5.324372e-05	2.649365e-06	5.589309e-05
170	2.728000e+00	3.274429e-05	3.487319e-06	3.623161e-05
171	2.744000e+00	3.210099e-05	2.737859e-06	3.483885e-05
172	2.760000e+00	1.643463e-05	1.864696e-06	1.829932e-05
173	2.776000e+00	7.560924e-05	2.554107e-06	7.816335e-05
174	2.792000e+00	6.070256e-05	2.676735e-06	6.337929e-05
175	2.808000e+00	7.558737e-06	3.092838e-06	1.065158e-05
176	2.824000e+00	4.189548e-05	2.582809e-06	4.447829e-05
177	2.840000e+00	3.707685e-05	3.032138e-06	4.010899e-05
178	2.856000e+00	3.164940e-05	2.585980e-06	3.423538e-05
179	2.872000e+00	3.878672e-05	2.639149e-06	4.142587e-05
180	2.888000e+00	5.295826e-05	2.792164e-06	5.575042e-05
181	2.904000e+00	3.041690e-05	3.503637e-06	3.392054e-05
182	2.920000e+00	2.899079e-05	2.715241e-06	3.170603e-05
183	2.936000e+00	2.823063e-05	2.947103e-06	3.117774e-05
184	2.952000e+00	3.608208e-05	2.287208e-06	3.836929e-05
185	2.968000e+00	2.811216e-05	2.698751e-06	3.081092e-05
186	2.984000e+00	3.383513e-05	2.921661e-06	3.675679e-05
187	3.000000e+00	1.378922e-05	3.073027e-06	1.686225e-05
188	3.016000e+00	2.629100e-05	3.612175e-06	2.990317e-05
189	3.032000e+00	2.201319e-05	3.035230e-06	2.504842e-05
190	3.048000e+00	2.621132e-05	2.537919e-06	2.874924e-05
191	3.064000e+00	2.005601e-05	2.607764e-06	2.266377e-05
192	3.080000e+00	1.531122e-05	2.331354e-06	1.764257e-05
193	3.096000e+00	2.159678e-05	2.743788e-06	2.434057e-05
194	3.112000e+00	7.141494e-06	2.955497e-06	1.009699e-05
195	3.128000e+00	2.599636e-05	3.181254e-06	2.917762e-05
196	3.144000e+00	2.772598e-05	2.970428e-06	3.069641e-05
