# RPC induced signal at TopReadout
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	1.130763e-09	2.657561e-12	1.133421e-09
1	2.400000e-02	1.046833e-09	4.377383e-12	1.051211e-09
2	4.000000e-02	8.714728e-10	4.347722e-12	8.758205e-10
3	5.600000e-02	9.551590e-10	3.887653e-12	9.590467e-10
4	7.200000e-02	7.476139e-10	3.887967e-12	7.515019e-10
5	8.800000e-02	9.850865e-10	3.859291e-12	9.889457e-10
6	1.040000e-01	6.567113e-10	4.706133e-12	6.614175e-10
7	1.200000e-01	6.376745e-10	4.816181e-12	6.424907e-10
8	1.360000e-01	9.694040e-10	5.556295e-12	9.749603e-10
9	1.520000e-01	7.336638e-10	4.267193e-12	7.379310e-10
10	1.680000e-01	8.538267e-10	4.569173e-12	8.583958e-10
11	1.840000e-01	7.762468e-10	4.350606e-12	7.805974e-10
12	2.000000e-01	8.122155e-10	4.974605e-12	8.171901e-10
13	2.160000e-01	9.949715e-10	4.486939e-12	9.994585e-10
14	2.320000e-01	8.408012e-10	5.376964e-12	8.461782e-10
15	2.480000e-01	9.065620e-10	4.612183e-12	9.111742e-10
16	2.640000e-01	8.828583e-10	4.735588e-12	8.875939e-10
17	2.800000e-01	8.296118e-10	4.495270e-12	8.341071e-10
18	2.960000e-01	7.947977e-10	4.885504e-12	7.996832e-10
19	3.120000e-01	6.999546e-10	5.386217e-12	7.053409e-10
20	3.280000e-01	7.044451e-10	5.798420e-12	7.102436e-10
21	3.440000e-01	8.035373e-10	4.041608e-12	8.075789e-10
22	3.600000e-01	5.994821e-10	4.546084e-12	6.040282e-10
23	3.760000e-01	6.908239e-10	5.121345e-12	6.959453e-10
24	3.920000e-01	6.779018e-10	6.098239e-12	6.840000e-10
25	4.080000e-01	6.629921e-10	4.785333e-12	6.677774e-10
26	4.240000e-01	7.512230e-10	5.917136e-12	7.571402e-10
27	4.400000e-01	6.433978e-10	5.595896e-12	6.489937e-10
28	4.560000e-01	4.329481e-10	4.594556e-12	4.375427e-10
29	4.720000e-01	8.073709e-10	4.794263e-12	8.121651e-10
30	4.880000e-01	6.481519e-10	3.963846e-12	6.521158e-10
31	5.040000e-01	7.013506e-10	3.259995e-12	7.046106e-10
32	5.200000e-01	6.388303e-10	4.548781e-12	6.433791e-10
33	5.360000e-01	5.844999e-10	5.222960e-12	5.897229e-10
34	5.520000e-01	7.906898e-10	5.276973e-12	7.959668e-10
35	5.680000e-01	4.913066e-10	5.190410e-12	4.964970e-10
36	5.840000e-01	6.718268e-10	5.624050e-12	6.774509e-10
37	6.000000e-01	7.413975e-10	5.428314e-12	7.468258e-10
38	6.160000e-01	6.791207e-10	6.078915e-12	6.851996e-10
39	6.320000e-01	6.280095e-10	4.200458e-12	6.322099e-10
40	6.480000e-01	6.782095e-10	4.887846e-12	6.830973e-10
41	6.640000e-01	5.386931e-10	6.065349e-12	5.447585e-10
42	6.800000e-01	5.678700e-10	7.091755e-12	5.749618e-10
43	6.960000e-01	6.923310e-10	6.334954e-12	6.986660e-10
