# RPC induced signal at BottomGraphite
# TimeBin	Time[ns]	ElectronSignal	IonSignal	TotalSignal
0	8.000000e-03	-4.471260e-04	-1.383162e-06	-4.485091e-04
1	2.400000e-02	-5.707067e-04	-2.356170e-06	-5.730629e-04
2	4.000000e-02	-4.264038e-04	-2.415840e-06	-4.288196e-04
3	5.600000e-02	-5.430674e-04	-2.057612e-06	-5.451250e-04
4	7.200000e-02	-5.173017e-04	-2.126245e-06	-5.194279e-04
5	8.800000e-02	-4.718754e-04	-2.570851e-06	-4.744463e-04
6	1.040000e-01	-3.489992e-04	-2.992676e-06	-3.519919e-04
7	1.200000e-01	-3.874594e-04	-2.138395e-06	-3.895978e-04
8	1.360000e-01	-4.300547e-04	-2.503116e-06	-4.325578e-04
9	1.520000e-01	-4.368054e-04	-2.682994e-06	-4.394884e-04
10	1.680000e-01	-4.318029e-04	-2.714465e-06	-4.345174e-04
11	1.840000e-01	-2.644949e-04	-2.392129e-06	-2.668870e-04
12	2.000000e-01	-2.885027e-04	-1.837919e-06	-2.903406e-04
13	2.160000e-01	-4.014789e-04	-2.610634e-06	-4.040895e-04
14	2.320000e-01	-2.831868e-04	-2.399912e-06	-2.855867e-04
15	2.480000e-01	-4.023423e-04	-2.849458e-06	-4.051917e-04
16	2.640000e-01	-2.601270e-04	-2.586635e-06	-2.627137e-04
17	2.800000e-01	-3.335136e-04	-2.698134e-06	-3.362118e-04
18	2.960000e-01	-2.567770e-04	-2.218669e-06	-2.589957e-04
19	3.120000e-01	-3.635795e-04	-2.377284e-06	-3.659567e-04
20	3.280000e-01	-3.337066e-04	-2.699043e-06	-3.364057e-04
21	3.440000e-01	-3.113789e-04	-2.630682e-06	-3.140095e-04
22	3.600000e-01	-2.196283e-04	-2.569081e-06	-2.221974e-04
23	3.760000e-01	-2.913717e-04	-2.539761e-06	-2.939115e-04
24	3.920000e-01	-2.991876e-04	-2.754334e-06	-3.019419e-04
25	4.080000e-01	-3.546387e-04	-2.702932e-06	-3.573416e-04
26	4.240000e-01	-2.258318e-04	-2.884357e-06	-2.287162e-04
27	4.400000e-01	-2.775502e-04	-3.000973e-06	-2.805512e-04
28	4.560000e-01	-2.675393e-04	-2.797842e-06	-2.703371e-04
